Correlation_Type,Variable_1,Variable_2,Correlation
Macro vs Micro Target,TaxaCambio,Preço,0.04421651771357197
Macro vs Micro Target,Selic,Preço,-0.751609487286382
Macro vs Micro Target,PIB,Preço,-0.7191054656512464
Macro vs Micro Target,IPCA,Preço,0.22528657448131253
Micro vs Micro Target,ROA,Preço,0.6372881553787232
Micro vs Micro Target,ROE,Preço,0.5550093610883753
Micro vs Micro Target,Margem Líquida,Preço,0.6308342504327965
Micro vs Micro Target,P/L,Preço,0.6834406565823703
Micro vs Micro Target,VP,Preço,-0.7986124238573271
Micro vs Micro Target,Preço_anterior,Preço,0.9974846636213112
