Correlation_Type,Variable_1,Variable_2,Correlation
Macro vs Micro Target,TaxaCambio,Preço,-0.14263758699255433
Macro vs Micro Target,Selic,Preço,0.7020313560293248
Macro vs Micro Target,PIB,Preço,0.8482626478998375
Macro vs Micro Target,IPCA,Preço,0.2581808937731538
Micro vs Micro Target,ROA,Preço,0.5091070982066579
Micro vs Micro Target,ROE,Preço,0.5426813784045434
Micro vs Micro Target,Margem Líquida,Preço,0.5074181995972641
Micro vs Micro Target,P/L,Preço,-0.6189138238671198
Micro vs Micro Target,VP,Preço,-0.5992553122459885
Micro vs Micro Target,Preço_anterior,Preço,0.9971003780212081
