Correlation_Type,Variable_1,Variable_2,Correlation
Macro vs Micro Target,TaxaCambio,Preço,0.3067402908322139
Macro vs Micro Target,Selic,Preço,-0.05847175474475369
Macro vs Micro Target,PIB,Preço,0.25737610170607195
Macro vs Micro Target,IPCA,Preço,0.4805989169893629
Micro vs Micro Target,ROA,Preço,0.4489339386906854
Micro vs Micro Target,ROE,Preço,0.39534854508317646
Micro vs Micro Target,Margem Líquida,Preço,0.4516788542302591
Micro vs Micro Target,P/L,Preço,0.6819175412950822
Micro vs Micro Target,VP,Preço,0.026406961026836637
Micro vs Micro Target,Preço_anterior,Preço,0.9940713271878866
