Ticker,Preço_LSTM,Preço_Trans,Preço_Melhor,Macro_LSTM,Macro_Trans,Macro_Melhor,Micro_LSTM,Micro_Trans,Micro_Melhor,MacroMicro_LSTM,MacroMicro_Trans,MacroMicro_Melhor
BEEF3.SA,-12.43,,N/A,-3.28,,N/A,9.07,7.05,LSTM,0.00,-0.73,Empate
BRFS3.SA,5.18,4.51,Empate,90.81,80.10,LSTM,0.00,82.25,Trans,81.60,82.25,Empate
VALE3.SA,-17.39,-3.09,Trans,3.04,-2.80,LSTM,-4.78,4.42,Trans,-0.76,1.13,Trans
JBSS3.SA,7.98,6.88,LSTM,19.62,15.22,LSTM,23.40,16.89,LSTM,25.22,21.24,LSTM
SOJA3.SA,17.81,45.73,Trans,28.54,50.37,Trans,0.00,45.53,Trans,7.79,20.07,Trans
SUZB3.SA,-6.14,-1.89,Trans,6.81,12.65,Trans,14.09,11.91,LSTM,13.98,-0.37,LSTM
GGBR3.SA,4.10,2.31,LSTM,1.87,0.00,LSTM,-0.34,18.71,Trans,0.00,15.08,Trans
CSNA3.SA,3.97,11.08,Trans,33.64,29.37,LSTM,47.53,31.93,LSTM,47.53,31.93,LSTM
CARTEIRA,0.38,8.19,Trans,22.63,23.11,Trans,11.12,27.33,Trans,21.92,21.32,LSTM
MÉDIA,0.38,9.36,L:2 T:4,22.63,26.41,L:5 T:2,11.12,27.33,L:4 T:4,21.92,21.32,L:3 T:3
VITÓRIAS,2.00,4.00,Emp:1,5.00,2.00,Emp:0,4.00,4.00,Emp:0,3.00,3.00,Emp:2
