Data,Acao,Preco,Preco_Executado,Quantidade,Valor_Total,Custos_Operacionais,Saldo_Restante,Valor_Bruto,Lucro_Bruto,Imposto,Valor_Liquido,Vendas_Acumuladas_Mes
2023-01-15,Compra,76.42925262451172,76.43689554977416,130.77454190287995,9995.999999999998,3.9999999999999996,0.0,,,,,
2023-01-17,Venda,77.33231353759766,77.3245803062439,130.77454190287995,,4.044834626952599,10108.041732754546,10112.086567381499,112.04173275454798,0.0,10108.041732754546,10112.086567381499
2023-01-26,Compra,78.97274780273438,78.98064507751465,127.93005813190041,10103.998516061443,4.043216693101818,0.0,,,,,
2023-02-07,Venda,73.504638671875,73.49728820800782,127.93005813190041,,3.761004941194991,9398.751348046284,9402.512352987478,-705.2471680151601,0.0,9398.751348046284,0.0
2023-02-09,Compra,71.91392517089844,71.92111656341552,130.62911557029503,9394.991847507066,3.7595005392185135,0.0,,,,,
2023-02-13,Venda,72.16246032714844,72.15524408111573,130.62911557029503,,3.7702302872299644,9421.805487787682,9425.575718074911,26.81364028061526,0.0,9421.805487787682,9425.575718074911
2023-02-16,Compra,72.93296813964844,72.94026143646241,129.11986576572025,9418.036765592567,3.7687221951150724,0.0,,,,,
2023-02-27,Venda,70.68772888183594,70.68066010894775,129.11986576572025,,3.650510938199932,9122.626834561632,9126.277345499831,-295.409931030936,0.0,9122.626834561632,9425.575718074911
2023-03-05,Compra,71.3753890991211,71.38252663803101,127.74803881723936,9118.977783827808,3.6490507338246525,0.0,,,,,
2023-03-12,Venda,70.46405029296875,70.45700388793945,127.74803881723936,,3.6002976270491494,8997.143769995826,9000.744067622874,-121.83401383198259,0.0,8997.143769995826,0.0
2023-03-14,Compra,68.96338653564453,68.97028287429809,130.39739055266784,8993.544912487827,3.5988575079983303,0.0,,,,,
2023-03-16,Venda,70.04717254638672,70.04016782913209,130.39739055266784,,3.6532220475158947,9129.401896742222,9133.055118789738,135.85698425439534,0.0,9129.401896742222,9133.055118789738
2023-03-20,Compra,70.03022766113281,70.03723068389893,130.2985575939037,9125.750135983524,3.6517607586968883,0.0,,,,,
2023-03-27,Venda,67.2022705078125,67.19555028076172,130.2985575939037,,3.502193311324753,8751.98108500056,8755.483278311884,-373.76905098296527,0.0,8751.98108500056,9133.055118789738
2023-03-30,Compra,67.9812240600586,67.9880221824646,128.6767876419114,8748.480292566559,3.5007924340002234,0.0,,,,,
2023-04-02,Venda,67.99816131591797,67.99136149978638,128.6767876419114,,3.4995639940769765,8745.410421198365,8748.909985192442,-3.069871368193941,0.0,8745.410421198365,0.0
