Previsões Razoáveis,Estratégia Usada,Total de Transações,Retorno Bruto (%),Retorno Liquido (%),Max Drawdown (%),Sharpe Ratio,Total Custos (R$),Total Impostos (R$),Min Previsto,Max Previsto,Média Previsto,Ticker,Janela
True,Trading Realista (B3),16,-6.05399804827668,-7.157177880419603,-24.1379271935942,-0.09132446005815271,66.95219573830319,43.36578747598885,9.487581,10.691312,9.948446715277777,BEEF3.SA,Janela_5
True,Trading Realista (B3),4,-30.450974299427042,-30.598746551163032,-39.17643658721025,-0.604816604064982,14.777225173598401,0.0,11.053867,11.868601,11.405390756338027,BEEF3.SA,Janela_10
True,Trading Realista (B3),2,-30.51764060490651,-30.585417548664545,-39.176436587210254,-0.6087276413407157,6.777694375803739,0.0,10.7177,11.50964,11.08170108,BEEF3.SA,Janela_15
True,Trading Realista (B3),10,-0.2990442717409496,-0.7329176237556021,-17.57448445916093,0.06122487659525861,42.188375979509566,1.1989592219561602,8.464434,8.918799,8.601914442028987,BEEF3.SA,Janela_20
True,Trading Realista (B3),10,32.129875736328486,30.93973937841469,-38.7417201349637,0.6404420224239381,49.68567900063909,69.32795679074064,9.867521,11.678387,10.266703744444444,BRFS3.SA,Janela_5
True,Trading Realista (B3),2,63.18084804259936,63.07559170338231,-35.23920219086794,0.9476028579812634,10.525633921703973,0.0,11.163015,16.569256,13.052041230985914,BRFS3.SA,Janela_10
True,Trading Realista (B3),2,82.36120310245035,82.24827462120935,-35.23920219086795,1.1218612366207554,11.292848124098013,0.0,12.02438,15.6506405,13.037280158571429,BRFS3.SA,Janela_15
True,Trading Realista (B3),16,81.63358502598308,79.40175618403103,-35.23920219086795,1.1145803172261082,111.36458644268822,111.81829775251853,11.33619,14.416176,12.137900686956522,BRFS3.SA,Janela_20
True,Trading Realista (B3),62,-4.010771319110954,-6.62656862704509,-16.094952193537683,-0.5126703539299874,230.95893089097373,30.6207999024392,50.126556,77.81584,61.742442327777766,VALE3.SA,Janela_5
True,Trading Realista (B3),24,2.0722704317170977,1.1254097601201283,-24.038490518839687,0.1395381534629406,94.43937390304127,0.24669325665461475,56.885387,74.81633,64.37777123943661,VALE3.SA,Janela_10
