Data,Acao,Preco,Preco_Executado,Quantidade,Valor_Total,Custos_Operacionais,Saldo_Restante,Valor_Bruto,Lucro_Bruto,Imposto,Valor_Liquido,Vendas_Acumuladas_Mes
2023-01-06,Compra,8.407326698303223,8.408167430973053,1188.8440712036572,9996.0,3.9999999999999996,0.0,,,,,
2023-08-15,Venda,10.246429443359377,10.245404800415042,1188.8440712036572,,4.872075501621964,12175.316678553289,12180.18875405491,2179.3166785532885,0.0,12175.316678553289,12180.18875405491
2023-08-16,Compra,10.022623062133787,10.023625324440001,1214.1761247008506,12170.446551881867,4.870126671421315,0.0,,,,,
2023-10-06,Venda,10.392390251159668,10.391351012134551,1214.1761247008506,,5.0467721209279155,12611.883530198862,12616.93030231979,441.436978316995,0.0,12611.883530198862,12616.93030231979
2023-10-08,Compra,10.392390251159668,10.393429490184785,1212.9623613353292,12606.838776786783,5.044753412079545,0.0,,,,,
2023-10-09,Venda,10.548081398010254,10.547026589870454,1212.9623613353292,,5.117258511006308,12776.535523995943,12793.14627751577,181.1902422179818,11.493495008820288,12776.535523995943,25410.07657983556
2023-10-17,Compra,10.324274063110352,10.325306490516663,1236.9051632042433,12771.424909786347,5.110614209598377,0.0,,,,,
2023-10-20,Venda,10.499427795410156,10.498377852630615,1236.9051632042433,,5.194199108475153,12948.97177273545,12985.497771187884,208.87866229306186,31.33179934395928,12948.97177273545,38395.574351023446
2023-10-27,Compra,10.236699104309082,10.237722774219513,1264.32337244189,12943.792184026355,5.179588709094179,0.0,,,,,
2023-10-31,Venda,10.382659912109377,10.381621646118166,1264.32337244189,,5.250290756414337,13093.973937841469,13125.726891035843,176.68441625307386,26.502662437961078,13093.973937841469,51521.301242059286
