Data,Acao,Preco,Preco_Executado,Quantidade,Valor_Total,Custos_Operacionais,Saldo_Restante,Valor_Bruto,Lucro_Bruto,Imposto,Valor_Liquido,Vendas_Acumuladas_Mes
2023-01-06,Compra,9.769413948059082,9.770390889453887,1023.0911038359411,9996.0,3.9999999999999996,0.0,,,,,
2023-02-14,Venda,11.166349411010742,11.165232776069642,1023.0911038359411,,4.569220130181727,11418.481105324137,11423.050325454318,1422.4811053241365,0.0,11418.481105324137,11423.050325454318
2023-02-19,Compra,11.303303718566896,11.304434048938752,1009.6846656337947,11413.913712882008,4.567392442129655,0.0,,,,,
2023-02-28,Venda,11.184610366821287,11.183491905784605,1009.6846656337947,,4.516720114204151,11287.283565396174,11291.800285510379,-126.630147485833,0.0,11287.283565396174,11423.050325454318
2023-03-04,Compra,11.27591323852539,11.277040829849243,1000.5079188953197,11282.768651970015,4.514913426158469,0.0,,,,,
2023-03-05,Venda,11.613733291625977,11.612571918296814,1000.5079188953197,,4.64738806519895,11613.822774932176,11618.470162997375,331.0541229621616,0.0,11613.822774932176,11618.470162997375
2023-03-12,Compra,11.120697975158691,11.121810044956208,1043.8208528014752,11609.177245822202,4.64552910997287,0.0,,,,,
2023-03-26,Venda,11.431126594543455,11.429983481884001,1043.8208528014752,,4.772342042226772,11911.941269661402,11930.855105566932,316.9055177025033,14.141493863303863,11911.941269661402,23549.32526856431
2023-03-30,Compra,10.901570320129396,10.90266047716141,1092.1349443189906,11907.176493153536,4.7647765078645605,0.0,,,,,
2023-05-10,Venda,10.768599510192873,10.767522650241853,1092.1349443189906,,4.703835100030142,11754.883914975326,11759.587750075356,-152.29257817821056,0.0,11754.883914975326,0.0
2023-05-15,Compra,10.750316619873049,10.751391651535036,1092.8987002098188,11750.181961409338,4.70195356599013,0.0,,,,,
2023-05-21,Venda,10.814306259155272,10.813224828529357,1092.8987002098188,,4.72710374407051,11813.032256432205,11817.759360176275,62.8502950228658,0.0,11813.032256432205,11817.759360176275
2023-05-22,Compra,10.48521614074707,10.486264662361146,1126.0737186916288,11808.307043529632,4.725212902572881,0.0,,,,,
2023-07-04,Venda,10.585770606994627,10.584712029933927,1126.0737186916288,,4.767666414731086,11914.398370412984,11919.166036827715,106.091326883352,0.0,11914.398370412984,11919.166036827715
2023-07-05,Compra,10.284104347229004,10.285132757663726,1157.946415634804,11909.632611064819,4.765759348165194,0.0,,,,,
2023-07-17,Venda,10.69546890258789,10.694399355697632,1157.946415634804,,4.953416560518892,12354.146941875153,12383.54140129723,468.95537367189286,24.441042861559936,12354.146941875153,24302.707438124948
2023-07-18,Compra,10.47607421875,10.477121826171874,1178.682990232113,12349.205283098401,4.941658776750061,0.0,,,,,
2023-07-20,Venda,10.631478309631348,10.630415161800384,1178.682990232113,,5.011955812127867,12498.52673079617,12529.889530319668,175.6722914091387,26.350843711370803,12498.52673079617,36832.59696844462
2023-07-22,Compra,10.631478309631348,10.632541457462311,1175.0273789278697,12493.52732010385,4.999410692318468,0.0,,,,,
2023-07-23,Venda,10.83259105682373,10.831507797718048,1175.0273789278697,,5.090927286955767,12687.922294602673,12727.31821738942,228.6999699986136,34.304995499792035,12687.922294602673,49559.915185834034
2023-07-25,Compra,10.421225547790527,10.422267670345306,1216.8990019102655,12682.847125684832,5.075168917841069,0.0,,,,,
2023-07-30,Venda,10.622337341308594,10.621275107574464,1216.8990019102655,,5.170007630968685,12884.298778174858,12925.019077421714,237.00194410591328,35.55029161588699,12884.298778174858,62484.934263255745
2023-08-07,Compra,10.576629638671877,10.577687301635743,1217.5766489780754,12879.145058663587,5.1537195112699425,0.0,,,,,
2023-08-10,Venda,11.417641639709473,11.416499875545503,1217.5766489780754,,5.5601854646101225,13894.903476060697,13900.463661525308,1015.7584173971101,0.0,13894.903476060697,13900.463661525308
2023-10-08,Compra,11.125115394592283,11.126227906131742,1248.3427116404614,13889.345514670273,5.557961390424278,0.0,,,,,
2023-10-09,Venda,11.956985473632812,11.95578977508545,1248.3427116404614,,5.969969211053389,14918.95305842242,14924.923027633473,1029.6075437521467,0.0,14918.95305842242,14924.923027633473
2023-10-17,Compra,11.189105987548828,11.190224898147584,1332.679692583098,14912.98547719905,5.967581223368967,0.0,,,,,
2023-10-18,Venda,11.298802375793455,11.297672495555876,1332.679692583098,,6.02247148331277,15036.516169156452,15056.178708281925,137.1707595995615,13.6400676421592,15036.516169156452,29981.1017359154
