Data,Acao,Preco,Preco_Executado,Quantidade,Valor_Total,Custos_Operacionais,Saldo_Restante,Valor_Bruto,Lucro_Bruto,Imposto,Valor_Liquido,Vendas_Acumuladas_Mes
2023-01-13,Compra,18.747283935546875,18.74915866394043,533.1439228377186,9996.0,3.9999999999999996,0.0,,,,,
2023-01-14,Venda,18.747283935546875,18.74540920715332,533.1439228377186,,3.997600399960003,9990.003399500049,9994.000999900009,-5.996600499951466,0.0,9990.003399500049,0.0
2023-01-27,Compra,18.686248779296875,18.688117404174804,534.3506348001346,9986.00739814025,3.9960013598000192,0.0,,,,,
2023-01-28,Venda,18.686248779296875,18.684380154418946,534.3506348001346,,3.9936041585443194,9980.016792202256,9984.0103963608,-5.990605937993739,0.0,9980.016792202256,0.0
2023-01-30,Compra,18.23282623291016,18.23464951553345,547.0916661703397,9976.024785485375,3.9920067168809017,0.0,,,,,
2023-02-09,Venda,16.218584060668945,16.216962202262877,547.0916661703397,,3.548865948582968,8868.616005508837,8872.16487145742,-1107.4087799765377,0.0,8868.616005508837,0.0
2023-02-22,Compra,15.616926193237305,15.618487885856629,567.600949841913,8865.068559106634,3.5474464022035344,0.0,,,,,
2023-02-23,Venda,16.48017120361328,16.47852318649292,567.600949841913,,3.741290165058148,9349.484122480311,9353.22541264537,484.4155633736778,0.0,9349.484122480311,9353.22541264537
2023-03-10,Compra,16.663286209106445,16.664952537727356,560.8023369807822,9345.744328831319,3.739793648992124,0.0,,,,,
2023-03-11,Venda,16.663286209106445,16.661619880485535,560.8023369807822,,3.7375501467446997,9340.137816715005,9343.87536686175,-5.606512116313472,0.0,9340.137816715005,0.0
2023-03-20,Compra,16.56736946105957,16.569026198005677,563.4852434907787,9336.401761588319,3.7360551266860016,0.0,,,,,
2023-03-26,Venda,15.791319847106934,15.789740715122223,563.4852434907787,,3.5589143566067625,8893.7269771603,8897.285891516907,-442.6747844280181,0.0,8893.7269771603,0.0
2023-04-13,Compra,14.744957923889158,14.746432419681547,602.8691708852941,8890.169486369436,3.55749079086412,0.0,,,,,
2023-04-17,Venda,14.858315467834473,14.856829636287689,602.8691708852941,,3.5826898259251294,8953.141874986899,8956.724564812825,62.972388617463864,0.0,8953.141874986899,8956.724564812825
2023-04-25,Compra,14.692641258239746,14.69411052236557,609.0576632464404,8949.560618236905,3.5812567499947594,0.0,,,,,
2023-04-27,Venda,14.840875625610352,14.83939153804779,609.0576632464404,,3.615218053664955,9034.429916108724,9038.045134162388,84.86929787181876,0.0,9034.429916108724,17994.769698975215
2023-05-12,Compra,14.073543548583986,14.074950902938845,641.6232785761724,9030.81614414228,3.613771966443489,0.0,,,,,
2023-05-19,Venda,14.82343578338623,14.821953439807892,641.6232785761724,,3.8040441443811663,9506.306316808535,9510.110360952916,475.4901726662553,0.0,9506.306316808535,9510.110360952916
2023-05-21,Compra,14.82343578338623,14.824918126964569,640.9818734174331,9502.503794281813,3.802522526723414,0.0,,,,,
2023-05-22,Venda,14.945510864257812,14.944016313171387,640.9818734174331,,3.8315374291189106,9575.012035368158,9578.843572797277,72.50824108634588,0.0,9575.012035368158,19088.953933750192
2023-05-23,Compra,14.80599594116211,14.807476540756225,646.3749582320936,9571.182030554011,3.8300048141472627,0.0,,,,,
2023-06-06,Venda,15.364054679870602,15.362518274402616,646.3749582320936,,3.9719788431827054,9925.975129113582,9929.947107956765,354.7930985595707,0.0,9925.975129113582,9929.947107956765
2023-08-21,Compra,17.213655471801758,17.215376837348938,576.3454865266757,9922.004739061937,3.9703900516454325,0.0,,,,,
2023-08-23,Venda,17.17681312561035,17.175095444297792,576.3454865266757,,3.959515495994361,9894.829224489908,9898.788739985903,-27.175514572028128,0.0,9894.829224489908,0.0
2023-09-21,Compra,16.872880935668945,16.874568223762513,586.1407036697943,9890.871292800111,3.957931689795963,0.0,,,,,
2023-09-23,Venda,16.780778884887695,16.779100806999207,586.1407036697943,,3.9339655815843715,9830.979988379346,9834.91395396093,-59.891304420766204,0.0,9830.979988379346,0.0
2023-09-26,Compra,16.430795669555664,16.43243874912262,598.0273376590977,9827.047596383994,3.932391995351738,0.0,,,,,
2023-09-28,Venda,16.37553596496582,16.373898411369325,598.0273376590977,,3.9168155496206905,9788.122058502106,9792.038874051726,-38.9255378818887,0.0,9788.122058502106,0.0
2023-11-14,Compra,19.230663299560547,19.2325863658905,508.7306836188841,9784.206809678704,3.915248823400842,0.0,,,,,
2023-11-15,Venda,19.230663299560547,19.228740233230592,508.7306836188841,,3.9129000655925354,9778.337263915748,9782.25016398134,-5.869545762956901,0.0,9778.337263915748,0.0
