Days,Fold,Avg MAE,Avg MSE,Avg RMSE,Avg R²
1,1,0.6241982624249877,0.614283644068457,0.7837624921291252,0.7907058060976123
1,2,0.36101257440907,0.3158371828628079,0.45781818877720026,0.8805213161955676
1,3,0.2813051851374385,0.21946924536448006,0.3597132679066002,0.9133111189135442
1,4,0.24714990131264367,0.17335192221803805,0.31655563671356357,0.9305412303375076
1,5,0.24373695342562351,0.15617531525997355,0.31239478829756956,0.936820043413048
2,1,0.31779243506693766,0.17153471781069227,0.41416749970355266,0.9415559557264372
2,2,0.2341813868266218,0.10454432905287295,0.30397794510496684,0.9387502944727395
2,3,0.20411633472788368,0.0823332585227793,0.2675545549134539,0.9491883702126089
2,4,0.18816771905227728,0.06941142467160821,0.24443085871768078,0.9580017716624626
2,5,0.19433358414295573,0.07589864063840508,0.25937179861350756,0.9575370193590848
3,1,0.36677335612363327,0.20493969046847507,0.45270265127175374,0.9301744597477444
3,2,0.2723551664467665,0.12847485663609234,0.34037985584181873,0.9207307514217772
3,3,0.2643929523043522,0.1156869465252149,0.3269816216843735,0.9234359044910025
3,4,0.22981788870791295,0.09362105588275936,0.28663623434554725,0.9390964192009692
3,5,0.2337494973329619,0.10035254767797097,0.3006612165541106,0.940199324330169
4,1,0.3466116676157695,0.19601613166336296,0.44273709090538477,0.933214828907644
4,2,0.25350794583288927,0.12087925507213682,0.3283058851438764,0.9275962639858899
4,3,0.23148533224699364,0.10147672187547281,0.30231828195011967,0.9352351890622286
4,4,0.22166756992973952,0.09064549979447167,0.28702543966181093,0.9440459025726059
4,5,0.2292940450218869,0.10487519394100837,0.3100675941998169,0.9411548243129747
5,1,0.37112910149680883,0.2284657311341762,0.47798088992571264,0.9221588406369513
5,2,0.27611171478951446,0.14259256913863774,0.3580696278025736,0.9127065678347608
5,3,0.2663998056394456,0.1283868519196217,0.3441093836195284,0.9154900927424872
5,4,0.2393167531202207,0.10691074392684591,0.30961019746038543,0.9312258041817503
5,5,0.24220818450443696,0.1162609082079353,0.32608753687714737,0.9316065575045455
6,1,0.4602055960812475,0.33096903700710684,0.5752990848307573,0.8855112281757174
6,2,0.38931853255417637,0.2383282843408133,0.47849472291158596,0.8161552572206113
6,3,0.33098276143595845,0.18626636614599013,0.41453154226293526,0.8559822174891233
6,4,0.28578314721674497,0.14956587985094813,0.3605627917482006,0.8870071071113828
6,5,0.29265027327544757,0.15965487113385005,0.37789537552835034,0.8922170636334634
7,1,0.4387286643577957,0.313850581672191,0.5602236889602143,0.8914328423078008
7,2,0.34626787152485117,0.20682362509757402,0.43806489804584003,0.8589945603058835
7,3,0.30860343607038304,0.1699566900898335,0.39544260991068353,0.8808641538520682
7,4,0.27475775063669083,0.13936882429963568,0.35112851262273237,0.9046413658195822
7,5,0.2763888687301151,0.14752960716120225,0.3657963289573941,0.9080491630662845
8,1,0.4867256867182237,0.3834099853800477,0.6192010863847445,0.8673708612495215
8,2,0.3378457622701209,0.22192052503584836,0.4325141965141747,0.8811717098698326
8,3,0.309690822090576,0.18485888754040905,0.3992660006137698,0.8918583569453339
8,4,0.2836598864842471,0.15500539160980994,0.3634050044347766,0.910636036926229
8,5,0.27961730617979114,0.15796609154688496,0.37313975235718055,0.9137459162531212
9,1,0.6155122938747666,0.5554713859567422,0.7452995276777935,0.8078514010349738
9,2,0.45655528932764744,0.343613184867666,0.5541401105371371,0.789432526162161
9,3,0.38078616222106504,0.2597108122994946,0.4704801185319565,0.8356169473049132
9,4,0.3240103591318029,0.20487976196660393,0.40310113969904265,0.8716167940490558
9,5,0.31857972112618127,0.2037685404518997,0.41177226730792826,0.8799645556759854
10,1,0.5478010127115177,0.46986010495747493,0.6854634235008276,0.8374660456692367
10,2,0.3965900326640811,0.2832554924398074,0.49817533490857024,0.8347448067598695
10,3,0.3439150759504109,0.2215507566768036,0.4365419216075952,0.8641965719549264
10,4,0.29755511397493045,0.17715965364687802,0.37983874551152325,0.8925973040476707
10,5,0.32931239536418133,0.20123995043320075,0.4129693259250259,0.8882083540823977
11,1,0.5635957782820386,0.5039485895801668,0.709893364936007,0.8256741609264981
11,2,0.3837774474393582,0.28716105600809005,0.4875867239675573,0.8516835077998806
11,3,0.34246711543396274,0.22848825079624616,0.4361846906020088,0.8720932448933402
11,4,0.3007060815094098,0.1835896294126172,0.3824183545002713,0.8979005984439936
11,5,0.292852586552884,0.17811050958962163,0.3849774644970553,0.904741219696508
12,1,0.5594592303940744,0.49188533692912484,0.7013453763511419,0.8281053464884836
12,2,0.42355059782663984,0.3082928444878772,0.5272373732393101,0.8044185541718155
12,3,0.36726821865698306,0.2417694159283906,0.4614019288615567,0.8414759271389366
12,4,0.31869742757443226,0.19318543751620962,0.400499531024584,0.875157502605372
12,5,0.30530430291638233,0.18443439842443993,0.3977120409136844,0.887150394417058
13,1,0.6538993763201164,0.6455448989259532,0.8034580878464994,0.7744073498515518
13,2,0.42461579568458324,0.3547779396885758,0.5282310008757001,0.83092646850614
13,3,0.36243182288275827,0.26957768524028086,0.4571286940123121,0.8616181310856647
13,4,0.3123308285167723,0.2133999129070051,0.39580086163627126,0.8905861149774532
13,5,0.3118805275180123,0.2062596410078001,0.40094930177796473,0.897038637166396
14,1,0.8030238967953306,0.902533135287314,0.9500174394648311,0.6846000298739755
14,2,0.5201180584502942,0.4967881168176968,0.6258754642025601,0.7622566973264362
14,3,0.42462451518184,0.3630557432514747,0.5203096214736619,0.816766355544242
14,4,0.35972770371220325,0.2832395627847869,0.44254797698612447,0.8570821894264787
14,5,0.3383976553425644,0.25657272724718727,0.43147361519655103,0.8726488853604021
15,1,0.8591225349541867,0.9935282678110691,0.9967588814809071,0.6528007961865945
15,2,0.5876816507541772,0.5694656012865682,0.6890381244936905,0.6985649717969561
15,3,0.48076793087853326,0.4181250731221891,0.572615594828869,0.769167417992532
15,4,0.39832833115801664,0.32317379492160886,0.47840040799672834,0.8220692051378868
15,5,0.3716522633306908,0.28813833979735104,0.4596609578739491,0.8448042521525251
16,1,0.5827513962080985,0.5409806039671445,0.7355138366931954,0.8109484741790904
16,2,0.3921504754008669,0.3046630071129393,0.498471693963907,0.8453862844624508
16,3,0.3456500638615001,0.23786690717795053,0.43995311085863703,0.8699388121948487
16,4,0.2971288396102009,0.18822032184666299,0.37951314659458907,0.8975272649020614
16,5,0.30556167252136,0.18838244347127361,0.3905658920307067,0.9016075228828955
17,1,0.6819916689034664,0.697652328513923,0.8352558461417214,0.7561978447455062
17,2,0.4717638586506699,0.4019004301631808,0.5805301420646781,0.7847752020697305
17,3,0.38695462352097637,0.29571251865555065,0.4832470807839692,0.8349499972613575
17,4,0.32884881482882933,0.23180747211809657,0.41249298514052074,0.871183836231275
17,5,0.3133000653801542,0.21241418630665926,0.40343580505433296,0.885238298068835
18,1,0.6284801782715121,0.6070165304118854,0.7791126557898321,0.7862631625681562
18,2,0.42893786676375023,0.3446813491913632,0.5330364379893477,0.8198234851915622
18,3,0.3655924631841387,0.2631883415767046,0.4608734621298907,0.8542360105436382
18,4,0.31043585994717565,0.2066633416426955,0.39380093094517615,0.886044761326879
18,5,0.29580583369786173,0.19234350699906072,0.38854289939789866,0.8971204069438098
19,1,0.5253271615197699,0.44712294462529256,0.6686725242039578,0.8425633580973857
19,2,0.38145415663538285,0.2685427568984732,0.48430506650113875,0.8411931354275676
19,3,0.3511534443876028,0.22341900963154562,0.44451228621928013,0.8600441356422271
19,4,0.3013757967894645,0.17701635069481678,0.3819951534312581,0.8903109248436619
