Days,Fold,Avg MAE,Avg MSE,Avg RMSE,Avg R²,Best Learning Rate,Number of Layers,Units Layer 0,Dropout Rate 0,Units Layer 1,Dropout Rate 1
1,1,0.18000289392615373,0.06041914837738162,0.24580306828309043,0.9759867643957356,0.0007114153017064106,1,96,0.1,,
1,2,0.13523002657645417,0.037426929976771696,0.18297380639789027,0.9735640238259433,0.0007071722266710419,1,96,0.30000000000000004,,
1,3,0.12865669621681758,0.032877350091606854,0.17338313240846484,0.9750622060833116,0.0008811735956528642,1,160,0.1,,
1,4,0.11692829808259658,0.027678202970167785,0.15751547879810374,0.9795050878291287,0.0009884638030948367,2,160,0.30000000000000004,32.0,0.1
1,5,0.12344536993798894,0.03192786101597334,0.1702510508299957,0.978628304748991,0.0009532671759050969,2,160,0.1,160.0,0.5
2,1,0.22645362266240884,0.09036131957557512,0.300601596096187,0.9640864243413796,0.0005654845327532762,2,160,0.30000000000000004,224.0,0.1
2,2,0.16771004567333578,0.055921339752834684,0.22358340159438925,0.9605698187390179,0.0007533747955512645,2,32,0.1,224.0,0.1
2,3,0.15491874736601494,0.04728380388551523,0.20679902988664248,0.9644829827592668,0.0007325401901037484,2,96,0.30000000000000004,96.0,0.30000000000000004
2,4,0.14030422815023233,0.03967930212041328,0.1875663680899759,0.9708610536582358,0.0009928711111409098,2,160,0.1,32.0,0.1
2,5,0.14741419053149726,0.04554160400506592,0.20258529851623397,0.9696725603680614,0.0008439551130599116,1,96,0.5,,
3,1,0.24421424592009483,0.10627874528910967,0.326004210538928,0.9577601369947746,0.0007164777927903604,2,224,0.1,224.0,0.5
3,2,0.18406022711462844,0.06681353016641002,0.2456887351495576,0.9515418957495725,0.0009201637863107733,1,96,0.1,,
3,3,0.17085041764519604,0.05719567141936438,0.22873687136832352,0.9560186925117505,0.0009640226174387864,2,160,0.1,160.0,0.30000000000000004
3,4,0.15467145201662874,0.047973775106288835,0.2071792641626951,0.9640023473732174,0.0007256181571217305,2,224,0.30000000000000004,224.0,0.1
3,5,0.16325159065672995,0.05622095483872684,0.22547938835187353,0.962129361369073,0.0008764675343899691,1,224,0.5,,
4,1,0.25870367407438616,0.11943022573023301,0.3455867846579684,0.9525331583487829,0.0009198831436924387,2,224,0.30000000000000004,224.0,0.30000000000000004
4,2,0.196660260419471,0.07592073884535981,0.2628090186953082,0.9438673471320316,0.0006482102338684498,1,160,0.1,,
4,3,0.18501616964887635,0.0659957014777871,0.24681112303739047,0.9483845382694626,0.000671525824922636,1,224,0.1,,
4,4,0.16821559241711193,0.05549137400855951,0.22382073661183205,0.9577324284984569,0.0009640226174387864,2,160,0.1,160.0,0.30000000000000004
4,5,0.17738087829146137,0.06550481382012006,0.2440361470184506,0.955450762873542,0.0008429606058192938,1,160,0.30000000000000004,,
5,1,0.28272643910433953,0.14023590005026246,0.3744808406985095,0.9442640653084134,0.0008121642196299102,2,160,0.5,160.0,0.1
5,2,0.21274830315408388,0.08800538377298957,0.2818116468080946,0.9363704324947477,0.0005174602406278749,1,224,0.30000000000000004,,
5,3,0.19585388076509472,0.07451100148720995,0.2605397499357468,0.9429631708197784,0.000964871807021958,1,160,0.30000000000000004,,
5,4,0.1798403795662243,0.06297233186514689,0.2375031519372917,0.9530171593858588,0.00043604172682904814,1,160,0.30000000000000004,,
5,5,0.1898231323752158,0.07562505430179219,0.2610619175642587,0.9495756838233318,0.0007931683379146592,2,224,0.30000000000000004,96.0,0.1
6,1,0.3002252982712369,0.14980970971502877,0.38705259295737676,0.9395574037813494,0.0007151963634216637,1,96,0.5,,
6,2,0.22145284971563245,0.09269468584077065,0.2878391561089007,0.9335462851344034,0.0006979385019417786,1,224,0.5,,
6,3,0.20535713016415746,0.07946632089993334,0.2686388101001638,0.939517824725088,0.0008333878979849775,1,96,0.30000000000000004,,
6,4,0.18563448003128327,0.06612140077894771,0.241857505586924,0.950792273833176,0.000968474690551947,1,96,0.5,,
6,5,0.19491429978167235,0.07851772589786303,0.2650689707041189,0.9476205024722351,0.0003725300187883502,1,224,0.5,,
7,1,0.30129781324816546,0.15195111277578272,0.38980907220815514,0.9386934280030855,0.0005849492507794077,1,32,0.1,,
