Days,Avg MAE,Avg MSE,Avg RMSE,Avg R²
1,0.1368526569480022,0.038065898486380256,0.185985307343509,0.9765492773766221
2,0.16736016687669783,0.055757473867880845,0.2242271388366857,0.9659345679731922
3,0.1834095866706556,0.06689653536397995,0.24661769391427554,0.9582904867996775
4,0.19719531497026135,0.0764685707764119,0.2646127620041899,0.9515936470244553
5,0.21219842699299166,0.08826993429548022,0.28307946138878026,0.945238102366426
6,0.2215168115927965,0.0933219686265087,0.29009140709149683,0.9422068579892503
7,0.2215816682940833,0.09367564822624116,0.29079651402910206,0.9416827019707943
8,0.22303787878289466,0.09528391725887528,0.2929362010876311,0.9411503099930092
9,0.2360704986621079,0.10781486211395228,0.30886519812155766,0.9350153867021153
10,0.23085026525573418,0.1018212447649354,0.3028148761142965,0.9355961127264777
11,0.237270756013094,0.10758160223799532,0.30897848380318793,0.9341725139018917
12,0.24481547375158833,0.11489976391619468,0.3183476595517332,0.9290882600033974
13,0.22446625157678968,0.09648253762299755,0.29526775316900966,0.9398097110971253
14,0.22657631395982972,0.09983005894054277,0.29739309819215437,0.9391167644873167
15,0.24027438945421062,0.10966220293858217,0.3130148102669853,0.9317609190627214
16,0.235530271239955,0.10675717907752032,0.30826565376095416,0.9332587489957831
17,0.23752134158033314,0.10713694355853469,0.31025773555041847,0.9312149935624932
18,0.23031331183636614,0.10319020201606457,0.30256373586887564,0.9369534891606252
19,0.24188120963058507,0.11214822864743175,0.31568848974567265,0.9295101554879144
20,0.22075864456130448,0.09366458281444101,0.2909323226796138,0.9386665192071604
