Days,Fold,MAE,MSE,RMSE,R²,Learning Rate,Layers,Units L0,Dropout L0,Units L1,Dropout L1
1,1,0.5698242891292654,0.5014465187033619,0.7081288856580855,0.9768849219607161,0.0006729363374420523,2,160,0.1,160.0,0.1
1,2,0.4641028098463164,0.3507365465476551,0.5922301466048947,0.9847075068862756,0.00040322829576099067,2,224,0.1,160.0,0.1
1,3,0.315141862090587,0.1850913717484334,0.43022246774016043,0.98176545262722,0.0008801888540574544,1,224,0.1,,
1,4,0.7147433840668894,0.9622672831465456,0.9809522328567001,0.9767365238937435,0.00025370616279023184,1,224,0.5,,
1,5,0.3005197078438944,0.1570113734919865,0.3962466069154239,0.993002245805267,0.0005795897926913048,2,160,0.5,224.0,0.5
2,1,0.6049690102784766,0.5808607554254525,0.7621422146984462,0.9732241800654329,0.0005942208012621651,1,160,0.1,,
2,2,0.4823804586744241,0.3976167339775017,0.6305685799161751,0.9826634799649362,0.0006208019120312625,1,224,0.5,,
2,3,0.3959450559873839,0.2858282319677591,0.5346290601601816,0.9718412134122716,0.0006298608094595291,2,160,0.1,160.0,0.1
2,4,0.8725817188463713,1.3503216016352535,1.1620333909295608,0.9673550427562237,0.0007318674666429033,2,224,0.1,160.0,0.5
2,5,0.35222196120456134,0.22081916281250896,0.4699139951230533,0.9901584312748685,0.0009494451050534423,2,32,0.1,32.0,0.1
3,1,0.5566860845790988,0.5762680370322039,0.7591232028018929,0.9734358896697729,0.0009301246516305872,1,224,0.5,,
3,2,0.47180833854512505,0.41085597491261167,0.6409804793537879,0.9820862347282366,0.0008694244702828457,2,224,0.30000000000000004,224.0,0.5
3,3,0.44894747277988306,0.3630530114656908,0.6025388049459477,0.9642333012399992,0.0009289008728254506,1,224,0.30000000000000004,,
3,4,0.9773722599512482,1.6884198813937819,1.2993921199521652,0.9591812833543558,0.0009606401217096411,1,96,0.5,,
3,5,0.4047453179501877,0.2928958052799548,0.5411984897243846,0.9869460867424223,0.0005028329925429463,1,224,0.5,,
4,1,0.6484701313436625,0.7163963235897896,0.8464019869954167,0.9669764245853102,0.000979554682480207,2,96,0.1,224.0,0.5
4,2,0.56613115676945,0.5724877754369166,0.756629219259286,0.9750389132534528,0.0005935024115640789,2,96,0.30000000000000004,160.0,0.1
4,3,0.4685224579855862,0.39804511453372515,0.6309081664820365,0.9607860029945979,0.0009075824883996111,1,96,0.30000000000000004,,
4,4,1.029556125190485,1.8666052094155372,1.3662376108918746,0.9548735299956788,0.0008194561081211553,1,160,0.5,,
4,5,0.42172879708779826,0.3235910645521939,0.5688506522385237,0.9855780464880538,0.0007853082156510811,1,160,0.30000000000000004,,
