Days,Fold,Avg MAE,Avg MSE,Avg RMSE,Avg R²,Best Learning Rate,Number of Layers,Units Layer 0,Dropout Rate 0,Units Layer 1,Dropout Rate 1
1,1,0.3147485400254633,0.16108528106825146,0.4013543086454305,0.9356592118269037,0.00080101175817721,1,224,0.1,,
1,2,0.39123788232889783,0.24373325821296543,0.48632608017299717,0.6424589599681687,0.00014806717389836694,2,32,0.5,96.0,0.5
1,3,0.3341093732030971,0.1889711780690182,0.4181718780004857,0.7372026102998198,0.0005580471016106928,2,224,0.1,224.0,0.30000000000000004
1,4,0.28115595544032823,0.1479169690015325,0.35296268994128627,0.7992309098326619,0.0004935301003641269,2,160,0.30000000000000004,160.0,0.30000000000000004
1,5,0.2588288677062873,0.12975785299058012,0.33017031469198654,0.8335755518309058,0.00024325064308737397,2,224,0.1,224.0,0.30000000000000004
2,1,0.28709125446769046,0.1530112688705216,0.39116654876218854,0.9388841390522598,0.0001833709551517746,2,224,0.1,224.0,0.5
2,2,0.2010684794889836,0.08789380660760374,0.27104244271849026,0.946736248636699,0.0007544606540395571,2,96,0.5,224.0,0.5
2,3,0.1955839148220819,0.07695156579022798,0.25891621791425895,0.9475530334770758,0.00041546148606850467,2,224,0.30000000000000004,32.0,0.1
2,4,0.17530882997815342,0.06328003673721048,0.23149119269038565,0.9573628278208908,0.00042545947981647734,1,224,0.1,,
2,5,0.17670624356975728,0.06542948120939003,0.23960885590836076,0.9583617797139166,0.0005234252624982387,2,160,0.1,32.0,0.1
3,1,0.25300526114749045,0.11502357754058963,0.33915126056169925,0.9540572075339699,0.0008416265512556005,1,224,0.1,,
3,2,0.19046440693546995,0.07159941951898864,0.25350307140916545,0.948940582643357,0.000781544849838581,2,160,0.1,160.0,0.30000000000000004
3,3,0.18735108442777113,0.06621957613002057,0.24750179237008632,0.9489017685673936,0.00030877124537313533,1,160,0.1,,
3,4,0.1720006747728388,0.05616658809806959,0.22594354284267515,0.9578194178456487,0.0009881118263716665,1,160,0.30000000000000004,,
3,5,0.178169289600453,0.06352307818128136,0.24172992378260366,0.9568027296968452,0.00035782723514949684,1,160,0.1,,
4,1,0.29165081747348937,0.16163928711601466,0.4020438870521658,0.935437930369471,0.000616992318944277,2,224,0.1,224.0,0.30000000000000004
4,2,0.21402693695172081,0.09676392070427048,0.29030877667146654,0.9359291489073078,0.0008249477376244911,2,160,0.1,224.0,0.30000000000000004
4,3,0.20127902206217294,0.08142526612458979,0.2686302084453592,0.9416767982662234,0.0004798335211084109,1,224,0.1,,
4,4,0.1829197511211983,0.06788578141219338,0.24275470999766066,0.9522138771928953,0.0006224657843556927,1,224,0.1,,
4,5,0.18886460573651637,0.07512769799864309,0.25873139443655935,0.9511847293450053,0.0006204251186675078,1,96,0.1,,
5,1,0.30099933987846894,0.1682549772881808,0.4101889531523013,0.9317721465629921,0.0006259923040080981,2,96,0.1,224.0,0.30000000000000004
5,2,0.21810527468232632,0.09986351861060248,0.29379630848088667,0.9339176728892357,0.000943287635825435,1,224,0.30000000000000004,,
5,3,0.20631189906591127,0.08580105293553864,0.27591705041246223,0.9383410873699116,0.00016927911415676544,1,224,0.1,,
5,4,0.18843033292109596,0.07174632717422393,0.249936443231842,0.9493943589768563,0.0009277872206073058,1,160,0.1,,
5,5,0.1931576977699499,0.07872356467208415,0.26525842334987637,0.9486832485661323,0.0008850815774110864,1,96,0.1,,
6,1,0.3212975128335419,0.18831435516796152,0.4339520194306757,0.9236380139740041,0.0005050816925232278,1,224,0.1,,
6,2,0.23473423620215342,0.11259565445313477,0.3129928750806319,0.9243604731362813,0.000626071409944315,1,224,0.1,,
6,3,0.21884077868555388,0.09506008397873807,0.2903040511513528,0.9312636966120454,0.00044642800838941705,1,224,0.1,,
6,4,0.19881898448795485,0.07905474249193505,0.2617725598953734,0.9438715661798345,0.0005181979324157741,1,224,0.1,,
6,5,0.19764037179153374,0.08032849123795249,0.26787264096834973,0.9464195284333645,0.0005394706494197026,1,224,0.1,,
7,1,0.32439626399399474,0.18687411630723597,0.4322893895381148,0.9242220347708187,0.0009903186685321697,1,160,0.1,,
7,2,0.235296096094798,0.11142683630255432,0.31098608380606046,0.925564033676239,0.0006619480038102869,1,160,0.30000000000000004,,
7,3,0.22357639506556923,0.09664283986728854,0.29365342965169444,0.9299032957007872,0.0006354389127105944,1,160,0.1,,
7,4,0.20262389951322152,0.08029205270885031,0.2644269560630006,0.9428216349289151,0.000931077148670498,1,96,0.1,,
7,5,0.20112394521889274,0.08153694248895035,0.270368939977751,0.945468549724729,0.0007654469946408273,1,160,0.1,,
8,1,0.3213057301589112,0.18504028920063156,0.4301630960468733,0.9249656566777291,0.0001582004961915244,1,160,0.30000000000000004,,
8,2,0.23610949516296387,0.11159185716173359,0.31273325707509075,0.9237378498006312,0.0006507593672656497,1,224,0.30000000000000004,,
8,3,0.22387588895816005,0.09716585715272162,0.29561190371307516,0.9283076664873109,0.0008159004806909442,1,224,0.5,,
8,4,0.20024927954630484,0.07982232254894228,0.2633860488598071,0.9421332662752266,0.0009434533691652866,1,224,0.1,,
8,5,0.2003827412802946,0.08250361406369296,0.27177561569270525,0.9442359895870387,0.0004170641155879516,1,160,0.1,,
9,1,0.33695856633958227,0.19954380153723417,0.4467032589283787,0.9190844427607779,0.0005365347318651777,1,224,0.5,,
9,2,0.2433417553981025,0.11859718480307488,0.3203704009325444,0.9212978726601402,0.0005823006703559514,1,224,0.30000000000000004,,
9,3,0.23061636356290274,0.10261755767761871,0.3021856994184946,0.9259654382015464,0.0005980478813591783,1,224,0.5,,
9,4,0.20849760248693502,0.085098893742069,0.27173840283664075,0.9396761023936036,0.0008221623584369187,1,96,0.1,,
9,5,0.20335719513279948,0.08286075571669564,0.2717628488104742,0.9442329346464705,0.0006736282432334351,1,160,0.1,,
10,1,0.38074215385448557,0.24266304348061504,0.49260840784604465,0.901599472229481,0.0009862175806858576,1,224,0.1,,
10,2,0.2637377842111054,0.1396228803878053,0.3419372490682486,0.9136400790598135,0.0007908267062968045,1,96,0.1,,
10,3,0.2463827883421744,0.1180917878480172,0.3192632728568203,0.9195260252319831,0.0003218203835858728,1,224,0.1,,
10,4,0.21499174873875782,0.09467730292535148,0.27852577996285693,0.9360421043768039,0.0009388578040953571,1,160,0.1,,
10,5,0.21266427245695546,0.09410617601769455,0.28342480481189647,0.9395060011789637,0.0006513511975757243,2,96,0.1,224.0,0.1
11,1,0.36432124629165186,0.229302351054174,0.47885525062817674,0.9060675328278943,0.0006636007501530162,1,96,0.30000000000000004,,
11,2,0.2538995735573046,0.13180824886814463,0.3320480154586392,0.9177695347296884,0.0009434533691652866,1,224,0.1,,
11,3,0.23505195909076262,0.10968022233295621,0.3066258394169535,0.9253941332991077,0.0005574307375535989,1,224,0.30000000000000004,,
11,4,0.21265802157647679,0.09100268685944786,0.2767201017756679,0.9389204726484206,0.00048812203618604837,1,160,0.1,,
11,5,0.20714590701189906,0.0882892863101442,0.2770306173050171,0.9432795496842136,0.0004981791137003542,1,224,0.1,,
12,1,0.3543106440341834,0.22150133424593219,0.47063928251467935,0.9092631771458896,0.0002800910828428154,1,224,0.1,,
12,2,0.24791081096186782,0.12784574156017683,0.3277725331461571,0.9194947879292816,0.0008452937614849513,1,160,0.30000000000000004,,
12,3,0.22833168614994395,0.10554060698377442,0.3007952599238712,0.9279033251752732,0.0008405150326967388,1,224,0.30000000000000004,,
12,4,0.203713955301227,0.08609462447758483,0.267247282988956,0.9418595448869546,0.0007822306746029458,1,160,0.1,,
12,5,0.19811719070781358,0.0824912016250245,0.2659811609779017,0.9465803124432016,0.0008843868788997347,1,224,0.1,,
13,1,0.3559555610020955,0.2240049548052091,0.4732916170874032,0.9082375825328621,0.0005668379550170171,1,224,0.1,,
13,2,0.24767809311548866,0.1286971883564473,0.32800967162381317,0.9198048879989549,0.0009112880110734992,1,160,0.1,,
13,3,0.2252171987234944,0.1042699313463391,0.2971413792864039,0.9297778790652065,0.0007615764539410149,1,224,0.1,,
13,4,0.2033554225708499,0.08585320748215561,0.26659034300055456,0.9428483050748079,0.0005756539357859372,1,224,0.30000000000000004,,
13,5,0.19833899653319156,0.08263909715889686,0.26610508839548347,0.9471983120252787,0.0008323177457178144,1,224,0.1,,
14,1,0.36487322576118236,0.22932688097759749,0.47888086303129457,0.9060574842775148,0.0006492761549929466,1,224,0.1,,
14,2,0.2577262076464566,0.13367294524634768,0.33693275110429216,0.9139570679290869,0.0007540184632864371,1,224,0.1,,
14,3,0.22907961233697752,0.1057736406069587,0.299138820446372,0.927524612160171,0.000803828047774036,1,224,0.1,,
14,4,0.20685800065596896,0.08746841866465313,0.2694600689590904,0.9408726092676759,0.0008881657647310678,1,96,0.1,,
14,5,0.20265109101931253,0.0854851566660459,0.2712644136376847,0.944829446237293,0.0008492924740065624,1,224,0.30000000000000004,,
15,1,0.37279543804399895,0.23905934641484547,0.4889369554603594,0.9020706324812505,0.0004572062135223556,1,224,0.30000000000000004,,
15,2,0.26638914093826754,0.14158594678456177,0.34948341375629705,0.9057013874257193,0.0009505915500498618,2,160,0.30000000000000004,224.0,0.1
15,3,0.24370048551848442,0.11606701868014879,0.3179916630301533,0.9174681595916732,0.0004983883193491715,1,224,0.30000000000000004,,
15,4,0.21740904689738244,0.09487399980855732,0.28271968931584823,0.9335146112696352,0.0008629461176921691,1,96,0.30000000000000004,,
15,5,0.21054420720447195,0.09064448061224059,0.2804809643983889,0.9393312139272705,0.0007552933635680073,2,224,0.1,160.0,0.1
16,1,0.37689152919884883,0.2524760890247335,0.5024699881831088,0.8965745364797658,0.0005527476275616253,1,224,0.5,,
16,2,0.26324063178264734,0.1450150592946541,0.34812930450833623,0.9096934482766166,0.0006166094582699783,1,224,0.30000000000000004,,
16,3,0.23785341351923317,0.11689449857425253,0.3141792241823836,0.9214528571064758,0.0007654469946408273,1,160,0.1,,
16,4,0.21239325277733082,0.09522262748108543,0.27908483111064797,0.9366625785516065,0.000831315330300408,1,224,0.5,,
16,5,0.20531200199416189,0.08987747037125755,0.2756116675520414,0.9423801928746031,0.0009935296565739763,1,224,0.1,,
17,1,0.375181873940915,0.2433418106747384,0.4932968788414725,0.899561392835559,0.0006298608094595291,2,160,0.1,160.0,0.1
17,2,0.2658463743641091,0.14251453796142102,0.3487357369264784,0.9064001394442058,0.0005741649765857549,1,96,0.5,,
17,3,0.24233481337702148,0.11647201860703411,0.31707245672367534,0.918342463454603,0.000355287822581292,1,224,0.1,,
17,4,0.21806014465996276,0.09564578928046633,0.2833339354609639,0.9339164760500904,0.0008162317683527006,1,224,0.5,,
17,5,0.21261876447066913,0.09259087194714799,0.28336677891919876,0.9389873677281383,0.0007927347949971785,1,160,0.30000000000000004,,
18,1,0.39148059130076757,0.2635305027899296,0.5133522209847052,0.891228570330051,0.00031349509364843276,1,224,0.5,,
18,2,0.26767504269508746,0.14922096256758013,0.3500991033062614,0.909284798520548,0.000762784468209627,1,160,0.30000000000000004,,
18,3,0.23336300430239967,0.11540457363383531,0.3062552688682374,0.9252350378782733,0.0008314201702350932,1,224,0.1,,
18,4,0.2071427580347915,0.0933163805301919,0.27081003110382756,0.9399783672673793,0.0007459904095816481,1,224,0.30000000000000004,,
18,5,0.20808505964930396,0.09404074812508323,0.2789178308903554,0.9421577741205109,0.0005567000346813643,2,224,0.1,224.0,0.30000000000000004
19,1,0.4281138013454779,0.313002827533613,0.5594665562244209,0.8708090157263246,0.00017145767161047242,1,224,0.30000000000000004,,
19,2,0.2884025168527421,0.1752753085831341,0.37661953827413325,0.8963315675372134,0.0005526681328434792,1,224,0.1,,
19,3,0.26413844544657206,0.14278671847961927,0.344060895941956,0.9076155025798599,0.00042273254458115875,1,224,0.5,,
19,4,0.234080998506821,0.11551527473450185,0.30394021377460534,0.9257933470305332,0.0006241458772250254,1,160,0.1,,
19,5,0.22576716904936864,0.10915371637467786,0.3010166620086775,0.932150724543148,0.000780134368424877,1,160,0.1,,
20,1,0.35332732714362136,0.22105907141493733,0.47016919445550376,0.9087585270594607,0.0005800395639991258,1,224,0.1,,
20,2,0.25041352237302,0.12898311954364694,0.331140788689256,0.915972966536748,0.000936982395489877,1,160,0.1,,
20,3,0.22699809363832602,0.10400820424183026,0.2982620480991744,0.9278135515126854,0.0008959052739116556,1,160,0.1,,
20,4,0.20326028553958364,0.08523264197599588,0.26620091465654333,0.9416416592334622,0.0008819141236989384,1,224,0.1,,
20,5,0.2018871659754983,0.08606578209379877,0.2727598429443859,0.9442525921063757,0.0009248128678869533,1,32,0.1,,
