Days,Avg MAE,Avg MSE,Avg RMSE,Avg R²
1,0.3160161237408148,0.17429290786846954,0.3977970542904372,0.789625448751692
2,0.20715174446533333,0.08931323184299077,0.27844505159873684,0.9497796057401684
3,0.19619814337680466,0.07450644789378995,0.261565918193246,0.9533043412574429
4,0.21574822666901955,0.09656839067114228,0.2924937953206423,0.9432884968161807
5,0.22140090886355046,0.100877888136126,0.29901943572547374,0.9404217028730256
6,0.23426637680014756,0.11107066546594438,0.3133788293052767,0.9339106556671061
7,0.23740331997729527,0.11135455753497589,0.3143449598073243,0.9335959097602977
8,0.23638462702132693,0.1112247880255444,0.3147339842775103,0.9326760857655874
9,0.2445542965840644,0.11774363869533848,0.32255212218530654,0.9300513581325077
10,0.2637037495206957,0.1378322381318967,0.3431519029091734,0.922062736415409
11,0.254615341505619,0.1300165590849734,0.3342559649168909,0.926286244637865
12,0.24647685743100714,0.12469470177849855,0.3264871039103131,0.9290202295161201
13,0.246109054389024,0.1250928758298096,0.3262276198787316,0.9295733933394221
14,0.2522376274839796,0.1283454084323206,0.3311353834357468,0.9266482439743484
15,0.2621676637205211,0.13644615846007077,0.34392253719220933,0.9196172009391097
16,0.2591381658544444,0.13989714894919664,0.3438950031073036,0.9213527226578135
17,0.2628083941625355,0.13811300569416157,0.34516115737435776,0.9194415679025193
18,0.26154929119647,0.14310263352932404,0.34388689103067743,0.9215769096233526
19,0.2881005862401963,0.1711467691411092,0.3770207732447586,0.9065400314834158
20,0.24717727893400987,0.12506976385404184,0.3277065577689727,0.9276878592897464
