Days,Fold,Avg MAE,Avg MSE,Avg RMSE,Avg R²,Best Learning Rate,Number of Layers,Units Layer 0,Dropout Rate 0,Units Layer 1,Dropout Rate 1
1,1,0.7268763068842935,0.972267902638701,0.9860364611101868,0.9772064139985146,0.0008077496316206624,1,160,0.1,,
1,2,0.5392936612466777,0.5875728352105813,0.7182280037569139,0.9787215911687763,0.0007286193597598368,2,224,0.30000000000000004,160.0,0.30000000000000004
1,3,0.5406682286548428,0.5458719725225766,0.7055025526219642,0.9790865889656944,0.0006606613378426631,2,160,0.30000000000000004,160.0,0.30000000000000004
1,4,0.5408702316182721,0.5430482068758737,0.7119138310414439,0.9783961473013563,0.00034425728247163977,1,160,0.1,,
1,5,0.5188350681585312,0.5183238048437592,0.6990573087708685,0.9772581621423928,0.0008836451157191597,1,160,0.1,,
2,1,0.7934877087207549,1.195407146754404,1.0933467641852717,0.9719751978519627,0.0005437125173161384,2,160,0.1,96.0,0.1
2,2,0.6141629879064208,0.7527787788411566,0.8251291285443427,0.9708810288766615,0.00042604930953428586,2,224,0.1,160.0,0.5
2,3,0.5702111966251787,0.6325983448079322,0.758848969993617,0.9748812615849006,0.00019346752377986132,2,224,0.30000000000000004,32.0,0.30000000000000004
2,4,0.5330240280761938,0.5689631126257502,0.7228526619488349,0.9769751235610203,0.0007062780588676179,1,160,0.1,,
2,5,0.526694659563282,0.5656113117431519,0.7269030040300195,0.9743932627709693,0.0007285356618467501,1,160,0.1,,
3,1,0.8814072894127735,1.4358811249378636,1.1982825730760935,0.9663375908837927,0.00044832577488819675,2,224,0.1,160.0,0.30000000000000004
3,2,0.6452897161856379,0.8648362999496363,0.8701539591944232,0.9688590239890088,0.000579258739537907,2,224,0.1,160.0,0.1
3,3,0.5828183974334302,0.7019841357935347,0.7845748074905945,0.973765403183442,0.00016765315315507936,1,160,0.5,,
3,4,0.5499967617223063,0.6320022933765684,0.750845845967627,0.9756510723409908,0.0004595160753110152,2,224,0.1,96.0,0.1
3,5,0.5536433832843712,0.6410968391791856,0.7652944185141284,0.9717036436211481,0.0009449229279876143,2,224,0.1,160.0,0.1
4,1,0.9040513838836262,1.4892844963644465,1.2203624446714372,0.9650856166737241,0.0006482102338684498,1,160,0.1,,
4,2,0.6580351058841907,0.8947215764351563,0.8841149079723458,0.9679229090536411,0.0009901356518045403,1,224,0.1,,
4,3,0.5952168306944681,0.7264432237002292,0.7975462503476057,0.9729433823695647,0.00017164419105561036,1,224,0.30000000000000004,,
4,4,0.5762376571623915,0.6795640753586195,0.7816887437596438,0.973740582584627,0.00028134040654747037,1,224,0.30000000000000004,,
4,5,0.5790278121129226,0.6911704306183551,0.7971177964167531,0.9693927901530875,0.0007856479955161954,1,96,0.1,,
5,1,0.9938042367231698,1.7260539384318816,1.313793719893607,0.9595546383576767,0.0006022048038290085,2,160,0.1,96.0,0.5
5,2,0.7130334724876795,1.022914622281956,0.9396402533851076,0.9641560232176882,0.0007469897443359323,1,160,0.5,,
5,3,0.641249201849377,0.8298215147818365,0.8484466794933683,0.9696587342213375,0.0002347604480712705,1,96,0.30000000000000004,,
5,4,0.6085384202211199,0.7560315122608632,0.8191363882899406,0.9713267131946065,0.0006736282432334351,1,160,0.1,,
5,5,0.6082218317399296,0.756148631598852,0.8292765913806036,0.9672227213545458,0.0008719402548805036,1,224,0.5,,
6,1,0.999780526396612,1.7268524524533013,1.3140975810240658,0.9595359273616564,0.0009986510149171384,1,96,0.1,,
6,2,0.7255041658635983,1.036708302593775,0.9513972883569553,0.9628380097551437,0.00042565544177505023,1,224,0.30000000000000004,,
6,3,0.6498048031657077,0.8379687578671744,0.8554961778683889,0.9688257593588748,0.00011287161842051763,1,224,0.1,,
6,4,0.6239064206412315,0.7823904083334885,0.8377814053801531,0.9698055869096446,0.00027698112791083983,1,160,0.30000000000000004,,
6,5,0.6233887744434574,0.7911431730838044,0.8520111779039592,0.9651015963103852,0.0007366278582206211,1,96,0.1,,
7,1,1.025602461897046,1.8568573718602959,1.3626655392502944,0.9564896170096903,0.0002321252535748304,1,160,0.30000000000000004,,
7,2,0.7423625261393545,1.1120678908385424,0.9843502649190612,0.9603029454845662,0.0002793841780902376,1,160,0.5,,
7,3,0.6661525305643048,0.8971220550388548,0.8840810182686711,0.9667472185058242,0.00032936011212587445,1,224,0.1,,
7,4,0.6333216472055189,0.8211199766980793,0.8555954588988484,0.9684961594163486,0.00019382369816342608,1,160,0.30000000000000004,,
7,5,0.6360272417945529,0.8352882262222965,0.8733637647208419,0.963198334951338,0.0003217640166506444,1,224,0.5,,
