Days,Fold,Avg MAE,Avg MSE,Avg RMSE,Avg R²,Best Learning Rate,Number of Layers,Units Layer 0,Dropout Rate 0,Units Layer 1,Dropout Rate 1
1,1,0.18450645665747875,0.061192787620369095,0.247371759949209,0.9756464779853425,0.0006388407886542592,1,224,0.30000000000000004,,
1,2,0.13530125574763083,0.037540289455046755,0.18260911666804408,0.9741181812324966,0.0009517925886615166,2,224,0.5,224.0,0.5
1,3,0.12861746051400325,0.0330113681434086,0.17332916625362949,0.9753797566081327,0.0008951708528410475,1,224,0.5,,
1,4,0.11654344574742442,0.027721426254183182,0.15721313888383773,0.9797744058371191,0.0007971523071541606,2,96,0.5,96.0,0.1
1,5,0.12365650522024607,0.03220060406081289,0.17054430490984357,0.9787366014636418,0.0009960948792066737,1,224,0.1,,
2,1,0.21928989058895046,0.08459075104772998,0.2908448917339446,0.9663345502306948,0.0008092288877736728,2,224,0.1,224.0,0.30000000000000004
2,2,0.16264349924473598,0.05246067251184419,0.2167151418041411,0.963104188125746,0.0008314201702350932,1,224,0.1,,
2,3,0.15127870539524038,0.04474505268026437,0.20154768493134478,0.9663888087164189,0.0009932168166272807,1,224,0.5,,
2,4,0.13704668597692446,0.03764507653750848,0.1831227998793834,0.9723637328981852,0.0005942335122465465,2,224,0.30000000000000004,224.0,0.1
2,5,0.144684452700831,0.04397804236056572,0.19915178893974725,0.9708615409894803,0.0008507660026645633,2,96,0.1,160.0,0.30000000000000004
3,1,0.23949679939408308,0.10223380387462001,0.3197402131021683,0.9593129633389349,0.00075626069548558,2,224,0.5,224.0,0.1
3,2,0.17896008779635236,0.06377513878391217,0.23942586324600273,0.9546731184397776,0.0008595456044442286,1,160,0.30000000000000004,,
3,3,0.1671403072631851,0.05477348737249871,0.2235357532627019,0.9584752649416957,0.0008452937614849513,1,160,0.30000000000000004,,
3,4,0.15127800031370983,0.045801610045708055,0.20200838097280244,0.9660511655734703,0.000827171867529962,1,224,0.5,,
3,5,0.1563009211664113,0.05085771390698093,0.2149291688443642,0.9656317473149212,0.000912757705921413,1,32,0.5,,
4,1,0.24763075847308316,0.10833563271858793,0.32914378730060806,0.956201608020132,0.0008452937614849513,1,160,0.30000000000000004,,
4,2,0.18454544374693896,0.06741407574498079,0.2459545066142745,0.9513027880397691,0.0008354336630139179,1,32,0.1,,
4,3,0.17461618304673432,0.059401520388061436,0.23339301783297395,0.954297829640057,0.0006504039604428609,2,224,0.1,160.0,0.5
4,4,0.15992988436377173,0.05024252490610943,0.21276539637267783,0.9623621229428414,0.000707017759992867,1,160,0.5,,
4,5,0.16850473761738877,0.05929026326462024,0.23201238722711975,0.960216579573412,0.0006249774802830185,1,160,0.30000000000000004,,
5,1,0.2606963837200863,0.11902103885376426,0.3449942591605899,0.9518816664217087,0.0008671009196894325,1,160,0.30000000000000004,,
5,2,0.19665257148050141,0.07502085901838353,0.26056057146028677,0.9445624405661424,0.0008824962084950153,1,224,0.1,,
5,3,0.18274766077492732,0.06448754284779419,0.24316599675293094,0.9497906841504165,0.0007863964933220478,1,224,0.5,,
5,4,0.16757993109287542,0.05457099312405953,0.2217614750706388,0.9586782315916295,0.0004357747864910277,1,224,0.5,,
5,5,0.17348661245989544,0.061575622085211466,0.2372737398326655,0.9578658813075472,0.0007761442956039713,1,224,0.30000000000000004,,
6,1,0.26910417054676966,0.11880258090530092,0.34467750275482284,0.951969985533508,0.000698650803942512,1,32,0.30000000000000004,,
6,2,0.2021294354310374,0.07549034614431015,0.2620300432949094,0.9434358210482858,0.0008805277822566945,1,224,0.30000000000000004,,
6,3,0.18814520239529434,0.0655964449997528,0.24602987453165567,0.9483109301370204,0.0008416265512556005,1,224,0.1,,
6,4,0.17351744088390766,0.056353364300907455,0.22681906815208291,0.9570069496480249,0.0006127492598007371,2,160,0.1,160.0,0.30000000000000004
6,5,0.17372213470412812,0.05890019200552325,0.23402425786926137,0.9586063650684542,0.0006452384591292597,1,224,0.1,,
7,1,0.2754107719109747,0.1308613540243059,0.36174763858843073,0.9470948132692317,0.0009029048272716804,1,224,0.1,,
7,2,0.20975979914643578,0.08352688208174752,0.27599533386792935,0.9369376454683228,0.000823040409181003,1,224,0.1,,
7,3,0.19585044661736883,0.07256185283863932,0.2590019219300801,0.9425069114992642,0.00033334909790800737,1,224,0.30000000000000004,,
7,4,0.1761918234302128,0.06024899821345131,0.23242082899986374,0.9534384824347586,0.0009033127474047957,1,160,0.5,,
7,5,0.17906281868736967,0.06486960570610491,0.24367816843718776,0.9543064639166783,0.0008328141857406611,2,224,0.1,224.0,0.5
