Days,MAE_Train,MSE_Train,RMSE_Train,R²_Train,MAE_Test,MSE_Test,RMSE_Test,R²_Test
1,0.13764766428312306,0.03832880550528898,0.19577743870346495,0.9921643593594841,2.3720552216293993,15.184436246554677,3.896721217453807,0.6530793407605633
2,0.16362487457083455,0.051466460417122877,0.2268622057926857,0.9894744545113033,1.6366402135100415,7.907461471348756,2.812020887431094,0.8193372673171717
3,0.17157937992021075,0.06131040915140354,0.2476093882537646,0.9874562447224291,1.6114100313955737,7.120670702625352,2.668458488083589,0.8373131715744639
4,0.1773801193170094,0.06761396079169238,0.26002684629032513,0.9861610932221696,1.799637362521182,8.67721211553926,2.9457107997118896,0.8017506808547903
5,0.1913369122408668,0.07631524670429933,0.27625214334788306,0.9843740234309204,1.1658078925583952,3.986149374139113,1.9965343408364187,0.9089279610879869
6,0.17367560960759568,0.06416880849807445,0.25331563018904785,0.9868557384760595,1.6546368291301112,7.342904937591618,2.7097794998102,0.8322357590154326
7,0.21502750793692446,0.08746796543503675,0.2957498359002702,0.9820760693228374,2.236245673830791,10.71504953997258,3.273385027761412,0.7551919617013141
8,0.2106562346167455,0.08137004881303463,0.28525435809647964,0.9833189478063834,1.4058868923494894,4.219535410206362,2.054150775918448,0.9035957619746942
9,0.1906270196421012,0.07473762037628233,0.27338182159076035,0.9846725875888683,0.7242736604905897,1.2724617995731105,1.1280344850992412,0.9709279107108724
10,0.1858276826234918,0.06646708559542695,0.2578121129726587,0.9863634359182711,0.9402018189430237,1.9052242082293136,1.3802985938663104,0.9564711111044496
11,0.195979096224617,0.07424863715130497,0.272486031112248,0.984760924614678,0.8242195178103703,1.7443182934407315,1.3207264264187082,0.9601473480833921
12,0.189546409621365,0.06905394783462787,0.26278117861564565,0.9858213327905084,1.1186648158616916,2.9061884192779948,1.7047546507571096,0.9336019601966651
13,0.1864436100397774,0.06780133793950593,0.2603869004760146,0.9860729330688516,1.4088680378852352,4.364683177611244,2.089182418462123,0.9002795533030249
14,0.2115565821163708,0.08302919881032828,0.2881478766368551,0.9829377251990055,1.3689944962019562,3.723403321640769,1.929612220535714,0.9149309520627732
15,0.17325083993409152,0.05916829073960317,0.24324533035518517,0.9878359161989578,1.1705498599237012,3.202784494760561,1.789632502711258,0.926825593635306
16,0.17082802282081533,0.05908952967257557,0.24308338008299862,0.9878471005903285,1.1964978069387457,3.2859237611753986,1.8127117148557843,0.924926100717361
17,0.17411732219084344,0.0619226339874712,0.2488425887734477,0.9872594208685747,1.288498394591834,3.735671383711182,1.9327884994771627,0.9146506621585613
18,0.16340099515623444,0.0562481651737255,0.23716695632765855,0.9884223688448383,1.0803264885820367,2.8399592048449582,1.6852178508563687,0.9351151071030728
19,0.1903016463622353,0.06908678822953009,0.26284365738881754,0.985773965447581,1.1977941759171025,3.040675985208967,1.7437534186945605,0.9305293064428672
20,0.18845540735496846,0.0717276155217677,0.26782011784361476,0.985224209734698,0.8568612317885121,1.924397304564416,1.387226479189471,0.9560330610437011
