Fold,Days,MAE_Mean,MAE_Std,MSE_Mean,MSE_Std,RMSE_Mean,RMSE_Std,R²_Mean,R²_Std
1,1,4.063128154272682,4.354413452752473e-14,17.315988499799428,4.158909175281954e-13,4.161248430435201,3.110295323394624e-14,-15.892299394091944,2.683740536186218e-13
2,1,4.5062260666960166,3.8212199687419663e-14,21.264996224522033,2.84369858138937e-14,4.6113985107038875,4.976472517431398e-14,-19.744682415175568,8.17563342149444e-14
3,1,4.696151088194964,6.842649711468172e-14,23.063213392441703,4.230001639816688e-13,4.802417452954471,6.042859485452412e-14,-21.498899887318657,5.331934840105069e-13
4,1,4.745588266242708,8.619961324836528e-14,23.542987958300365,1.7773116133683563e-13,4.852111700929852,1.0663869680210138e-14,-21.966934174602674,1.0663869680210138e-13
5,1,4.7849759070660856,7.37584319547868e-14,23.929444781489472,2.8081523491220033e-13,4.8917731735526635,5.2430692594366516e-14,-22.343935867351213,2.8436985813893705e-13
1,2,4.1303247966904655,7.553574356815515e-14,17.887982769815483,3.59016945900408e-13,4.229418727179363,8.619961324836528e-14,-16.450297890294223,3.34134583313251e-13
2,2,4.603443669597395,5.598531582110323e-14,22.17163800768247,4.0522704784798527e-13,4.708676885037077,3.021429742726206e-14,-20.629139293835102,6.753784130799754e-14
3,2,4.683325821763879,2.04390835537361e-14,22.935278472244722,1.7773116133683563e-13,4.789079083941373,0.0,-21.374094761860455,2.310505097378863e-13
4,2,4.753931792447708,8.264499002162857e-14,23.61622937305287,4.0167242462124855e-13,4.8596532153079455,7.731305518152351e-14,-22.038384070424758,9.597482712189124e-14
5,2,4.769670172641002,5.1542036787682334e-14,23.779597299984513,1.670672916566255e-13,4.876432845839725,1.3329837100262673e-14,-22.19775699431303,3.554623226736712e-15
1,3,4.05722373090164,4.798741356094562e-14,17.270755857409195,9.597482712189124e-14,4.155809891875371,5.331934840105069e-15,-15.84817360746649,1.0308407357536467e-13
2,3,4.5265069349751945,4.354413452752473e-14,21.446788263988232,4.656556427025093e-13,4.631067723969087,5.1542036787682334e-14,-19.92202480182932,1.3152105938925837e-13
3,3,4.620308160525773,2.3105050973788632e-14,22.330696749195795,3.5546232267367126e-13,4.725536662559691,7.198112034141843e-14,-20.78430623539234,4.372186568886157e-13
4,3,4.7062106342259975,7.997902260157605e-15,23.151323625140723,2.488236258715699e-13,4.811582237179443,7.997902260157604e-14,-21.584853036238123,7.109246453473426e-14
5,3,4.7551932267682675,4.265547872084055e-14,23.62833220281997,1.2796643616252167e-13,4.860898291758424,7.997902260157604e-14,-22.050661076422152,2.0261352392399264e-13
1,4,4.014671798615401,1.6884460326999384e-14,16.93916001350343,2.6304211877851675e-13,4.115721080625292,7.020380872805008e-14,-15.525026641252794,2.274958865111496e-13
2,4,4.547653074919473,1.101933200288381e-13,21.645374935714816,8.17563342149444e-14,4.652459020315475,8.17563342149444e-14,-20.116182943422785,1.0663869680210138e-14
3,4,4.65207817609533,9.242020389515453e-14,22.644202973319903,6.042859485452412e-14,4.758592541216354,1.421849290694685e-14,-21.09014245444262,5.68739716277874e-14
4,4,4.699099407824422,7.642439937483933e-14,23.086185007654514,8.17563342149444e-14,4.804808529760007,2.6659674200525345e-15,-21.521308985540525,2.6304211877851675e-13
5,4,4.728912234502404,2.04390835537361e-14,23.379188308340808,1.990589006972559e-13,4.835203026589555,4.7098757754261446e-14,-21.80714466926643,1.137479432555748e-13
1,5,3.9741195383952856,5.73182995311295e-14,16.61479521259733,1.7417653811009893e-13,4.076125024161712,2.3105050973788632e-14,-15.20826203878996,9.064289228178618e-14
2,5,4.544556734001084,5.420800420773487e-14,21.613195788054632,3.199160904063042e-14,4.648999439455187,5.420800420773487e-14,-20.084362671797212,3.234707136330409e-13
3,5,4.6499565953326805,1.599580452031521e-14,22.612295417548353,2.5948749555178e-13,4.755238734022545,4.354413452752473e-14,-21.059016305889656,2.417143794180965e-13
4,5,4.746779539173711,4.798741356094562e-14,23.548350105983367,4.940926285164031e-13,4.852664227615935,4.4432790334208914e-15,-21.972164639778743,9.242020389515453e-14
5,5,4.766710194430205,2.5771018393841167e-14,23.74431057396449,1.955042774705192e-13,4.872813414647075,2.399370678047281e-14,-22.163333043072164,2.7015136523199015e-13
1,6,3.968969227740126,6.042859485452412e-14,16.574259139567776,1.670672916566255e-13,4.071149609086822,6.13172506612083e-14,-15.168719303263256,1.635126684298888e-13
2,6,4.572802350981405,5.331934840105069e-15,21.87829485308494,3.554623226736712e-15,4.677423954815828,5.331934840105069e-15,-20.342974163650045,2.488236258715699e-14
3,6,4.696029713207297,1.510714871363103e-14,23.05675115766915,1.101933200288381e-13,4.801744595214237,4.265547872084055e-14,-21.492595587562068,2.3815975619135977e-13
4,6,4.772360140930913,1.2174584551573242e-13,23.797913781638517,2.9147910459241045e-13,4.878310545838437,1.1552525486894316e-14,-22.215623151401985,1.4929417552294195e-13
5,6,4.744093474124736,4.354413452752473e-14,23.525131355685648,3.412438297667244e-13,4.850271266195909,1.021954177686805e-13,-21.949514883734803,3.696808155806181e-13
1,7,4.030264655898387,5.065338098099816e-14,17.099117340961463,2.0972277037746606e-13,4.1351078995549155,1.6884460326999384e-14,-15.680733804852961,2.3105050973788632e-14
2,7,4.457919889438806,3.554623226736713e-14,20.8284829967565,3.412438297667244e-13,4.56382328719644,1.8661771940367744e-14,-19.318849727783235,2.274958865111496e-13
3,7,4.631477559731609,6.220590646789247e-15,22.448722201239036,3.1991609040630416e-13,4.738008252550751,8.086767840826022e-14,-20.8989975683882,9.952945034862796e-14
4,7,4.717094270346406,2.2216395167104454e-14,23.26472001543948,3.59016945900408e-13,4.823351533471252,6.13172506612083e-14,-21.695475805701562,1.8128578456357236e-13
5,7,4.709362699621218,6.842649711468172e-14,23.19416822664353,3.981178013945118e-13,4.8160324154477525,4.6210101947577265e-14,-21.626180233770928,6.398321808126084e-14
1,8,3.990265859184922,5.509666001441905e-14,16.81350146801417,2.7015136523199015e-13,4.100426986060619,4.1766822914156376e-14,-15.401773117530382,2.968110394325155e-13
2,8,4.543627929370588,1.137479432555748e-13,21.624023402279253,8.17563342149444e-14,4.650163803811566,7.286977614810261e-14,-20.094494760659213,3.234707136330409e-13
3,8,4.623305077791598,5.953993904783994e-14,22.371093485293216,1.4573955229620523e-13,4.729809032645314,1.421849290694685e-14,-20.82282480550291,5.012018749698765e-13
4,8,4.654228332019327,9.153154808847035e-14,22.66602873629679,3.661261923538814e-13,4.760885289134449,2.488236258715699e-14,-21.11048490170882,1.0308407357536467e-13
5,8,4.715324619458838,8.886558066841783e-15,23.251923522189152,5.331934840105069e-14,4.822024836330601,6.220590646789247e-14,-21.682064815946557,2.3460513296462304e-13
1,9,4.051710177569077,4.798741356094562e-14,17.289692394998806,1.4573955229620523e-13,4.158087588663662,9.242020389515453e-14,-15.865957110398794,2.3815975619135977e-13
2,9,4.53088949454266,9.242020389515453e-14,21.503238772337077,2.3460513296462304e-13,4.637158480399077,3.554623226736713e-14,-19.97623902883408,1.3152105938925837e-13
3,9,4.608820732526889,3.2880264847314593e-14,22.22800024499211,2.6304211877851675e-13,4.7146580199408,6.664918550131337e-14,-20.683237560486155,1.3507568261599507e-13
4,9,4.683064299938694,7.820171098820768e-14,22.94068547570065,4.514371497955625e-13,4.789643564577708,3.998951130078802e-14,-21.37845602186906,1.101933200288381e-13
5,9,4.702524854000317,1.1552525486894316e-14,23.131158465928404,1.0308407357536467e-13,4.809486299588386,8.53109574416811e-14,-21.56426010706584,1.8128578456357236e-13
