Data,Acao,Preco,Quantidade,Valor Total,Saldo Restante
2023-01-04_BRFS3.SA_Janela_2,Compra,7.502371311187744,1332.9119001465208,10000.0,0.0
2023-01-05_BRFS3.SA_Janela_2,Venda,8.154328346252441,1332.9119001465208,10869.001290421978,10869.001290421978
2023-01-06_BRFS3.SA_Janela_2,Compra,8.407327651977539,1292.8009636766583,10869.001290421978,0.0
2023-02-01_BRFS3.SA_Janela_2,Venda,8.339211463928223,1292.8009636766583,10780.940616869842,10780.940616869842
2023-02-02_BRFS3.SA_Janela_2,Compra,7.6969852447509775,1400.6705578943383,10780.940616869842,0.0
2023-05-18_BRFS3.SA_Janela_2,Venda,7.745638847351073,1400.6705578943383,10849.088285567288,10849.088285567288
2023-05-19_BRFS3.SA_Janela_2,Compra,7.969444274902344,1361.335610280082,10849.088285567288,0.0
2023-05-31_BRFS3.SA_Janela_2,Venda,7.911060810089111,1361.335610280082,10769.608795865499,10769.608795865499
2023-06-01_BRFS3.SA_Janela_2,Compra,8.241905212402344,1306.689232443427,10769.608795865499,0.0
2023-06-20_BRFS3.SA_Janela_2,Venda,9.438780784606934,1306.689232443427,12333.553218639801,12333.553218639801
2023-06-21_BRFS3.SA_Janela_2,Compra,9.253898620605469,1332.7953681248384,12333.553218639801,0.0
2023-07-05_BRFS3.SA_Janela_2,Venda,9.604203224182127,1332.7953681248384,12800.437571719578,12800.437571719578
2023-07-06_BRFS3.SA_Janela_2,Compra,9.146860122680664,1399.435150427135,12800.437571719578,0.0
2023-07-07_BRFS3.SA_Janela_2,Venda,9.808547973632812,1399.435150427135,13726.426808952607,13726.426808952607
2023-07-10_BRFS3.SA_Janela_2,Compra,9.613934516906738,1427.7637095211933,13726.426808952607,0.0
2023-07-28_BRFS3.SA_Janela_2,Venda,8.94251537322998,1427.7637095211933,12767.798921733136,12767.798921733136
2023-08-01_BRFS3.SA_Janela_2,Compra,9.50689697265625,1343.003816961086,12767.798921733136,0.0
2023-08-04_BRFS3.SA_Janela_2,Venda,9.99343204498291,1343.003816961086,13421.21738095328,13421.21738095328
2023-08-07_BRFS3.SA_Janela_2,Compra,9.808547973632812,1368.318472523353,13421.21738095328,0.0
2023-08-15_BRFS3.SA_Janela_2,Venda,10.24642848968506,1368.318472523353,14020.377379825628,14020.377379825628
2023-08-16_BRFS3.SA_Janela_2,Compra,10.022623062133787,1398.8730587699793,14020.377379825628,0.0
2023-10-10_BRFS3.SA_Janela_2,Venda,10.947039604187012,1398.8730587699793,15313.518775585188,15313.518775585188
2023-10-11_BRFS3.SA_Janela_2,Compra,10.70377254486084,1430.6655631371395,15313.518775585188,0.0
2023-10-20_BRFS3.SA_Janela_2,Venda,10.499427795410156,1430.6655631371395,15021.169779538206,15021.169779538206
2023-10-23_BRFS3.SA_Janela_2,Compra,10.69404125213623,1404.629870540063,15021.169779538206,0.0
2023-10-31_BRFS3.SA_Janela_2,Venda,10.382659912109377,1404.629870540063,14583.794248207696,14583.794248207696
2023-11-03_BRFS3.SA_Janela_2,Compra,11.034616470336914,1321.6403386027623,14583.794248207696,0.0
2023-11-06_BRFS3.SA_Janela_2,Venda,12.455299377441406,1321.6403386027623,16461.426086600433,16461.426086600433
2023-11-07_BRFS3.SA_Janela_2,Compra,12.260684967041016,1342.6187958382247,16461.426086600433,0.0
2023-11-10_BRFS3.SA_Janela_2,Venda,11.822802543640137,1342.6187958382247,15873.51691457522,15873.51691457522
2023-11-13_BRFS3.SA_Janela_2,Compra,11.97849464416504,1325.1679268652945,15873.51691457522,0.0
2023-11-14_BRFS3.SA_Janela_2,Venda,12.484490394592283,1325.1679268652945,16544.04625417154,16544.04625417154
2023-11-21_BRFS3.SA_Janela_2,Compra,13.778674125671388,1200.6994361923341,16544.04625417154,0.0
2023-11-27_BRFS3.SA_Janela_2,Venda,14.10951805114746,1200.6994361923341,16941.290368958315,16941.290368958315
2023-11-30_BRFS3.SA_Janela_2,Compra,14.265209197998043,1187.5949475270106,16941.290368958315,0.0
2023-12-01_BRFS3.SA_Janela_2,Venda,14.771206855773926,1187.5949475270106,17542.210630793455,17542.210630793455
2023-12-04_BRFS3.SA_Janela_2,Compra,14.72255229949951,1191.519668188905,17542.210630793455,0.0
2023-12-08_BRFS3.SA_Janela_2,Venda,13.467291831970217,1191.519668188905,16046.543095032303,16046.543095032303
2023-12-11_BRFS3.SA_Janela_2,Compra,13.447830200195312,1193.2440294196492,16046.543095032303,0.0
2023-12-13_BRFS3.SA_Janela_2,Venda,13.691097259521484,1193.2440294196492,16336.820061127733,16336.820061127733
2023-12-14_BRFS3.SA_Janela_2,Compra,13.43809986114502,1215.709083124474,16336.820061127733,0.0
2023-12-18_BRFS3.SA_Janela_2,Venda,13.515945434570312,1215.709083124474,16431.457631821897,16431.457631821897
2023-12-20_BRFS3.SA_Janela_2,Compra,13.749482154846191,1195.0601082114506,16431.457631821897,0.0
2023-12-28_BRFS3.SA_Janela_2,Venda Final,13.43809986114502,1195.0601082114506,16059.337074216246,16059.337074216246
