Data,Acao,Preco,Quantidade,Valor Total,Saldo Restante
"Data                      2023-01-05
Data    2023-01-05_BRFS3.SA_Janela_2
Name: 1, dtype: object",Compra,8.154328346252441,1226.3425723586163,10000.0,0.0
"Data                      2023-01-12
Data    2023-01-12_BRFS3.SA_Janela_2
Name: 6, dtype: object",Venda,8.32948112487793,1226.3425723586163,10214.797309095342,10214.797309095342
"Data                      2023-01-18
Data    2023-01-18_BRFS3.SA_Janela_2
Name: 10, dtype: object",Compra,7.716446876525879,1323.7695370092767,10214.797309095342,0.0
"Data                      2023-01-20
Data    2023-01-20_BRFS3.SA_Janela_2
Name: 12, dtype: object",Venda,7.687254905700683,1323.7695370092767,10176.153867391684,10176.153867391684
"Data                      2023-01-23
Data    2023-01-23_BRFS3.SA_Janela_2
Name: 13, dtype: object",Compra,7.580216884613038,1342.4620986832313,10176.153867391684,0.0
"Data                      2023-01-24
Data    2023-01-24_BRFS3.SA_Janela_2
Name: 14, dtype: object",Venda,7.804023742675782,1342.4620986832313,10476.606091766296,10476.606091766296
"Data                      2023-01-25
Data    2023-01-25_BRFS3.SA_Janela_2
Name: 15, dtype: object",Compra,7.92079210281372,1322.6715151436267,10476.606091766296,0.0
"Data                      2023-01-27
Data    2023-01-27_BRFS3.SA_Janela_2
Name: 17, dtype: object",Venda,7.560755252838134,1322.6715151436267,10000.395605901549,10000.395605901549
"Data                      2023-02-01
Data    2023-02-01_BRFS3.SA_Janela_2
Name: 20, dtype: object",Compra,8.339211463928223,1199.2015850849787,10000.395605901549,0.0
"Data                      2023-02-03
Data    2023-02-03_BRFS3.SA_Janela_2
Name: 22, dtype: object",Venda,7.521832942962647,1199.2015850849787,9020.193987945217,9020.193987945217
"Data                      2023-02-09
Data    2023-02-09_BRFS3.SA_Janela_2
Name: 26, dtype: object",Compra,6.694723129272461,1347.3587800076018,9020.193987945217,0.0
"Data                      2023-02-10
Data    2023-02-10_BRFS3.SA_Janela_2
Name: 27, dtype: object",Venda,6.247110843658447,1347.3587800076018,8417.099644883905,8417.099644883905
"Data                      2023-02-14
Data    2023-02-14_BRFS3.SA_Janela_2
Name: 29, dtype: object",Compra,6.286033630371094,1339.0160059304367,8417.099644883905,0.0
"Data                      2023-02-15
Data    2023-02-15_BRFS3.SA_Janela_2
Name: 30, dtype: object",Venda,6.529301166534424,1339.0160059304367,8742.838769529864,8742.838769529864
"Data                      2023-02-16
Data    2023-02-16_BRFS3.SA_Janela_2
Name: 31, dtype: object",Compra,6.587685585021973,1327.1487621400654,8742.838769529864,0.0
"Data                      2023-02-22
Data    2023-02-22_BRFS3.SA_Janela_2
Name: 33, dtype: object",Venda,6.227649688720703,1327.1487621400654,8265.017575427644,8265.017575427644
"Data                      2023-02-24
Data    2023-02-24_BRFS3.SA_Janela_2
Name: 35, dtype: object",Compra,6.286033630371094,1314.8223603983045,8265.017575427644,0.0
"Data                      2023-02-27
Data    2023-02-27_BRFS3.SA_Janela_2
Name: 36, dtype: object",Venda,6.295763969421387,1314.8223603983045,8277.811242785227,8277.811242785227
