Data,Acao,Preco,Quantidade,Valor Total,Saldo Restante
"Data                      2023-01-05
Data    2023-01-05_VALE3.SA_Janela_2
Name: 1, dtype: object",Compra,73.7818832397461,135.53462667123992,10000.0,0.0
"Data                      2023-01-16
Data    2023-01-16_VALE3.SA_Janela_2
Name: 8, dtype: object",Venda,74.8776626586914,135.53462667123992,10148.516054460782,10148.516054460782
"Data                      2023-01-18
Data    2023-01-18_VALE3.SA_Janela_2
Name: 10, dtype: object",Compra,75.76240539550781,133.95187232350622,10148.516054460782,0.0
"Data                      2023-01-27
Data    2023-01-27_VALE3.SA_Janela_2
Name: 17, dtype: object",Venda,77.3695297241211,133.95187232350622,10363.793367335189,10363.793367335189
"Data                      2023-02-08
Data    2023-02-08_VALE3.SA_Janela_2
Name: 25, dtype: object",Compra,72.01243591308594,143.9167171048564,10363.793367335189,0.0
"Data                      2023-02-09
Data    2023-02-09_VALE3.SA_Janela_2
Name: 26, dtype: object",Venda,71.74458312988281,143.9167171048564,10325.244874109198,10325.244874109198
"Data                      2023-02-14
Data    2023-02-14_VALE3.SA_Janela_2
Name: 29, dtype: object",Compra,70.69750213623047,146.0482274778673,10325.244874109198,0.0
"Data                      2023-02-17
Data    2023-02-17_VALE3.SA_Janela_2
Name: 32, dtype: object",Venda,71.45236206054688,146.0482274778673,10435.490828049686,10435.490828049686
"Data                      2023-02-28
Data    2023-02-28_VALE3.SA_Janela_2
Name: 37, dtype: object",Compra,69.25270080566406,150.68713142803787,10435.490828049686,0.0
"Data                      2023-03-06
Data    2023-03-06_VALE3.SA_Janela_2
Name: 41, dtype: object",Venda,69.92640686035156,150.68713142803787,10537.009660856245,10537.009660856245
"Data                      2023-03-13
Data    2023-03-13_VALE3.SA_Janela_2
Name: 46, dtype: object",Compra,69.0335693359375,152.63602566426894,10537.009660856245,0.0
"Data                      2023-03-15
Data    2023-03-15_VALE3.SA_Janela_2
Name: 48, dtype: object",Venda,67.5633773803711,152.63602566426894,10312.60540379501,10312.60540379501
"Data                      2023-03-17
Data    2023-03-17_VALE3.SA_Janela_2
Name: 50, dtype: object",Compra,68.6251449584961,150.27444255355653,10312.60540379501,0.0
"Data                      2023-03-22
Data    2023-03-22_VALE3.SA_Janela_2
Name: 53, dtype: object",Venda,67.75416564941406,150.27444255355653,10181.719473647026,10181.719473647026
"Data                      2023-03-28
Data    2023-03-28_VALE3.SA_Janela_2
Name: 57, dtype: object",Compra,65.83800506591797,154.64805568535894,10181.719473647026,0.0
"Data                      2023-03-31
Data    2023-03-31_VALE3.SA_Janela_2
Name: 60, dtype: object",Venda,66.60114288330078,154.64805568535894,10299.737253325247,10299.737253325247
"Data                      2023-04-10
Data    2023-04-10_VALE3.SA_Janela_2
Name: 65, dtype: object",Compra,64.89236450195312,158.72032607187933,10299.737253325247,0.0
"Data                      2023-04-13
Data    2023-04-13_VALE3.SA_Janela_2
Name: 68, dtype: object",Venda,65.95413970947266,158.72032607187933,10468.262560477784,10468.262560477784
"Data                      2023-04-27
Data    2023-04-27_VALE3.SA_Janela_2
Name: 77, dtype: object",Compra,59.52545547485352,175.86194808538832,10468.262560477784,0.0
"Data                      2023-05-02
Data    2023-05-02_VALE3.SA_Janela_2
Name: 79, dtype: object",Venda,57.68394470214844,175.86194808538832,10144.410888569639,10144.410888569639
"Data                      2023-05-08
Data    2023-05-08_VALE3.SA_Janela_2
Name: 83, dtype: object",Compra,58.040634155273445,174.7811862535954,10144.410888569639,0.0
"Data                      2023-05-10
Data    2023-05-10_VALE3.SA_Janela_2
Name: 85, dtype: object",Venda,57.53463363647461,174.7811862535954,10055.971517649043,10055.971517649043
"Data                      2023-05-15
Data    2023-05-15_VALE3.SA_Janela_2
Name: 88, dtype: object",Compra,57.285778045654304,175.5404545546168,10055.971517649043,0.0
"Data                      2023-05-16
Data    2023-05-16_VALE3.SA_Janela_2
Name: 89, dtype: object",Venda,56.10787582397462,175.5404545546168,9849.202026234498,9849.202026234498
"Data                      2023-05-17
Data    2023-05-17_VALE3.SA_Janela_2
Name: 90, dtype: object",Compra,57.96597290039063,169.91351190049852,9849.202026234498,0.0
"Data                      2023-05-19
Data    2023-05-19_VALE3.SA_Janela_2
Name: 92, dtype: object",Venda,57.41020202636719,169.91351190049852,9754.769045217165,9754.769045217165
