Data,Acao,Preco,Quantidade,Valor Total,Saldo Restante
"Data                      2023-03-06
Data    2023-03-06_JBSS3.SA_Janela_1
Name: 42, dtype: object",Compra,17.45677375793457,572.8435356192167,10000.0,0.0
"Data                      2023-03-16
Data    2023-03-16_JBSS3.SA_Janela_1
Name: 50, dtype: object",Venda,17.421897888183594,572.8435356192167,9980.021583464055,9980.021583464055
"Data                      2023-03-17
Data    2023-03-17_JBSS3.SA_Janela_1
Name: 51, dtype: object",Compra,17.866600036621094,558.5853807108261,9980.021583464055,0.0
"Data                      2023-03-24
Data    2023-03-24_JBSS3.SA_Janela_1
Name: 56, dtype: object",Venda,15.791319847106934,558.5853807108261,8820.80040872265,8820.80040872265
"Data                      2023-05-04
Data    2023-05-04_JBSS3.SA_Janela_1
Name: 82, dtype: object",Compra,15.65180492401123,563.5644228603167,8820.80040872265,0.0
"Data                      2023-05-16
Data    2023-05-16_JBSS3.SA_Janela_1
Name: 90, dtype: object",Venda,14.143301010131836,563.5644228603167,7970.661271114682,7970.661271114682
"Data                      2023-06-07
Data    2023-06-07_JBSS3.SA_Janela_1
Name: 106, dtype: object",Compra,15.398933410644531,517.6112564786437,7970.661271114682,0.0
"Data                      2023-06-30
Data    2023-06-30_JBSS3.SA_Janela_1
Name: 122, dtype: object",Venda,16.080812454223633,517.6112564786437,8323.609539628116,8323.609539628116
"Data                      2023-07-04
Data    2023-07-04_JBSS3.SA_Janela_1
Name: 124, dtype: object",Compra,16.15449333190918,515.2504240530341,8323.609539628116,0.0
"Data                      2023-07-27
Data    2023-07-27_JBSS3.SA_Janela_1
Name: 141, dtype: object",Venda,16.661048889160156,515.2504240530341,8584.612505308103,8584.612505308103
"Data                      2023-08-01
Data    2023-08-01_JBSS3.SA_Janela_1
Name: 144, dtype: object",Compra,17.517587661743164,490.05677442997046,8584.612505308103,0.0
"Data                      2023-08-23
Data    2023-08-23_JBSS3.SA_Janela_1
Name: 160, dtype: object",Venda,17.17681312561035,490.05677442997046,8417.613635322989,8417.613635322989
"Data                      2023-09-15
Data    2023-09-15_JBSS3.SA_Janela_1
Name: 176, dtype: object",Compra,17.425485610961914,483.0633603707256,8417.613635322989,0.0
"Data                      2023-09-22
Data    2023-09-22_JBSS3.SA_Janela_1
Name: 181, dtype: object",Venda,16.780778884887695,483.0633603707256,8106.179437771968,8106.179437771968
"Data                      2023-10-11
Data    2023-10-11_JBSS3.SA_Janela_1
Name: 194, dtype: object",Compra,17.655738830566406,459.12433999862907,8106.179437771968,0.0
"Data                      2023-12-28
Data    2023-12-28_JBSS3.SA_Janela_1
Name: 246, dtype: object",Venda Final,22.94232749938965,459.12433999862907,10533.38097118967,10533.38097118967
