Data,Acao,Preco,Quantidade,Valor Total,Saldo Restante
"Data                      2023-02-13
Data    2023-02-13_PETR4.SA_Janela_2
Name: 28, dtype: object",Compra,16.89889144897461,591.7547923302851,10000.0,0.0
"Data                      2023-03-02
Data    2023-03-02_PETR4.SA_Janela_2
Name: 39, dtype: object",Venda,15.53689193725586,591.7547923302851,9194.030261788923,9194.030261788923
"Data                      2023-04-05
Data    2023-04-05_PETR4.SA_Janela_2
Name: 63, dtype: object",Compra,15.35403060913086,598.8023924038124,9194.030261788923,0.0
"Data                      2023-07-07
Data    2023-07-07_PETR4.SA_Janela_2
Name: 126, dtype: object",Venda,22.325958251953125,598.8023924038124,13368.837213977169,13368.837213977169
"Data                      2023-07-27
Data    2023-07-27_PETR4.SA_Janela_2
Name: 140, dtype: object",Compra,22.24270820617676,601.0435910077113,13368.837213977169,0.0
"Data                      2023-10-06
Data    2023-10-06_PETR4.SA_Janela_2
Name: 190, dtype: object",Venda,26.32749366760254,601.0435910077113,15823.971336208608,15823.971336208608
"Data                      2023-10-13
Data    2023-10-13_PETR4.SA_Janela_2
Name: 194, dtype: object",Compra,28.503774642944336,555.1535378885542,15823.971336208608,0.0
"Data                      2023-11-01
Data    2023-11-01_PETR4.SA_Janela_2
Name: 207, dtype: object",Venda,27.5924072265625,555.1535378885542,15318.022490687881,15318.022490687881
"Data                      2023-11-21
Data    2023-11-21_PETR4.SA_Janela_2
Name: 219, dtype: object",Compra,28.566627502441406,536.2208923464539,15318.022490687881,0.0
"Data                      2023-12-08
Data    2023-12-08_PETR4.SA_Janela_2
Name: 232, dtype: object",Venda,28.159423828125,536.2208923464539,15099.671373079183,15099.671373079183
"Data                      2023-12-20
Data    2023-12-20_PETR4.SA_Janela_2
Name: 240, dtype: object",Compra,29.702516555786133,508.36336862971046,15099.671373079183,0.0
"Data                      2023-12-28
Data    2023-12-28_PETR4.SA_Janela_2
Name: 245, dtype: object",Venda Final,30.404661178588867,508.36336862971046,15456.615978792419,15456.615978792419
