Data,Acao,Preco,Quantidade,Valor Total,Saldo Restante
"Data                      2023-03-08
Data    2023-03-08_VALE3.SA_Janela_2
Name: 43, dtype: object",Compra,69.89393615722656,143.07392815172088,10000.0,0.0
"Data                      2023-03-10
Data    2023-03-10_VALE3.SA_Janela_2
Name: 45, dtype: object",Venda,68.74946594238281,143.07392815172088,9836.25615070966,9836.25615070966
"Data                      2023-06-12
Data    2023-06-12_VALE3.SA_Janela_2
Name: 107, dtype: object",Compra,55.6765365600586,176.66788845781085,9836.25615070966,0.0
"Data                      2023-06-27
Data    2023-06-27_VALE3.SA_Janela_2
Name: 118, dtype: object",Venda,55.43598175048828,176.66788845781085,9793.757840444501,9793.757840444501
"Data                      2023-07-17
Data    2023-07-17_VALE3.SA_Janela_2
Name: 132, dtype: object",Compra,56.28207778930664,174.012016349284,9793.757840444501,0.0
"Data                      2023-08-07
Data    2023-08-07_VALE3.SA_Janela_2
Name: 147, dtype: object",Venda,56.32355499267578,174.012016349284,9800.975372235294,9800.975372235294
"Data                      2023-09-01
Data    2023-09-01_VALE3.SA_Janela_2
Name: 166, dtype: object",Compra,58.86874771118163,166.48859969504124,9800.975372235294,0.0
"Data                      2023-09-28
Data    2023-09-28_VALE3.SA_Janela_2
Name: 184, dtype: object",Venda,56.99731826782227,166.48859969504124,9489.403704782324,9489.403704782324
"Data                      2023-10-19
Data    2023-10-19_VALE3.SA_Janela_2
Name: 198, dtype: object",Compra,55.04898834228516,172.38107348637982,9489.403704782324,0.0
"Data                      2023-10-20
Data    2023-10-20_VALE3.SA_Janela_2
Name: 199, dtype: object",Venda,53.56209945678712,172.38107348637982,9233.092202545204,9233.092202545204
"Data                      2023-11-01
Data    2023-11-01_VALE3.SA_Janela_2
Name: 207, dtype: object",Compra,60.09072875976562,153.6525249919638,9233.092202545204,0.0
"Data                      2023-12-12
Data    2023-12-12_VALE3.SA_Janela_2
Name: 234, dtype: object",Venda,64.29682922363281,153.6525249919638,9879.37015918827,9879.37015918827
"Data                      2023-12-20
Data    2023-12-20_VALE3.SA_Janela_2
Name: 240, dtype: object",Compra,65.61817932128906,150.55843154098335,9879.37015918827,0.0
"Data                      2023-12-28
Data    2023-12-28_VALE3.SA_Janela_2
Name: 245, dtype: object",Venda Final,68.00540924072266,150.55843154098335,10238.787751585898,10238.787751585898
