Data,Acao,Preco,Quantidade,Valor Total,Saldo Restante
2023-01-03_BRFS3.SA_Janela_2,Compra,7.356410980224609,1359.3585278040944,10000.0,0.0
2023-11-06_BRFS3.SA_Janela_2,Venda,12.455299377441406,1359.3585278040944,16931.217425078004,16931.217425078004
2023-11-07_BRFS3.SA_Janela_2,Compra,12.260685920715332,1380.9355801596275,16931.217425078004,0.0
2023-11-15_BRFS3.SA_Janela_2,Venda,12.484490394592283,1380.9355801596275,17240.276986053592,17240.276986053592
2023-12-05_BRFS3.SA_Janela_2,Compra,14.119248390197754,1221.0477859446544,17240.276986053592,0.0
2023-12-08_BRFS3.SA_Janela_2,Venda,13.467291831970217,1221.0477859446544,16444.206874097763,16444.206874097763
2023-12-09_BRFS3.SA_Janela_2,Compra,13.467291831970217,1221.0477859446544,16444.206874097763,0.0
2023-12-13_BRFS3.SA_Janela_2,Venda,13.691097259521484,1221.0477859446544,16717.483995891635,16717.483995891635
2023-12-14_BRFS3.SA_Janela_2,Compra,13.43809986114502,1244.0362974402833,16717.483995891635,0.0
2023-12-18_BRFS3.SA_Janela_2,Venda,13.515945434570312,1244.0362974402833,16814.326714827752,16814.326714827752
2023-12-22_BRFS3.SA_Janela_2,Compra,13.42836952209473,1252.1495396117782,16814.326714827752,0.0
2023-12-23_BRFS3.SA_Janela_2,Venda,13.42836952209473,1252.1495396117782,16814.326714827752,16814.326714827752
