Data,Acao,Preco,Quantidade,Valor Total,Saldo Restante
2023-01-13_JBSS3.SA_Janela_2,Compra,18.747283935546875,533.4106014705907,10000.0,0.0
2023-01-14_JBSS3.SA_Janela_2,Venda,18.747283935546875,533.4106014705907,10000.0,10000.0
2023-01-19_JBSS3.SA_Janela_2,Compra,18.921680450439453,528.4942860224527,10000.0,0.0
2023-01-20_JBSS3.SA_Janela_2,Venda,18.834482192993164,528.4942860224527,9953.91621918852,9953.91621918852
2023-01-27_JBSS3.SA_Janela_2,Compra,18.686248779296875,532.6867011541021,9953.91621918852,0.0
2023-02-23_JBSS3.SA_Janela_2,Venda,16.48017120361328,532.6867011541021,8778.768032907588,8778.768032907588
2023-02-24_JBSS3.SA_Janela_2,Compra,16.401695251464844,535.2354069695053,8778.768032907588,0.0
2023-03-06_JBSS3.SA_Janela_2,Venda,17.45677375793457,535.2354069695053,9343.483406702691,9343.483406702691
2023-03-07_JBSS3.SA_Janela_2,Compra,17.090547561645508,546.7047426655465,9343.483406702691,0.0
2023-03-16_JBSS3.SA_Janela_2,Venda,17.42189598083496,546.7047426655465,9524.633158948296,9524.633158948296
2023-03-20_JBSS3.SA_Janela_2,Compra,16.56736946105957,574.9031662108624,9524.633158948296,0.0
2023-07-12_JBSS3.SA_Janela_2,Venda,17.314964294433594,574.9031662108624,9954.427795697904,9954.427795697904
2023-07-13_JBSS3.SA_Janela_2,Compra,17.793888092041016,559.4296055031613,9954.427795697904,0.0
2023-10-09_JBSS3.SA_Janela_2,Venda,16.92814064025879,559.4296055031613,9470.103040282007,9470.103040282007
2023-10-12_JBSS3.SA_Janela_2,Compra,17.655738830566406,536.3753469147913,9470.103040282007,0.0
2023-10-16_JBSS3.SA_Janela_2,Venda,17.692577362060547,536.3753469147913,9489.862320392009,9489.862320392009
2023-10-17_JBSS3.SA_Janela_2,Compra,17.526798248291016,541.4487110512233,9489.862320392009,0.0
2023-10-20_JBSS3.SA_Janela_2,Venda,17.68337059020996,541.4487110512233,9574.638213110293,9574.638213110293
2023-10-21_JBSS3.SA_Janela_2,Compra,17.68337059020996,541.4487110512233,9574.638213110293,0.0
2023-10-23_JBSS3.SA_Janela_2,Venda,17.867568969726562,541.4487110512233,9674.37218827728,9674.37218827728
2023-10-24_JBSS3.SA_Janela_2,Compra,17.81231117248535,543.1284067853737,9674.37218827728,0.0
2023-10-26_JBSS3.SA_Janela_2,Venda,18.39254379272461,543.1284067853737,9989.513006872732,9989.513006872732
2023-10-28_JBSS3.SA_Janela_2,Compra,18.30965232849121,545.5872578928378,9989.513006872732,0.0
2023-10-31_JBSS3.SA_Janela_2,Venda,18.44780731201172,545.5872578928378,10064.888605495917,10064.888605495917
2023-11-05_JBSS3.SA_Janela_2,Compra,19.203033447265625,524.1301398102332,10064.888605495917,0.0
2023-11-06_JBSS3.SA_Janela_2,Venda,19.635906219482425,524.1301398102332,10291.770272117952,10291.770272117952
2023-11-08_JBSS3.SA_Janela_2,Compra,19.801687240600582,519.7420879881448,10291.770272117952,0.0
2023-11-10_JBSS3.SA_Janela_2,Venda,19.62669563293457,519.7420879881448,10200.819768569218,10200.819768569218
2023-11-13_JBSS3.SA_Janela_2,Compra,19.341182708740234,527.4144772935468,10200.819768569218,0.0
2023-11-16_JBSS3.SA_Janela_2,Venda,19.949050903320312,527.4144772935468,10521.41825467704,10521.41825467704
2023-11-18_JBSS3.SA_Janela_2,Compra,19.930627822875977,527.9019982802934,10521.41825467704,0.0
2023-11-19_JBSS3.SA_Janela_2,Venda,19.930627822875977,527.9019982802934,10521.41825467704,10521.41825467704
2023-11-21_JBSS3.SA_Janela_2,Compra,19.62669563293457,536.0769052240041,10521.41825467704,0.0
2023-11-22_JBSS3.SA_Janela_2,Venda,20.418764114379883,536.0769052240041,10946.02787493572,10946.02787493572
