Data,Acao,Preco,Quantidade,Valor Total,Saldo Restante
2023-01-05_SOJA3.SA_Janela_4,Compra,9.166814804077148,1090.8914616178647,10000.0,0.0
2023-03-02_SOJA3.SA_Janela_4,Venda,11.440258979797363,1090.8914616178647,12480.080839758048,12480.080839758048
2023-03-03_SOJA3.SA_Janela_4,Compra,11.27591323852539,1106.7911375123467,12480.080839758048,0.0
2023-03-06_SOJA3.SA_Janela_4,Venda,11.613734245300291,1106.7911375123467,12853.978136122005,12853.978136122005
2023-03-13_SOJA3.SA_Janela_4,Compra,11.120697975158691,1155.8607350757209,12853.978136122005,0.0
2023-03-16_SOJA3.SA_Janela_4,Venda,11.084177017211914,1155.8607350757209,12811.764994823974,12811.764994823974
2023-03-17_SOJA3.SA_Janela_4,Compra,10.855920791625977,1180.163824031094,12811.764994823974,0.0
2023-03-27_SOJA3.SA_Janela_4,Venda,11.43112850189209,1180.163824031094,13490.6043257838,13490.6043257838
2023-03-31_SOJA3.SA_Janela_4,Compra,10.901570320129396,1237.4918410491593,13490.6043257838,0.0
2023-04-02_SOJA3.SA_Janela_4,Venda,10.901570320129396,1237.4918410491593,13490.604325783801,13490.604325783801
2023-04-03_SOJA3.SA_Janela_4,Compra,10.591140747070312,1273.7631052174931,13490.604325783801,0.0
2023-04-11_SOJA3.SA_Janela_4,Venda,10.591140747070312,1273.7631052174931,13490.604325783801,13490.604325783801
2023-04-12_SOJA3.SA_Janela_4,Compra,10.454185485839844,1290.4500636665357,13490.604325783801,0.0
2023-04-13_SOJA3.SA_Janela_4,Venda,10.572880744934082,1290.4500636665357,13643.774630438875,13643.774630438875
2023-04-25_SOJA3.SA_Janela_4,Compra,10.098105430603027,1351.1222203216896,13643.774630438875,0.0
2023-04-26_SOJA3.SA_Janela_4,Venda,10.134626388549805,1351.1222203216896,13693.118908228198,13693.118908228198
2023-04-28_SOJA3.SA_Janela_4,Compra,10.019003868103027,1366.7146044151411,13693.118908228198,0.0
2023-04-29_SOJA3.SA_Janela_4,Venda,10.019003868103027,1366.7146044151411,13693.118908228198,13693.118908228198
