Data,Acao,Preco,Quantidade,Valor Total,Saldo Restante
2023-01-04_SUZB3.SA_Janela_3,Compra,47.26692199707031,211.56444247881885,10000.0,0.0
2023-01-09_SUZB3.SA_Janela_3,Venda,47.89147186279297,211.56444247881885,10132.132544141834,10132.132544141834
2023-01-10_SUZB3.SA_Janela_3,Compra,47.29530715942383,214.23124518439576,10132.132544141834,0.0
2023-01-12_SUZB3.SA_Janela_3,Venda,47.56026840209961,214.23124518439576,10188.895521085871,10188.895521085871
2023-01-13_SUZB3.SA_Janela_3,Compra,47.72114181518555,213.5090472173828,10188.895521085871,0.0
2023-01-14_SUZB3.SA_Janela_3,Venda,47.72114181518555,213.5090472173828,10188.895521085871,10188.895521085871
2023-01-18_SUZB3.SA_Janela_3,Compra,47.18175506591797,215.9499049336103,10188.895521085871,0.0
2023-06-12_SUZB3.SA_Janela_3,Venda,44.191497802734375,215.9499049336103,9543.149749374337,9543.149749374337
2023-06-13_SUZB3.SA_Janela_3,Compra,44.5226936340332,214.34349475386506,9543.149749374337,0.0
2023-06-15_SUZB3.SA_Janela_3,Venda,45.74340438842773,214.34349475386506,9804.801158554887,9804.801158554887
2023-06-19_SUZB3.SA_Janela_3,Compra,45.13778305053711,217.21937800040482,9804.801158554887,0.0
2023-07-31_SUZB3.SA_Janela_3,Venda,45.48790740966797,217.21937800040482,9880.854954068081,9880.854954068081
2023-08-02_SUZB3.SA_Janela_3,Compra,45.31757354736328,218.03583423859155,9880.854954068081,0.0
2023-08-03_SUZB3.SA_Janela_3,Venda,46.97357177734375,218.03583423859155,10241.921909639505,10241.921909639505
2023-09-08_SUZB3.SA_Janela_3,Compra,46.17869186401367,221.78891380898716,10241.921909639505,0.0
2023-09-11_SUZB3.SA_Janela_3,Venda,47.28584671020508,221.78891380898716,10487.476580394654,10487.476580394654
