Data,Acao,Preco,Quantidade,Valor Total,Saldo Restante
"Data                      2023-01-03
Data    2023-01-03_BRFS3.SA_Janela_2
Name: 0, dtype: object",Compra,7.356410980224609,1359.3585278040944,10000.0,0.0
"Data                      2023-01-04
Data    2023-01-04_BRFS3.SA_Janela_2
Name: 1, dtype: object",Venda,7.502371311187744,1359.3585278040944,10198.412420615845,10198.412420615845
"Data                      2023-01-05
Data    2023-01-05_BRFS3.SA_Janela_2
Name: 2, dtype: object",Compra,8.154328346252441,1250.6747321872097,10198.412420615845,0.0
"Data                      2023-01-07
Data    2023-01-07_BRFS3.SA_Janela_2
Name: 4, dtype: object",Venda,8.407326698303223,1250.6747321872097,10514.83106681076,10514.83106681076
"Data                      2023-01-08
Data    2023-01-08_BRFS3.SA_Janela_2
Name: 5, dtype: object",Compra,8.407326698303223,1250.6747321872097,10514.83106681076,0.0
"Data                      2023-01-11
Data    2023-01-11_BRFS3.SA_Janela_2
Name: 8, dtype: object",Venda,8.232173919677736,1250.6747321872097,10295.771912311484,10295.771912311484
"Data                      2023-01-15
Data    2023-01-15_BRFS3.SA_Janela_2
Name: 12, dtype: object",Compra,7.784561634063721,1322.5885279473152,10295.771912311484,0.0
"Data                      2023-01-16
Data    2023-01-16_BRFS3.SA_Janela_2
Name: 13, dtype: object",Venda,7.3661417961120605,1322.5885279473152,9742.374634771042,9742.374634771042
"Data                      2023-01-18
Data    2023-01-18_BRFS3.SA_Janela_2
Name: 15, dtype: object",Compra,7.716446876525881,1262.546712322768,9742.374634771042,0.0
"Data                      2023-01-19
Data    2023-01-19_BRFS3.SA_Janela_2
Name: 16, dtype: object",Venda,7.512102127075195,1262.546712322768,9484.37984317166,9484.37984317166
"Data                      2023-01-20
Data    2023-01-20_BRFS3.SA_Janela_2
Name: 17, dtype: object",Compra,7.687254905700684,1233.7798030007139,9484.37984317166,0.0
"Data                      2023-01-21
Data    2023-01-21_BRFS3.SA_Janela_2
Name: 18, dtype: object",Venda,7.687254905700684,1233.7798030007139,9484.37984317166,9484.37984317166
"Data                      2023-01-22
Data    2023-01-22_BRFS3.SA_Janela_2
Name: 19, dtype: object",Compra,7.687254905700684,1233.7798030007139,9484.37984317166,0.0
"Data                      2023-01-23
Data    2023-01-23_BRFS3.SA_Janela_2
Name: 20, dtype: object",Venda,7.580216884613035,1233.7798030007139,9352.318494600555,9352.318494600555
"Data                      2023-01-27
Data    2023-01-27_BRFS3.SA_Janela_2
Name: 24, dtype: object",Compra,7.560755729675293,1236.955514631102,9352.318494600555,0.0
"Data                      2023-01-28
Data    2023-01-28_BRFS3.SA_Janela_2
Name: 25, dtype: object",Venda,7.560755729675293,1236.955514631102,9352.318494600555,9352.318494600555
"Data                      2023-01-29
Data    2023-01-29_BRFS3.SA_Janela_2
Name: 26, dtype: object",Compra,7.560755729675293,1236.955514631102,9352.318494600555,0.0
"Data                      2023-01-31
Data    2023-01-31_BRFS3.SA_Janela_2
Name: 28, dtype: object",Venda,7.745638847351074,1236.955514631102,9581.010686571804,9581.010686571804
"Data                      2023-02-01
Data    2023-02-01_BRFS3.SA_Janela_2
Name: 29, dtype: object",Compra,8.339211463928223,1148.910868613305,9581.010686571804,0.0
"Data                      2023-02-03
Data    2023-02-03_BRFS3.SA_Janela_2
Name: 31, dtype: object",Venda,7.5218329429626465,1148.910868613305,8641.915620063386,8641.915620063386
"Data                      2023-02-04
Data    2023-02-04_BRFS3.SA_Janela_2
Name: 32, dtype: object",Compra,7.5218329429626465,1148.910868613305,8641.915620063386,0.0
"Data                      2023-02-05
Data    2023-02-05_BRFS3.SA_Janela_2
Name: 33, dtype: object",Venda,7.5218329429626465,1148.910868613305,8641.915620063386,8641.915620063386
"Data                      2023-02-06
Data    2023-02-06_BRFS3.SA_Janela_2
Name: 34, dtype: object",Compra,6.9769134521484375,1238.6445208664923,8641.915620063386,0.0
"Data                      2023-02-07
Data    2023-02-07_BRFS3.SA_Janela_2
Name: 35, dtype: object",Venda,6.50010871887207,1238.6445208664923,8051.324049667404,8051.324049667404
"Data                      2023-02-09
Data    2023-02-09_BRFS3.SA_Janela_2
Name: 37, dtype: object",Compra,6.694723129272459,1202.6373449953817,8051.324049667404,0.0
"Data                      2023-02-11
Data    2023-02-11_BRFS3.SA_Janela_2
Name: 39, dtype: object",Venda,6.247110843658447,1202.6373449953817,7513.0087989092535,7513.0087989092535
"Data                      2023-02-14
Data    2023-02-14_BRFS3.SA_Janela_2
Name: 42, dtype: object",Compra,6.286033630371094,1195.190678365131,7513.0087989092535,0.0
"Data                      2023-02-15
Data    2023-02-15_BRFS3.SA_Janela_2
Name: 43, dtype: object",Venda,6.529301166534424,1195.190678365131,7803.759890480518,7803.759890480518
"Data                      2023-02-16
Data    2023-02-16_BRFS3.SA_Janela_2
Name: 44, dtype: object",Compra,6.587685108184815,1184.598195318231,7803.759890480518,0.0
"Data                      2023-02-18
Data    2023-02-18_BRFS3.SA_Janela_2
Name: 46, dtype: object",Venda,6.675261974334717,1184.598195318231,7907.503288073318,7907.503288073318
"Data                      2023-02-19
Data    2023-02-19_BRFS3.SA_Janela_2
Name: 47, dtype: object",Compra,6.675261974334717,1184.598195318231,7907.503288073318,0.0
"Data                      2023-02-20
Data    2023-02-20_BRFS3.SA_Janela_2
Name: 48, dtype: object",Venda,6.675261974334717,1184.598195318231,7907.503288073318,7907.503288073318
"Data                      2023-02-25
Data    2023-02-25_BRFS3.SA_Janela_2
Name: 53, dtype: object",Compra,6.286033630371094,1257.9479769036013,7907.503288073318,0.0
"Data                      2023-02-26
Data    2023-02-26_BRFS3.SA_Janela_2
Name: 54, dtype: object",Venda,6.286033630371094,1257.9479769036013,7907.503288073318,7907.503288073318
"Data                      2023-02-27
Data    2023-02-27_BRFS3.SA_Janela_2
Name: 55, dtype: object",Compra,6.295763969421387,1256.0037711833181,7907.503288073318,0.0
"Data                      2023-03-01
Data    2023-03-01_BRFS3.SA_Janela_2
Name: 57, dtype: object",Venda,6.315225124359131,1256.0037711833181,7931.946572066708,7931.946572066708
"Data                      2023-03-02
Data    2023-03-02_BRFS3.SA_Janela_2
Name: 58, dtype: object",Compra,6.558493137359619,1209.416005466772,7931.946572066708,0.0
"Data                      2023-03-04
Data    2023-03-04_BRFS3.SA_Janela_2
Name: 60, dtype: object",Venda,6.539031982421875,1209.416005466772,7908.409939800132,7908.409939800132
"Data                      2023-03-07
Data    2023-03-07_BRFS3.SA_Janela_2
Name: 63, dtype: object",Compra,6.704453468322754,1179.575632401036,7908.409939800132,0.0
"Data                      2023-03-08
Data    2023-03-08_BRFS3.SA_Janela_2
Name: 64, dtype: object",Venda,6.889337062835693,1179.575632401036,8126.494122718309,8126.494122718309
"Data                      2023-03-10
Data    2023-03-10_BRFS3.SA_Janela_2
Name: 66, dtype: object",Compra,6.412532806396483,1267.2830483786618,8126.494122718309,0.0
"Data                      2023-03-12
Data    2023-03-12_BRFS3.SA_Janela_2
Name: 68, dtype: object",Venda,6.412532806396483,1267.2830483786618,8126.494122718309,8126.494122718309
