Data,Acao,Preco,Quantidade,Valor Total,Saldo Restante
"Data                      2023-02-06
Data    2023-02-06_BRFS3.SA_Janela_3
Name: 33, dtype: object",Compra,6.9769134521484375,1433.298559396727,10000.0,0.0
"Data                      2023-02-07
Data    2023-02-07_BRFS3.SA_Janela_3
Name: 34, dtype: object",Venda,6.50010871887207,1433.298559396727,9316.596462681442,9316.596462681442
"Data                      2023-03-07
Data    2023-03-07_BRFS3.SA_Janela_3
Name: 62, dtype: object",Compra,6.704453468322754,1389.6131141338453,9316.596462681442,0.0
"Data                      2023-03-25
Data    2023-03-25_BRFS3.SA_Janela_3
Name: 80, dtype: object",Venda,6.01357364654541,1389.6131141338453,8356.540802049192,8356.540802049192
"Data                      2023-05-13
Data    2023-05-13_BRFS3.SA_Janela_3
Name: 129, dtype: object",Compra,7.210450172424315,1158.948554142707,8356.540802049192,0.0
"Data                      2023-05-18
Data    2023-05-18_BRFS3.SA_Janela_3
Name: 134, dtype: object",Venda,7.745638847351074,1158.948554142707,8976.796943049112,8976.796943049112
"Data                      2023-05-21
Data    2023-05-21_BRFS3.SA_Janela_3
Name: 137, dtype: object",Compra,7.969444751739502,1126.4018037253768,8976.796943049112,0.0
"Data                      2023-05-29
Data    2023-05-29_BRFS3.SA_Janela_3
Name: 145, dtype: object",Venda,7.181258201599121,1126.4018037253768,8088.9821912989055,8088.9821912989055
"Data                      2023-06-03
Data    2023-06-03_BRFS3.SA_Janela_3
Name: 150, dtype: object",Compra,8.358674049377443,967.7350909384216,8088.9821912989055,0.0
"Data                      2023-06-30
Data    2023-06-30_BRFS3.SA_Janela_3
Name: 177, dtype: object",Venda,8.670055389404297,967.7350909384216,8390.31684070632,8390.31684070632
"Data                      2023-07-07
Data    2023-07-07_BRFS3.SA_Janela_3
Name: 184, dtype: object",Compra,9.808547019958496,855.4087392998829,8390.31684070632,0.0
"Data                      2023-07-18
Data    2023-07-18_BRFS3.SA_Janela_3
Name: 195, dtype: object",Venda,8.51436424255371,855.4087392998829,7283.261582662871,7283.261582662871
"Data                      2023-08-02
Data    2023-08-02_BRFS3.SA_Janela_3
Name: 210, dtype: object",Compra,9.487434387207031,767.6745140376103,7283.261582662871,0.0
"Data                      2023-08-27
Data    2023-08-27_BRFS3.SA_Janela_3
Name: 235, dtype: object",Venda,9.156591415405272,767.6745140376103,7029.281865062196,7029.281865062196
"Data                      2023-09-24
Data    2023-09-24_BRFS3.SA_Janela_3
Name: 263, dtype: object",Compra,9.399857521057127,747.8072778566615,7029.281865062196,0.0
"Data                      2023-10-19
Data    2023-10-19_BRFS3.SA_Janela_3
Name: 288, dtype: object",Venda,10.110199928283691,747.8072778566615,7560.481086956442,7560.481086956442
"Data                      2023-11-05
Data    2023-11-05_BRFS3.SA_Janela_3
Name: 305, dtype: object",Compra,11.034616470336914,685.1602959903872,7560.481086956442,0.0
"Data                      2023-12-10
Data    2023-12-10_BRFS3.SA_Janela_3
Name: 340, dtype: object",Venda,13.467291831970217,685.1602959903872,9227.253657781637,9227.253657781637
