Data,Acao,Preco,Quantidade,Valor Total,Saldo Restante
"Data                      2023-03-06
Data    2023-03-06_VALE3.SA_Janela_4
Name: 60, dtype: object",Compra,71.3753890991211,140.10431503375355,10000.0,0.0
"Data                      2023-03-10
Data    2023-03-10_VALE3.SA_Janela_4
Name: 64, dtype: object",Venda,70.17406463623047,140.10431503375355,9831.689258993418,9831.689258993418
"Data                      2023-06-13
Data    2023-06-13_VALE3.SA_Janela_4
Name: 159, dtype: object",Compra,57.43139266967773,171.1901592834661,9831.689258993418,0.0
"Data                      2023-06-14
Data    2023-06-14_VALE3.SA_Janela_4
Name: 160, dtype: object",Venda,58.438961029052734,171.1901592834661,10004.175046923805,10004.175046923805
"Data                      2023-06-20
Data    2023-06-20_VALE3.SA_Janela_4
Name: 166, dtype: object",Compra,57.2451171875,174.7603208524536,10004.175046923805,0.0
"Data                      2023-06-22
Data    2023-06-22_VALE3.SA_Janela_4
Name: 168, dtype: object",Venda,56.364559173583984,174.7603208524536,9850.288445882643,9850.288445882643
"Data                      2023-07-09
Data    2023-07-09_VALE3.SA_Janela_4
Name: 185, dtype: object",Compra,55.42472076416016,177.72373608875685,9850.288445882643,0.0
"Data                      2023-08-02
Data    2023-08-02_VALE3.SA_Janela_4
Name: 209, dtype: object",Venda,56.804832458496094,177.72373608875685,10095.567052419809,10095.567052419809
"Data                      2023-08-05
Data    2023-08-05_VALE3.SA_Janela_4
Name: 212, dtype: object",Compra,57.20278549194336,176.48733301355935,10095.567052419809,0.0
"Data                      2023-08-16
Data    2023-08-16_VALE3.SA_Janela_4
Name: 223, dtype: object",Venda,53.25023651123047,176.48733301355935,9397.992224208328,9397.992224208328
"Data                      2023-09-01
Data    2023-09-01_VALE3.SA_Janela_4
Name: 239, dtype: object",Compra,60.088600158691406,156.4022493349593,9397.992224208328,0.0
"Data                      2023-09-21
Data    2023-09-21_VALE3.SA_Janela_4
Name: 259, dtype: object",Venda,58.87619018554688,156.4022493349593,9208.368577292387,9208.368577292387
"Data                      2023-09-27
Data    2023-09-27_VALE3.SA_Janela_4
Name: 265, dtype: object",Compra,57.306148529052734,160.68727027823172,9208.368577292387,0.0
"Data                      2023-09-28
Data    2023-09-28_VALE3.SA_Janela_4
Name: 266, dtype: object",Venda,58.17838668823242,160.68727027823172,9348.526146123482,9348.526146123482
"Data                      2023-09-29
Data    2023-09-29_VALE3.SA_Janela_4
Name: 267, dtype: object",Compra,58.94596481323242,158.5948448845287,9348.526146123482,0.0
"Data                      2023-10-18
Data    2023-10-18_VALE3.SA_Janela_4
Name: 286, dtype: object",Venda,57.00959014892578,158.5948448845287,9041.42710659944,9041.42710659944
"Data                      2023-10-31
Data    2023-10-31_VALE3.SA_Janela_4
Name: 299, dtype: object",Compra,60.18454360961914,150.22839028647834,9041.42710659944,0.0
"Data                      2023-12-10
Data    2023-12-10_VALE3.SA_Janela_4
Name: 339, dtype: object",Venda,64.12945556640625,150.22839028647834,9634.06487968945,9634.06487968945
"Data                      2023-12-21
Data    2023-12-21_VALE3.SA_Janela_4
Name: 350, dtype: object",Compra,67.80281066894531,142.08946184736843,9634.06487968945,0.0
"Data                      2023-12-31
Data    2023-12-31_VALE3.SA_Janela_4
Name: 360, dtype: object",Venda Final,68.00540924072266,142.08946184736843,9662.852001724337,9662.852001724337
