Previsões Razoáveis,Estratégia Usada,Total de Transações,Retorno (%),Min Previsto,Max Previsto,Média Previsto,Ticker,Janela
True,Direção Previsão,148,0.9969367899700774,2.6848707,8.857007,5.072582798901099,BEEF3.SA,Janela_1
True,Direção Previsão,180,-8.94073968306875,0.9622173,4.2340965,2.349524097520661,BEEF3.SA,Janela_2
True,Direção Previsão,128,-27.96577159746517,10.629274,14.759009,12.257746864640884,BEEF3.SA,Janela_3
True,Direção Previsão,156,-26.456660970289885,14.600175,19.138113,16.31789199861496,BEEF3.SA,Janela_4
True,Direção Previsão,152,57.861752241471706,5.614262,13.43779,8.396122701373628,BRFS3.SA,Janela_1
True,Direção Previsão,178,26.333940420660127,9.109889,14.191654,11.01144617768595,BRFS3.SA,Janela_2
True,Direção Previsão,190,17.430943463791937,6.840196,13.395659,9.124497913535912,BRFS3.SA,Janela_3
True,Direção Previsão,192,23.649553107003833,12.069606,18.768822,14.472712149584487,BRFS3.SA,Janela_4
True,Direção Previsão,136,3.1401903585261604,47.184643,69.72929,55.43046556593408,VALE3.SA,Janela_1
True,Direção Previsão,160,-6.099756828371828,52.48643,67.57539,57.92481949311295,VALE3.SA,Janela_2
True,Direção Previsão,140,7.399443505863928,53.409794,67.79008,58.71482249171271,VALE3.SA,Janela_3
True,Direção Previsão,178,1.6132472870180936,48.23221,71.12344,57.12950500831025,VALE3.SA,Janela_4
True,Direção Previsão,182,2.690487606870738,37.181435,41.45724,38.75390522252747,JBSS3.SA,Janela_1
True,Direção Previsão,144,11.56673379128555,15.330403,22.240955,17.829208725895313,JBSS3.SA,Janela_2
True,Direção Previsão,178,8.370793989540852,29.737732,35.30902,31.81560324309392,JBSS3.SA,Janela_3
True,Direção Previsão,212,15.157216540060853,10.713538,16.909367,13.561179846260389,JBSS3.SA,Janela_4
True,Direção Previsão,210,-0.809499745240355,12.6031685,15.972657,13.942526103021976,SOJA3.SA,Janela_1
True,Direção Previsão,202,50.77901331010227,9.323496,12.680513,10.447074005509641,SOJA3.SA,Janela_2
True,Direção Previsão,148,67.31084445256326,9.938036,12.7752695,11.216886758287291,SOJA3.SA,Janela_3
True,Direção Previsão,186,46.36552728010207,9.034889,13.205582,10.763227272853186,SOJA3.SA,Janela_4
True,Direção Previsão,222,12.3876321590939,37.83987,48.214733,42.531420310439565,SUZB3.SA,Janela_1
True,Direção Previsão,150,2.7673975616411735,38.083813,49.05568,43.49598876859505,SUZB3.SA,Janela_2
True,Direção Previsão,190,17.52543798645216,40.90313,49.911194,46.06485231491713,SUZB3.SA,Janela_3
True,Direção Previsão,124,13.002472004741866,39.39287,50.30614,43.853955282548476,SUZB3.SA,Janela_4
True,Direção Previsão,176,-12.777886354358179,16.492704,20.779799,17.958634134615384,GGBR3.SA,Janela_1
True,Direção Previsão,178,23.046678019219545,14.996861,19.306276,16.52050784710744,GGBR3.SA,Janela_2
True,Direção Previsão,196,-3.3344030524752815,16.56645,20.54737,18.088273314917124,GGBR3.SA,Janela_3
True,Direção Previsão,202,-10.95225486174213,17.33589,21.18709,18.563869509695294,GGBR3.SA,Janela_4
True,Direção Previsão,114,53.27262244888951,8.967072,15.687182,11.72063081730769,CSNA3.SA,Janela_1
True,Direção Previsão,120,71.06691648949749,9.677998,18.274252,12.638586811294765,CSNA3.SA,Janela_2
True,Direção Previsão,196,18.905369585142306,17.610245,23.428257,19.496517966850828,CSNA3.SA,Janela_3
False,Sem transações - Previsões Problemáticas,0,0.0,-5.202048,1.8271806,-2.1584880423623267,CSNA3.SA,Janela_4
