Data,Acao,Preco,Quantidade,Valor Total,Saldo Restante
2023-01-03_JBSS3.SA_Janela_2,Compra,18.572893142700195,538.4190779092677,10000.0,0.0
2023-01-04_JBSS3.SA_Janela_2,Venda,19.27046775817871,538.4190779092677,10375.587481238854,10375.587481238854
2023-01-06_JBSS3.SA_Janela_2,Compra,19.36638069152832,535.7525314875988,10375.587481238854,0.0
2023-01-08_JBSS3.SA_Janela_2,Venda,19.95059967041016,535.7525314875988,10688.584278117898,10688.584278117898
2023-01-09_JBSS3.SA_Janela_2,Compra,19.75004768371582,541.1928340269669,10688.584278117898,0.0
2023-01-23_JBSS3.SA_Janela_2,Venda,19.27046775817871,541.1928340269669,10429.039059074028,10429.039059074028
2023-01-24_JBSS3.SA_Janela_2,Compra,19.24430656433105,541.9285451627574,10429.039059074028,0.0
2023-03-16_JBSS3.SA_Janela_2,Venda,17.866600036621094,541.9285451627574,9682.420564850936,9682.420564850936
2023-03-17_JBSS3.SA_Janela_2,Compra,17.866600036621094,541.9285451627574,9682.420564850936,0.0
2023-06-19_JBSS3.SA_Janela_2,Venda,16.863840103149414,541.9285451627574,9138.996332957126,9138.996332957126
2023-06-20_JBSS3.SA_Janela_2,Compra,16.471450805664062,554.838577413866,9138.996332957126,0.0
2023-07-11_JBSS3.SA_Janela_2,Venda,17.314964294433594,554.838577413866,9607.01015709542,9607.01015709542
2023-07-13_JBSS3.SA_Janela_2,Compra,17.508377075195312,548.7093472933013,9607.01015709542,0.0
2023-08-01_JBSS3.SA_Janela_2,Venda,17.959671020507812,548.7093472933013,9854.639363265262,9854.639363265262
2023-08-02_JBSS3.SA_Janela_2,Compra,18.107032775878903,544.2437469044082,9854.639363265262,0.0
2023-10-25_JBSS3.SA_Janela_2,Venda,18.39254570007324,544.2437469044082,10010.027986918421,10010.027986918421
2023-10-26_JBSS3.SA_Janela_2,Compra,18.30965232849121,546.7077040748642,10010.027986918421,0.0
2023-11-06_JBSS3.SA_Janela_2,Venda,19.967470169067383,546.7077040748642,10916.369772314169,10916.369772314169
2023-11-07_JBSS3.SA_Janela_2,Compra,19.80168914794922,551.2847763012547,10916.369772314169,0.0
2023-11-15_JBSS3.SA_Janela_2,Venda,19.949050903320312,551.2847763012547,10997.608064659282,10997.608064659282
2023-11-16_JBSS3.SA_Janela_2,Compra,19.93062973022461,551.7943092375809,10997.608064659282,0.0
2023-11-21_JBSS3.SA_Janela_2,Venda,20.418764114379883,551.7943092375809,11266.957839979354,11266.957839979354
2023-11-24_JBSS3.SA_Janela_2,Compra,21.15557098388672,532.5764002569775,11266.957839979354,0.0
2023-11-26_JBSS3.SA_Janela_2,Venda,21.38582229614257,532.5764002569775,11389.584255015021,11389.584255015021
2023-11-28_JBSS3.SA_Janela_2,Compra,21.376611709594727,532.8058725931245,11389.584255015021,0.0
2023-11-30_JBSS3.SA_Janela_2,Venda,21.975269317626964,532.8058725931245,11708.55254424715,11708.55254424715
2023-12-02_JBSS3.SA_Janela_2,Compra,21.975269317626964,532.8058725931245,11708.55254424715,0.0
2023-12-07_JBSS3.SA_Janela_2,Venda,21.993688583374027,532.8058725931245,11718.36643720604,11718.36643720604
2023-12-08_JBSS3.SA_Janela_2,Compra,21.993688583374027,532.8058725931245,11718.36643720604,0.0
2023-12-12_JBSS3.SA_Janela_2,Venda,22.426563262939453,532.8058725931245,11949.004608575364,11949.004608575364
2023-12-13_JBSS3.SA_Janela_2,Compra,22.07657814025879,541.2525678871034,11949.004608575364,0.0
2023-12-18_JBSS3.SA_Janela_2,Venda,22.30683135986328,541.2525678871034,12073.629754950567,12073.629754950567
2023-12-21_JBSS3.SA_Janela_2,Compra,22.90548896789551,527.106396718841,12073.629754950567,0.0
2023-12-25_JBSS3.SA_Janela_2,Venda,23.025218963623047,527.106396718841,12136.74020157767,12136.74020157767
2023-12-26_JBSS3.SA_Janela_2,Compra,23.016008377075195,527.3173350799749,12136.74020157767,0.0
2023-12-31_JBSS3.SA_Janela_2,Venda Final,22.94232749938965,527.3173350799749,12097.886997510173,12097.886997510173
