Data,Acao,Preco,Quantidade,Valor Total,Saldo Restante
"Data                      2023-01-03
Data    2023-01-03_CSNA3.SA_Janela_2
Name: 0, dtype: object",Compra,12.07123851776123,828.415409511321,10000.0,0.0
"Data                      2023-01-04
Data    2023-01-04_CSNA3.SA_Janela_2
Name: 1, dtype: object",Venda,12.869950294494627,828.415409511321,10661.665143604112,10661.665143604112
"Data                      2023-01-05
Data    2023-01-05_CSNA3.SA_Janela_2
Name: 2, dtype: object",Compra,13.39693546295166,795.8286559704824,10661.665143604112,0.0
"Data                      2023-01-12
Data    2023-01-12_CSNA3.SA_Janela_2
Name: 9, dtype: object",Venda,13.90744972229004,795.8286559704824,11067.947020467142,11067.947020467142
"Data                      2023-01-15
Data    2023-01-15_CSNA3.SA_Janela_2
Name: 12, dtype: object",Compra,13.67689609527588,809.244067028491,11067.947020467142,0.0
"Data                      2023-01-16
Data    2023-01-16_CSNA3.SA_Janela_2
Name: 13, dtype: object",Venda,13.816875457763672,809.244067028491,11181.224489066817,11181.224489066817
"Data                      2023-01-18
Data    2023-01-18_CSNA3.SA_Janela_2
Name: 15, dtype: object",Compra,14.335625648498535,779.9606911636885,11181.224489066817,0.0
"Data                      2023-01-24
Data    2023-01-24_CSNA3.SA_Janela_2
Name: 21, dtype: object",Venda,14.500308990478516,779.9606911636885,11309.671022300668,11309.671022300668
"Data                      2023-01-26
Data    2023-01-26_CSNA3.SA_Janela_2
Name: 23, dtype: object",Compra,14.986122131347656,754.676288046748,11309.671022300668,0.0
"Data                      2023-01-28
Data    2023-01-28_CSNA3.SA_Janela_2
Name: 25, dtype: object",Venda,14.986122131347656,754.676288046748,11309.671022300668,11309.671022300668
"Data                      2023-01-30
Data    2023-01-30_CSNA3.SA_Janela_2
Name: 27, dtype: object",Compra,15.233145713806152,742.4383141067476,11309.671022300668,0.0
"Data                      2023-02-02
Data    2023-02-02_CSNA3.SA_Janela_2
Name: 30, dtype: object",Venda,14.516776084899902,742.4383141067476,10777.810762738236,10777.810762738236
"Data                      2023-02-04
Data    2023-02-04_CSNA3.SA_Janela_2
Name: 32, dtype: object",Compra,14.516776084899902,742.4383141067476,10777.810762738236,0.0
"Data                      2023-02-05
Data    2023-02-05_CSNA3.SA_Janela_2
Name: 33, dtype: object",Venda,14.22034740447998,742.4383141067476,10557.730752994381,10557.730752994381
"Data                      2023-02-08
Data    2023-02-08_CSNA3.SA_Janela_2
Name: 36, dtype: object",Compra,14.07213306427002,750.2580244782566,10557.730752994381,0.0
"Data                      2023-02-09
Data    2023-02-09_CSNA3.SA_Janela_2
Name: 37, dtype: object",Venda,14.047430038452148,750.2580244782566,10539.19710964563,10539.19710964563
"Data                      2023-02-12
Data    2023-02-12_CSNA3.SA_Janela_2
Name: 40, dtype: object",Compra,13.989791870117188,753.3490996501398,10539.19710964563,0.0
"Data                      2023-02-13
Data    2023-02-13_CSNA3.SA_Janela_2
Name: 41, dtype: object",Venda,14.030962944030762,753.3490996501398,10570.213301110049,10570.213301110049
"Data                      2023-02-15
Data    2023-02-15_CSNA3.SA_Janela_2
Name: 43, dtype: object",Compra,14.78850269317627,714.7588583114212,10570.213301110049,0.0
"Data                      2023-02-18
Data    2023-02-18_CSNA3.SA_Janela_2
Name: 46, dtype: object",Venda,14.327390670776367,714.7588583114212,10240.629398425825,10240.629398425825
"Data                      2023-02-19
Data    2023-02-19_CSNA3.SA_Janela_2
Name: 47, dtype: object",Compra,14.327390670776367,714.7588583114212,10240.629398425825,0.0
"Data                      2023-02-22
Data    2023-02-22_CSNA3.SA_Janela_2
Name: 50, dtype: object",Venda,14.352093696594238,714.7588583114212,10258.286104956243,10258.286104956243
"Data                      2023-02-27
Data    2023-02-27_CSNA3.SA_Janela_2
Name: 55, dtype: object",Compra,13.726300239562988,747.3453098008908,10258.286104956243,0.0
"Data                      2023-03-06
Data    2023-03-06_CSNA3.SA_Janela_2
Name: 62, dtype: object",Venda,14.245049476623535,747.3453098008908,10645.970914236234,10645.970914236234
"Data                      2023-03-08
Data    2023-03-08_CSNA3.SA_Janela_2
Name: 64, dtype: object",Compra,13.619256973266602,781.6851488398621,10645.970914236234,0.0
"Data                      2023-03-10
Data    2023-03-10_CSNA3.SA_Janela_2
Name: 66, dtype: object",Venda,13.108739852905272,781.6851488398621,10246.907263021289,10246.907263021289
"Data                      2023-03-13
Data    2023-03-13_CSNA3.SA_Janela_2
Name: 69, dtype: object",Compra,12.944056510925291,791.630294133257,10246.907263021289,0.0
"Data                      2023-03-15
Data    2023-03-15_CSNA3.SA_Janela_2
Name: 71, dtype: object",Venda,12.170048713684082,791.630294133257,9634.179242829796,9634.179242829796
"Data                      2023-03-19
Data    2023-03-19_CSNA3.SA_Janela_2
Name: 75, dtype: object",Compra,11.79951286315918,816.4895749984681,9634.179242829796,0.0
"Data                      2023-03-20
Data    2023-03-20_CSNA3.SA_Janela_2
Name: 76, dtype: object",Venda,11.65129852294922,816.4895749984681,9513.163779183089,9513.163779183089
"Data                      2023-03-26
Data    2023-03-26_CSNA3.SA_Janela_2
Name: 82, dtype: object",Compra,11.404274940490724,834.1752394452302,9513.163779183089,0.0
"Data                      2023-04-01
Data    2023-04-01_CSNA3.SA_Janela_2
Name: 88, dtype: object",Venda,12.7135009765625,834.1752394452302,10605.287721311191,10605.287721311191
"Data                      2023-04-10
Data    2023-04-10_CSNA3.SA_Janela_2
Name: 97, dtype: object",Compra,13.314594268798828,796.5160264900768,10605.287721311191,0.0
"Data                      2023-04-13
Data    2023-04-13_CSNA3.SA_Janela_2
Name: 100, dtype: object",Venda,11.931259155273438,796.5160264900768,9503.43913338175,9503.43913338175
"Data                      2023-04-17
Data    2023-04-17_CSNA3.SA_Janela_2
Name: 104, dtype: object",Compra,12.31826400756836,771.4917562688072,9503.43913338175,0.0
"Data                      2023-04-20
Data    2023-04-20_CSNA3.SA_Janela_2
Name: 107, dtype: object",Venda,11.964195251464844,771.4917562688072,9230.278006895536,9230.278006895536
"Data                      2023-04-28
Data    2023-04-28_CSNA3.SA_Janela_2
Name: 115, dtype: object",Compra,11.700702667236328,788.8652732576189,9230.278006895536,0.0
"Data                      2023-04-30
Data    2023-04-30_CSNA3.SA_Janela_2
Name: 117, dtype: object",Venda,11.700702667236328,788.8652732576189,9230.278006895536,9230.278006895536
"Data                      2023-05-06
Data    2023-05-06_CSNA3.SA_Janela_2
Name: 123, dtype: object",Compra,11.124296188354492,829.7404034026247,9230.278006895536,0.0
"Data                      2023-05-07
Data    2023-05-07_CSNA3.SA_Janela_2
Name: 124, dtype: object",Venda,11.408650398254396,829.7404034026247,9466.218183727118,9466.218183727118
"Data                      2023-05-08
Data    2023-05-08_CSNA3.SA_Janela_2
Name: 125, dtype: object",Compra,11.425884246826172,828.4888923460431,9466.218183727118,0.0
"Data                      2023-05-10
Data    2023-05-10_CSNA3.SA_Janela_2
Name: 127, dtype: object",Venda,11.038127899169922,828.4888923460431,9144.966356757244,9144.966356757244
"Data                      2023-05-15
Data    2023-05-15_CSNA3.SA_Janela_2
Name: 132, dtype: object",Compra,10.93472671508789,836.323265778457,9144.966356757244,0.0
"Data                      2023-05-17
Data    2023-05-17_CSNA3.SA_Janela_2
Name: 134, dtype: object",Venda,11.477584838867188,836.323265778457,9598.971235690711,9598.971235690711
"Data                      2023-05-18
Data    2023-05-18_CSNA3.SA_Janela_2
Name: 135, dtype: object",Compra,11.546520233154297,831.3302226006189,9598.971235690711,0.0
"Data                      2023-05-21
Data    2023-05-21_CSNA3.SA_Janela_2
Name: 138, dtype: object",Venda,11.546520233154297,831.3302226006189,9598.971235690711,9598.971235690711
"Data                      2023-05-27
Data    2023-05-27_CSNA3.SA_Janela_2
Name: 144, dtype: object",Compra,10.76239013671875,891.8995793454163,9598.971235690711,0.0
