Data,Acao,Preco,Quantidade,Valor Total,Saldo Restante
"Data                      2023-02-05
Data    2023-02-05_BRFS3.SA_Janela_3
Name: 32, dtype: object",Compra,6.9769134521484375,1433.298559396727,10000.0,0.0
"Data                      2023-02-07
Data    2023-02-07_BRFS3.SA_Janela_3
Name: 34, dtype: object",Venda,6.714184284210205,1433.298559396727,9623.43066208263,9623.43066208263
"Data                      2023-03-07
Data    2023-03-07_BRFS3.SA_Janela_3
Name: 62, dtype: object",Compra,6.889337062835693,1396.8587360888346,9623.43066208263,0.0
"Data                      2023-03-16
Data    2023-03-16_BRFS3.SA_Janela_3
Name: 71, dtype: object",Venda,6.8114914894104,1396.8587360888346,9514.691392777666,9514.691392777666
"Data                      2023-03-18
Data    2023-03-18_BRFS3.SA_Janela_3
Name: 73, dtype: object",Compra,6.8114914894104,1396.8587360888346,9514.691392777666,0.0
"Data                      2023-03-24
Data    2023-03-24_BRFS3.SA_Janela_3
Name: 79, dtype: object",Venda,6.01357364654541,1396.8587360888346,8400.112883290545,8400.112883290545
"Data                      2023-04-13
Data    2023-04-13_BRFS3.SA_Janela_3
Name: 99, dtype: object",Compra,6.003843307495117,1399.1226041499046,8400.112883290545,0.0
"Data                      2023-04-19
Data    2023-04-19_BRFS3.SA_Janela_3
Name: 105, dtype: object",Venda,5.828690528869629,1399.1226041499046,8155.05267153596,8155.05267153596
"Data                      2023-05-02
Data    2023-05-02_BRFS3.SA_Janela_3
Name: 118, dtype: object",Compra,6.149803638458252,1326.0671642485843,8155.05267153596,0.0
"Data                      2023-06-29
Data    2023-06-29_BRFS3.SA_Janela_3
Name: 176, dtype: object",Venda,8.670056343078613,1326.0671642485843,11497.077028741707,11497.077028741707
"Data                      2023-07-08
Data    2023-07-08_BRFS3.SA_Janela_3
Name: 185, dtype: object",Compra,9.808547973632812,1172.1487277880449,11497.077028741707,0.0
"Data                      2023-07-18
Data    2023-07-18_BRFS3.SA_Janela_3
Name: 195, dtype: object",Venda,8.485173225402832,1172.1487277880449,9945.885001217111,9945.885001217111
"Data                      2023-08-02
Data    2023-08-02_BRFS3.SA_Janela_3
Name: 210, dtype: object",Compra,9.419320106506348,1055.9026435832711,9945.885001217111,0.0
"Data                      2023-08-25
Data    2023-08-25_BRFS3.SA_Janela_3
Name: 233, dtype: object",Venda,9.156590461730955,1055.9026435832711,9668.468074751081,9668.468074751081
"Data                      2023-09-21
Data    2023-09-21_BRFS3.SA_Janela_3
Name: 260, dtype: object",Compra,9.399857521057127,1028.5760239548551,9668.468074751081,0.0
"Data                      2023-10-21
Data    2023-10-21_BRFS3.SA_Janela_3
Name: 290, dtype: object",Venda,10.499427795410156,1028.5760239548551,10799.45969560407,10799.45969560407
"Data                      2023-10-26
Data    2023-10-26_BRFS3.SA_Janela_3
Name: 295, dtype: object",Compra,10.236699104309082,1054.9748102938863,10799.45969560407,0.0
"Data                      2023-10-30
Data    2023-10-30_BRFS3.SA_Janela_3
Name: 299, dtype: object",Venda,10.382659912109377,1054.9748102938863,10953.444671123529,10953.444671123529
"Data                      2023-11-05
Data    2023-11-05_BRFS3.SA_Janela_3
Name: 305, dtype: object",Compra,12.455299377441406,879.4204249286868,10953.444671123529,0.0
"Data                      2023-12-10
Data    2023-12-10_BRFS3.SA_Janela_3
Name: 340, dtype: object",Venda,13.447830200195312,879.4204249286868,11826.296549024588,11826.296549024588
"Data                      2023-12-24
Data    2023-12-24_BRFS3.SA_Janela_3
Name: 354, dtype: object",Compra,13.42836856842041,880.6949622187593,11826.296549024588,0.0
"Data                      2023-12-28
Data    2023-12-28_BRFS3.SA_Janela_3
Name: 358, dtype: object",Venda,13.43809986114502,880.6949622187593,11834.866849503027,11834.866849503027
