Data,Acao,Preco,Quantidade,Valor Total,Saldo Restante
"Data                      2023-01-28
Data    2023-01-28_JBSS3.SA_Janela_3
Name: 24, dtype: object",Compra,18.686248779296875,535.152887993193,10000.0,0.0
"Data                      2023-01-31
Data    2023-01-31_JBSS3.SA_Janela_3
Name: 27, dtype: object",Venda,17.535253524780273,535.152887993193,9384.04156547898,9384.04156547898
"Data                      2023-03-02
Data    2023-03-02_JBSS3.SA_Janela_3
Name: 57, dtype: object",Compra,17.142866134643555,547.4021375290929,9384.04156547898,0.0
"Data                      2023-03-15
Data    2023-03-15_JBSS3.SA_Janela_3
Name: 70, dtype: object",Venda,17.42189598083496,547.4021375290929,9536.78309971857,9536.78309971857
"Data                      2023-03-19
Data    2023-03-19_JBSS3.SA_Janela_3
Name: 74, dtype: object",Compra,16.56736946105957,575.6365319270573,9536.78309971857,0.0
"Data                      2023-03-24
Data    2023-03-24_JBSS3.SA_Janela_3
Name: 79, dtype: object",Venda,15.791319847106934,575.6365319270573,9090.060591339543,9090.060591339543
"Data                      2023-04-23
Data    2023-04-23_JBSS3.SA_Janela_3
Name: 109, dtype: object",Compra,14.91063117980957,609.6362039756144,9090.060591339543,0.0
"Data                      2023-04-28
Data    2023-04-28_JBSS3.SA_Janela_3
Name: 114, dtype: object",Venda,15.60820484161377,609.6362039756144,9515.326750515225,9515.326750515225
"Data                      2023-04-30
Data    2023-04-30_JBSS3.SA_Janela_3
Name: 116, dtype: object",Compra,15.60820484161377,609.6362039756144,9515.326750515225,0.0
"Data                      2023-05-14
Data    2023-05-14_JBSS3.SA_Janela_3
Name: 130, dtype: object",Venda,14.099702835083008,609.6362039756144,8595.689313564213,8595.689313564213
"Data                      2023-06-05
Data    2023-06-05_JBSS3.SA_Janela_3
Name: 152, dtype: object",Compra,15.364054679870602,559.4675033815101,8595.689313564213,0.0
"Data                      2023-06-29
Data    2023-06-29_JBSS3.SA_Janela_3
Name: 176, dtype: object",Venda,16.080812454223633,559.4675033815101,8996.69199611079,8996.69199611079
"Data                      2023-07-04
Data    2023-07-04_JBSS3.SA_Janela_3
Name: 181, dtype: object",Compra,16.743938446044922,537.3103839996435,8996.69199611079,0.0
"Data                      2023-07-24
Data    2023-07-24_JBSS3.SA_Janela_3
Name: 201, dtype: object",Venda,16.513687133789062,537.3103839996435,8872.975575106173,8872.975575106173
"Data                      2023-08-02
Data    2023-08-02_JBSS3.SA_Janela_3
Name: 210, dtype: object",Compra,18.107032775878903,490.02924360562355,8872.975575106173,0.0
"Data                      2023-08-21
Data    2023-08-21_JBSS3.SA_Janela_3
Name: 229, dtype: object",Venda,17.066293716430664,490.02924360562355,8362.983001013925,8362.983001013925
"Data                      2023-09-14
Data    2023-09-14_JBSS3.SA_Janela_3
Name: 253, dtype: object",Compra,17.425485610961914,479.9282606938077,8362.983001013925,0.0
"Data                      2023-09-23
Data    2023-09-23_JBSS3.SA_Janela_3
Name: 262, dtype: object",Venda,16.780778884887695,479.9282606938077,8053.570023311526,8053.570023311526
"Data                      2023-10-10
Data    2023-10-10_JBSS3.SA_Janela_3
Name: 279, dtype: object",Compra,17.655738830566406,456.1446054791445,8053.570023311526,0.0
"Data                      2023-12-31
Data    2023-12-31_JBSS3.SA_Janela_3
Name: 361, dtype: object",Venda Final,22.94232749938965,456.1446054791445,10465.018925982418,10465.018925982418
