Data,Acao,Preco,Quantidade,Valor Total,Saldo Restante
"Data                      2023-03-04
Data    2023-03-04_VALE3.SA_Janela_1
Name: 61, dtype: object",Compra,73.98516845703125,135.16222519392858,10000.0,0.0
"Data                      2023-03-10
Data    2023-03-10_VALE3.SA_Janela_1
Name: 67, dtype: object",Venda,70.17406463623047,135.16222519392858,9484.882727135482,9484.882727135482
"Data                      2023-04-14
Data    2023-04-14_VALE3.SA_Janela_1
Name: 102, dtype: object",Compra,66.72811126708984,142.14223281655217,9484.882727135482,0.0
"Data                      2023-04-18
Data    2023-04-18_VALE3.SA_Janela_1
Name: 106, dtype: object",Venda,64.56058502197266,142.14223281655217,9176.785706966048,9176.785706966048
"Data                      2023-05-21
Data    2023-05-21_VALE3.SA_Janela_1
Name: 139, dtype: object",Compra,57.660003662109375,159.1534013896789,9176.785706966048,0.0
"Data                      2023-05-24
Data    2023-05-24_VALE3.SA_Janela_1
Name: 142, dtype: object",Venda,54.908233642578125,159.1534013896789,8738.832148515507,8738.832148515507
"Data                      2023-06-06
Data    2023-06-06_VALE3.SA_Janela_1
Name: 155, dtype: object",Compra,58.14261245727539,150.2999569366962,8738.832148515507,0.0
"Data                      2023-06-23
Data    2023-06-23_VALE3.SA_Janela_1
Name: 172, dtype: object",Venda,55.797271728515625,150.2999569366962,8386.327537981035,8386.327537981035
"Data                      2023-07-13
Data    2023-07-13_VALE3.SA_Janela_1
Name: 192, dtype: object",Compra,58.09181594848633,144.36332211438733,8386.327537981035,0.0
"Data                      2023-08-01
Data    2023-08-01_VALE3.SA_Janela_1
Name: 211, dtype: object",Venda,56.80483627319336,144.36332211438733,8200.534876562046,8200.534876562046
"Data                      2023-08-30
Data    2023-08-30_VALE3.SA_Janela_1
Name: 240, dtype: object",Compra,56.76536560058594,144.46370229098636,8200.534876562046,0.0
"Data                      2023-09-25
Data    2023-09-25_VALE3.SA_Janela_1
Name: 266, dtype: object",Venda,57.18403244018555,144.46370229098636,8261.01703823707,8261.01703823707
"Data                      2023-10-13
Data    2023-10-13_VALE3.SA_Janela_1
Name: 284, dtype: object",Compra,58.08244705200195,142.2291493820995,8261.01703823707,0.0
"Data                      2023-10-19
Data    2023-10-19_VALE3.SA_Janela_1
Name: 290, dtype: object",Venda,54.6719856262207,142.2291493820995,7775.950010647742,7775.950010647742
"Data                      2023-10-29
Data    2023-10-29_VALE3.SA_Janela_1
Name: 300, dtype: object",Compra,59.46930694580078,130.75568574785305,7775.950010647742,0.0
"Data                      2023-12-07
Data    2023-12-07_VALE3.SA_Janela_1
Name: 339, dtype: object",Venda,64.12945556640625,130.75568574785305,8385.29093922192,8385.29093922192
"Data                      2023-12-18
Data    2023-12-18_VALE3.SA_Janela_1
Name: 350, dtype: object",Compra,65.82959747314453,127.37873632969936,8385.29093922192,0.0
"Data                      2023-12-31
Data    2023-12-31_VALE3.SA_Janela_1
Name: 363, dtype: object",Venda Final,68.00540924072266,127.37873632969936,8662.443092667312,8662.443092667312
