Data,Acao,Preco,Quantidade,Valor Total,Saldo Restante
2023-01-10_SUZB3.SA_Janela_1,Compra,47.29530715942383,211.43746812536452,10000.0,0.0
2023-01-12_SUZB3.SA_Janela_1,Venda,47.56026840209961,211.43746812536452,10056.022734302718,10056.022734302718
2023-01-18_SUZB3.SA_Janela_1,Compra,47.18175506591797,213.13371493394803,10056.022734302718,0.0
2023-01-21_SUZB3.SA_Janela_1,Venda,44.60786056518555,213.13371493394803,9507.439037513557,9507.439037513557
2023-01-23_SUZB3.SA_Janela_1,Compra,44.45645904541016,213.85956600371972,9507.439037513557,0.0
2023-01-24_SUZB3.SA_Janela_1,Venda,44.95798873901367,213.85956600371972,9614.695960125582,9614.695960125582
2023-01-25_SUZB3.SA_Janela_1,Compra,44.25774002075195,217.24326537273163,9614.695960125582,0.0
2023-01-30_SUZB3.SA_Janela_1,Venda,43.7940559387207,217.24326537273163,9513.963716043756,9513.963716043756
2023-01-31_SUZB3.SA_Janela_1,Compra,43.8697624206543,216.86836652583494,9513.963716043756,0.0
2023-02-01_SUZB3.SA_Janela_1,Venda,44.23881149291992,216.86836652583494,9593.998785513877,9593.998785513877
2023-02-02_SUZB3.SA_Janela_1,Compra,42.60173797607422,225.20205140226938,9593.998785513877,0.0
2023-02-03_SUZB3.SA_Janela_1,Venda,43.82244491577149,225.20205140226938,9868.90449249469,9868.90449249469
2023-02-04_SUZB3.SA_Janela_1,Compra,43.82244491577149,225.20205140226938,9868.90449249469,0.0
2023-02-09_SUZB3.SA_Janela_1,Venda,43.81298065185547,225.20205140226938,9866.773120845788,9866.773120845788
2023-02-11_SUZB3.SA_Janela_1,Compra,43.90761184692383,224.71668819621888,9866.773120845788,0.0
2023-02-13_SUZB3.SA_Janela_1,Venda,44.200958251953125,224.71668819621888,9932.692953478238,9932.692953478238
2023-02-16_SUZB3.SA_Janela_1,Compra,45.194557189941406,219.77630872084035,9932.692953478238,0.0
2023-02-18_SUZB3.SA_Janela_1,Venda,44.437530517578125,219.77630872084035,9766.316425823014,9766.316425823014
2023-02-22_SUZB3.SA_Janela_1,Compra,43.56695175170898,224.16799966823282,9766.316425823014,0.0
2023-02-27_SUZB3.SA_Janela_1,Venda,43.85083770751953,224.16799966823282,9829.95457267097,9829.95457267097
2023-03-01_SUZB3.SA_Janela_1,Compra,44.25774002075195,222.1070160397213,9829.95457267097,0.0
2023-03-03_SUZB3.SA_Janela_1,Venda,45.61092376708984,222.1070160397213,10130.506176723527,10130.506176723527
2023-03-06_SUZB3.SA_Janela_1,Compra,45.21348190307617,224.05941215587472,10130.506176723527,0.0
2023-03-07_SUZB3.SA_Janela_1,Venda,45.185096740722656,224.05941215587472,10124.146213932649,10124.146213932649
2023-03-08_SUZB3.SA_Janela_1,Compra,44.891746520996094,225.52355384964883,10124.146213932649,0.0
2023-03-14_SUZB3.SA_Janela_1,Venda,42.55442428588867,225.52355384964883,9597.024996979419,9597.024996979419
