Data,Acao,Preco,Quantidade,Valor Total,Saldo Restante
2023-02-02_VALE3.SA_Janela_2,Compra,73.85260772705078,135.4048327847629,10000.0,0.0
2023-02-04_VALE3.SA_Janela_2,Venda,73.69518280029297,135.4048327847629,9978.683904116204,9978.683904116204
2023-02-10_VALE3.SA_Janela_2,Compra,71.91392517089844,138.75871578978,9978.683904116204,0.0
2023-02-11_VALE3.SA_Janela_2,Venda,71.91392517089844,138.75871578978,9978.683904116204,9978.683904116204
2023-02-24_VALE3.SA_Janela_2,Compra,70.45574951171875,141.63051238929012,9978.683904116204,0.0
2023-02-25_VALE3.SA_Janela_2,Venda,70.45574951171875,141.63051238929012,9978.683904116204,9978.683904116204
2023-03-06_VALE3.SA_Janela_2,Compra,71.3753890991211,139.80566733245422,9978.683904116204,0.0
2023-03-08_VALE3.SA_Janela_2,Venda,71.34224700927734,139.80566733245422,9974.050452128806,9974.050452128806
2023-03-15_VALE3.SA_Janela_2,Compra,68.96338653564453,144.6281998778236,9974.050452128806,0.0
2023-03-16_VALE3.SA_Janela_2,Venda,69.21739959716797,144.6281998778236,10010.787903962395,10010.787903962395
2023-03-22_VALE3.SA_Janela_2,Compra,69.15813446044922,144.75213916719306,10010.787903962395,0.0
2023-03-25_VALE3.SA_Janela_2,Venda,66.60958099365234,144.75213916719306,9641.879337861583,9641.879337861583
2023-04-04_VALE3.SA_Janela_2,Compra,66.07615661621094,145.92070470842233,9641.879337861583,0.0
2023-04-06_VALE3.SA_Janela_2,Venda,64.98392486572266,145.92070470842233,9482.500111125419,9482.500111125419
2023-04-13_VALE3.SA_Janela_2,Compra,67.32080841064453,140.85541060772644,9482.500111125419,0.0
2023-04-15_VALE3.SA_Janela_2,Venda,66.72811126708984,140.85541060772644,9399.015511603997,9399.015511603997
2023-04-19_VALE3.SA_Janela_2,Compra,64.5605697631836,145.58445729461164,9399.015511603997,0.0
2023-04-21_VALE3.SA_Janela_2,Venda,63.21432113647461,145.58445729461164,9203.022635900954,9203.022635900954
2023-04-24_VALE3.SA_Janela_2,Compra,60.9282455444336,151.046900393503,9203.022635900954,0.0
2023-04-27_VALE3.SA_Janela_2,Venda,60.7589111328125,151.046900393503,9177.44519789563,9177.44519789563
2023-05-02_VALE3.SA_Janela_2,Compra,58.879241943359375,155.86894285636598,9177.44519789563,0.0
2023-05-05_VALE3.SA_Janela_2,Venda,58.45589828491211,155.86894285636598,9111.459069388507,9111.459069388507
2023-05-10_VALE3.SA_Janela_2,Compra,58.72683334350585,155.1498446390533,9111.459069388507,0.0
2023-05-13_VALE3.SA_Janela_2,Venda,57.64307403564453,155.1498446390533,8943.313981147696,8943.313981147696
2023-05-16_VALE3.SA_Janela_2,Compra,57.2705192565918,156.1591216080746,8943.313981147696,0.0
2023-05-17_VALE3.SA_Janela_2,Venda,59.16711425781249,156.1591216080746,9239.484590584585,9239.484590584585
2023-05-19_VALE3.SA_Janela_2,Compra,58.599834442138665,157.67083095955894,9239.484590584585,0.0
2023-05-20_VALE3.SA_Janela_2,Venda,58.599834442138665,157.67083095955894,9239.484590584585,9239.484590584585
2023-05-22_VALE3.SA_Janela_2,Compra,57.6599998474121,160.24080150945875,9239.484590584585,0.0
2023-05-26_VALE3.SA_Janela_2,Venda,56.16135025024414,160.24080150945875,8999.339777952562,8999.339777952562
2023-05-29_VALE3.SA_Janela_2,Compra,55.73800277709961,161.45788025347062,8999.339777952562,0.0
2023-06-01_VALE3.SA_Janela_2,Venda,55.17071914672852,161.45788025347062,8907.747365490353,8907.747365490353
2023-06-05_VALE3.SA_Janela_2,Compra,57.05037689208983,156.13827376354166,8907.747365490353,0.0
2023-06-06_VALE3.SA_Janela_2,Venda,57.23665237426757,156.13827376354166,8936.832097722057,8936.832097722057
2023-06-12_VALE3.SA_Janela_2,Compra,56.83024215698242,157.254865693442,8936.832097722057,0.0
2023-06-13_VALE3.SA_Janela_2,Venda,57.43139266967773,157.254865693442,9031.3659408575,9031.3659408575
2023-06-20_VALE3.SA_Janela_2,Compra,57.24511718749999,157.76657267162662,9031.3659408575,0.0
2023-06-24_VALE3.SA_Janela_2,Venda,55.79727172851562,157.76657267162662,8802.944325035356,8802.944325035356
2023-06-28_VALE3.SA_Janela_2,Compra,54.79816818237305,160.6430400326229,8802.944325035356,0.0
2023-06-29_VALE3.SA_Janela_2,Venda,55.46706008911133,160.6430400326229,8910.397154387012,8910.397154387012
2023-06-30_VALE3.SA_Janela_2,Compra,54.37482070922852,163.86991328276204,8910.397154387012,0.0
2023-07-02_VALE3.SA_Janela_2,Venda,54.37482070922852,163.86991328276204,8910.397154387012,8910.397154387012
2023-07-05_VALE3.SA_Janela_2,Compra,55.306182861328125,161.11032606839788,8910.397154387012,0.0
2023-07-07_VALE3.SA_Janela_2,Venda,55.42472076416016,161.11032606839788,8929.494834563746,8929.494834563746
2023-07-10_VALE3.SA_Janela_2,Compra,54.57802200317382,163.60971883599,8929.494834563746,0.0
2023-07-11_VALE3.SA_Janela_2,Venda,56.3730239868164,163.60971883599,9223.174604417552,9223.174604417552
2023-07-17_VALE3.SA_Janela_2,Compra,57.44832992553711,160.54730601172164,9223.174604417552,0.0
2023-07-19_VALE3.SA_Janela_2,Venda,56.93184280395508,160.54730601172164,9140.25398845781,9140.25398845781
2023-07-27_VALE3.SA_Janela_2,Compra,59.62433242797852,153.29738072117644,9140.25398845781,0.0
2023-07-30_VALE3.SA_Janela_2,Venda,57.26205825805663,153.29738072117644,8778.123545663493,8778.123545663493
2023-08-02_VALE3.SA_Janela_2,Compra,56.804832458496094,154.53128133204416,8778.123545663493,0.0
2023-08-03_VALE3.SA_Janela_2,Venda,57.160449981689446,154.53128133204416,8833.07757718669,8833.07757718669
2023-08-09_VALE3.SA_Janela_2,Compra,56.60162734985352,156.0569543802975,8833.07757718669,0.0
2023-08-12_VALE3.SA_Janela_2,Venda,55.46706008911133,156.0569543802975,8656.020465935666,8656.020465935666
2023-08-14_VALE3.SA_Janela_2,Compra,53.99164199829101,160.32148950405423,8656.020465935666,0.0
2023-08-17_VALE3.SA_Janela_2,Venda,54.00036621093749,160.32148950405423,8657.4191447019,8657.4191447019
2023-08-18_VALE3.SA_Janela_2,Compra,53.39851760864257,162.1284547288761,8657.4191447019,0.0
2023-08-20_VALE3.SA_Janela_2,Venda,53.39851760864257,162.1284547288761,8657.4191447019,8657.4191447019
2023-08-24_VALE3.SA_Janela_2,Compra,54.25331497192383,159.57401219044638,8657.4191447019,0.0
2023-08-26_VALE3.SA_Janela_2,Venda,54.13991928100585,159.57401219044638,8639.324139337012,8639.324139337012
2023-09-06_VALE3.SA_Janela_2,Compra,59.3035774230957,145.67964555832071,8639.324139337012,0.0
2023-09-07_VALE3.SA_Janela_2,Venda,59.3035774230957,145.67964555832071,8639.324139337012,8639.324139337012
2023-09-08_VALE3.SA_Janela_2,Compra,58.18711853027344,148.47485762406617,8639.324139337012,0.0
2023-09-10_VALE3.SA_Janela_2,Venda,58.18711853027344,148.47485762406617,8639.324139337012,8639.324139337012
2023-09-18_VALE3.SA_Janela_2,Compra,59.94031524658203,144.1321104801772,8639.324139337012,0.0
