Data,Acao,Preco,Quantidade,Valor Total,Saldo Restante
"Data                      2023-01-05
Data    2023-01-05_BEEF3.SA_Janela_2
Name: 2, dtype: object",Compra,12.334979057312012,810.7026330192375,10000.0,0.0
"Data                      2023-01-17
Data    2023-01-17_BEEF3.SA_Janela_2
Name: 14, dtype: object",Venda,14.353087425231934,810.7026330192375,11636.085767590837,11636.085767590837
"Data                      2023-01-18
Data    2023-01-18_BEEF3.SA_Janela_2
Name: 15, dtype: object",Compra,14.51340389251709,801.7475330918229,11636.085767590837,0.0
"Data                      2023-01-24
Data    2023-01-24_BEEF3.SA_Janela_2
Name: 21, dtype: object",Venda,13.890995979309082,801.7475330918229,11137.071758599488,11137.071758599488
"Data                      2023-01-26
Data    2023-01-26_BEEF3.SA_Janela_2
Name: 23, dtype: object",Compra,13.909857749938965,800.6603632340062,11137.071758599488,0.0
"Data                      2023-01-27
Data    2023-01-27_BEEF3.SA_Janela_2
Name: 24, dtype: object",Venda,13.664666175842283,800.6603632340062,10940.756583821321,10940.756583821321
"Data                      2023-02-08
Data    2023-02-08_BEEF3.SA_Janela_2
Name: 36, dtype: object",Compra,12.66504383087158,863.854616685397,10940.756583821321,0.0
"Data                      2023-02-09
Data    2023-02-09_BEEF3.SA_Janela_2
Name: 37, dtype: object",Venda,12.363269805908203,863.854616685397,10680.067699160973,10680.067699160973
"Data                      2023-02-12
Data    2023-02-12_BEEF3.SA_Janela_2
Name: 40, dtype: object",Compra,12.438713073730469,858.615166686045,10680.067699160973,0.0
"Data                      2023-02-14
Data    2023-02-14_BEEF3.SA_Janela_2
Name: 42, dtype: object",Venda,11.97662353515625,858.615166686045,10283.310612974194,10283.310612974194
"Data                      2023-02-16
Data    2023-02-16_BEEF3.SA_Janela_2
Name: 44, dtype: object",Compra,11.665419578552246,881.5208526130373,10283.310612974194,0.0
"Data                      2023-02-17
Data    2023-02-17_BEEF3.SA_Janela_2
Name: 45, dtype: object",Venda,11.674850463867188,881.5208526130373,10291.624135037917,10291.624135037917
"Data                      2023-02-19
Data    2023-02-19_BEEF3.SA_Janela_2
Name: 47, dtype: object",Compra,11.674850463867188,881.5208526130373,10291.624135037917,0.0
"Data                      2023-02-23
Data    2023-02-23_BEEF3.SA_Janela_2
Name: 51, dtype: object",Venda,11.127886772155763,881.5208526130373,9809.464235172089,9809.464235172089
"Data                      2023-03-02
Data    2023-03-02_BEEF3.SA_Janela_2
Name: 58, dtype: object",Compra,10.373453140258787,945.6315175418406,9809.464235172089,0.0
"Data                      2023-03-03
Data    2023-03-03_BEEF3.SA_Janela_2
Name: 59, dtype: object",Venda,11.127886772155763,945.6315175418406,10522.880455387429,10522.880455387429
"Data                      2023-03-04
Data    2023-03-04_BEEF3.SA_Janela_2
Name: 60, dtype: object",Compra,11.127886772155763,945.6315175418406,10522.880455387429,0.0
"Data                      2023-03-07
Data    2023-03-07_BEEF3.SA_Janela_2
Name: 63, dtype: object",Venda,11.18446922302246,945.6315175418406,10576.38660426674,10576.38660426674
