Data,Acao,Preco,Quantidade,Valor Total,Saldo Restante
"Data                      2023-01-06
Data    2023-01-06_BRFS3.SA_Janela_4
Name: 1, dtype: object",Compra,8.407326698303223,1189.438731103219,10000.0,0.0
"Data                      2023-01-12
Data    2023-01-12_BRFS3.SA_Janela_4
Name: 7, dtype: object",Venda,8.329482078552246,1189.438731103219,9907.408594260187,9907.408594260187
"Data                      2023-01-19
Data    2023-01-19_BRFS3.SA_Janela_4
Name: 14, dtype: object",Compra,7.512102127075195,1318.8596782452948,9907.408594260187,0.0
"Data                      2023-01-20
Data    2023-01-20_BRFS3.SA_Janela_4
Name: 15, dtype: object",Venda,7.687254905700683,1318.8596782452948,10138.410531521968,10138.410531521968
"Data                      2023-01-21
Data    2023-01-21_BRFS3.SA_Janela_4
Name: 16, dtype: object",Compra,7.687254905700683,1318.859678245295,10138.410531521968,0.0
"Data                      2023-01-24
Data    2023-01-24_BRFS3.SA_Janela_4
Name: 19, dtype: object",Venda,7.804023265838623,1318.859678245295,10292.411613402723,10292.411613402723
"Data                      2023-01-25
Data    2023-01-25_BRFS3.SA_Janela_4
Name: 20, dtype: object",Compra,7.92079210281372,1299.4169623195296,10292.411613402723,0.0
"Data                      2023-01-28
Data    2023-01-28_BRFS3.SA_Janela_4
Name: 23, dtype: object",Venda,7.560755729675293,1299.4169623195296,9824.574243094648,9824.574243094648
"Data                      2023-02-01
Data    2023-02-01_BRFS3.SA_Janela_4
Name: 27, dtype: object",Compra,8.339211463928223,1178.1178934712777,9824.574243094648,0.0
"Data                      2023-02-03
Data    2023-02-03_BRFS3.SA_Janela_4
Name: 29, dtype: object",Venda,7.521832942962647,1178.1178934712777,8861.605981806015,8861.605981806015
"Data                      2023-02-14
Data    2023-02-14_BRFS3.SA_Janela_4
Name: 40, dtype: object",Compra,6.286033630371094,1409.7293305894823,8861.605981806015,0.0
"Data                      2023-02-15
Data    2023-02-15_BRFS3.SA_Janela_4
Name: 41, dtype: object",Venda,6.529301166534424,1409.7293305894823,9204.547362715699,9204.547362715699
"Data                      2023-02-16
Data    2023-02-16_BRFS3.SA_Janela_4
Name: 42, dtype: object",Compra,6.587685108184815,1397.235479771124,9204.547362715699,0.0
"Data                      2023-02-23
Data    2023-02-23_BRFS3.SA_Janela_4
Name: 49, dtype: object",Venda,6.32495641708374,1397.235479771124,8837.453513955448,8837.453513955448
"Data                      2023-02-27
Data    2023-02-27_BRFS3.SA_Janela_4
Name: 53, dtype: object",Compra,6.295763969421387,1403.7142365690777,8837.453513955448,0.0
"Data                      2023-03-01
Data    2023-03-01_BRFS3.SA_Janela_4
Name: 55, dtype: object",Venda,6.315225124359131,1403.7142365690777,8864.771414201636,8864.771414201636
"Data                      2023-03-02
Data    2023-03-02_BRFS3.SA_Janela_4
Name: 56, dtype: object",Compra,6.558493137359619,1351.647585587091,8864.771414201636,0.0
"Data                      2023-03-11
Data    2023-03-11_BRFS3.SA_Janela_4
Name: 65, dtype: object",Venda,6.412532806396484,1351.647585587091,8667.484485263822,8667.484485263822
"Data                      2023-03-15
Data    2023-03-15_BRFS3.SA_Janela_4
Name: 69, dtype: object",Compra,6.5098395347595215,1331.4436460351253,8667.484485263822,0.0
"Data                      2023-03-21
Data    2023-03-21_BRFS3.SA_Janela_4
Name: 75, dtype: object",Venda,6.412532806396484,1331.4436460351253,8537.92606006839,8537.92606006839
"Data                      2023-03-26
Data    2023-03-26_BRFS3.SA_Janela_4
Name: 80, dtype: object",Compra,6.01357364654541,1419.775754300961,8537.92606006839,0.0
"Data                      2023-04-01
Data    2023-04-01_BRFS3.SA_Janela_4
Name: 86, dtype: object",Venda,6.042766094207764,1419.775754300961,8579.3727894681,8579.3727894681
"Data                      2023-04-06
Data    2023-04-06_BRFS3.SA_Janela_4
Name: 91, dtype: object",Compra,5.974650859832764,1435.9621994226864,8579.3727894681,0.0
"Data                      2023-04-09
Data    2023-04-09_BRFS3.SA_Janela_4
Name: 94, dtype: object",Venda,5.974650859832764,1435.9621994226864,8579.3727894681,8579.3727894681
"Data                      2023-04-11
Data    2023-04-11_BRFS3.SA_Janela_4
Name: 96, dtype: object",Compra,6.5779547691345215,1304.2614445640083,8579.3727894681,0.0
"Data                      2023-04-14
Data    2023-04-14_BRFS3.SA_Janela_4
Name: 99, dtype: object",Venda,6.003843307495117,1304.2614445640083,7830.581345169535,7830.581345169535
