Data,Acao,Preco,Quantidade,Valor Total,Saldo Restante
"Data                      2023-02-05
Data    2023-02-05_BRFS3.SA_Janela_4
Name: 31, dtype: object",Compra,7.521832942962647,1329.4631874742581,10000.0,0.0
"Data                      2023-02-08
Data    2023-02-08_BRFS3.SA_Janela_4
Name: 34, dtype: object",Venda,6.714184761047363,1329.4631874742581,8926.261473713117,8926.261473713117
"Data                      2023-03-08
Data    2023-03-08_BRFS3.SA_Janela_4
Name: 62, dtype: object",Compra,6.889337062835693,1295.6633406522592,8926.261473713117,0.0
"Data                      2023-03-17
Data    2023-03-17_BRFS3.SA_Janela_4
Name: 71, dtype: object",Venda,6.8114914894104,1295.6633406522592,8825.399817993912,8825.399817993912
"Data                      2023-03-20
Data    2023-03-20_BRFS3.SA_Janela_4
Name: 74, dtype: object",Compra,6.63633918762207,1329.8596663737171,8825.399817993912,0.0
"Data                      2023-03-25
Data    2023-03-25_BRFS3.SA_Janela_4
Name: 79, dtype: object",Venda,6.01357364654541,1329.8596663737171,7997.209043308657,7997.209043308657
"Data                      2023-04-13
Data    2023-04-13_BRFS3.SA_Janela_4
Name: 98, dtype: object",Compra,6.120611667633057,1306.602914476571,7997.209043308657,0.0
"Data                      2023-04-20
Data    2023-04-20_BRFS3.SA_Janela_4
Name: 105, dtype: object",Venda,5.828690528869629,1306.602914476571,7615.784032603043,7615.784032603043
"Data                      2023-05-03
Data    2023-05-03_BRFS3.SA_Janela_4
Name: 118, dtype: object",Compra,6.14980411529541,1238.3783108898604,7615.784032603043,0.0
"Data                      2023-06-01
Data    2023-06-01_BRFS3.SA_Janela_4
Name: 147, dtype: object",Venda,8.241905212402344,1238.3783108898604,10206.59665544915,10206.59665544915
"Data                      2023-06-03
Data    2023-06-03_BRFS3.SA_Janela_4
Name: 149, dtype: object",Compra,8.358674049377441,1221.0784384168376,10206.59665544915,0.0
"Data                      2023-07-01
Data    2023-07-01_BRFS3.SA_Janela_4
Name: 177, dtype: object",Venda,8.670055389404297,1221.0784384168376,10586.817695881286,10586.817695881286
"Data                      2023-07-09
Data    2023-07-09_BRFS3.SA_Janela_4
Name: 185, dtype: object",Compra,9.808547019958496,1079.3461737339037,10586.817695881286,0.0
"Data                      2023-07-19
Data    2023-07-19_BRFS3.SA_Janela_4
Name: 195, dtype: object",Venda,8.485173225402832,1079.3461737339037,9158.439254307914,9158.439254307914
"Data                      2023-08-02
Data    2023-08-02_BRFS3.SA_Janela_4
Name: 209, dtype: object",Compra,9.487434387207031,965.3230663346944,9158.439254307914,0.0
"Data                      2023-08-26
Data    2023-08-26_BRFS3.SA_Janela_4
Name: 233, dtype: object",Venda,9.156591415405272,965.3230663346944,8839.068902292956,8839.068902292956
"Data                      2023-09-21
Data    2023-09-21_BRFS3.SA_Janela_4
Name: 259, dtype: object",Compra,9.10793685913086,970.4798176583363,8839.068902292956,0.0
"Data                      2023-10-22
Data    2023-10-22_BRFS3.SA_Janela_4
Name: 290, dtype: object",Venda,10.499427795410156,970.4798176583363,10189.482772406516,10189.482772406516
"Data                      2023-10-26
Data    2023-10-26_BRFS3.SA_Janela_4
Name: 294, dtype: object",Compra,10.587003707885742,962.4519886412119,10189.482772406516,0.0
"Data                      2023-10-31
Data    2023-10-31_BRFS3.SA_Janela_4
Name: 299, dtype: object",Venda,10.382659912109377,962.4519886412119,9992.81167979506,9992.81167979506
"Data                      2023-11-06
Data    2023-11-06_BRFS3.SA_Janela_4
Name: 305, dtype: object",Compra,12.455299377441406,802.2939776055231,9992.81167979506,0.0
"Data                      2023-12-10
Data    2023-12-10_BRFS3.SA_Janela_4
Name: 339, dtype: object",Venda,13.467291831970217,802.2939776055231,10804.727131445758,10804.727131445758
"Data                      2023-12-26
Data    2023-12-26_BRFS3.SA_Janela_4
Name: 355, dtype: object",Compra,13.360254287719728,808.7216679234226,10804.727131445758,0.0
"Data                      2023-12-28
Data    2023-12-28_BRFS3.SA_Janela_4
Name: 357, dtype: object",Venda,13.43809986114502,808.7216679234226,10867.682533426714,10867.682533426714
