Data,Acao,Preco,Quantidade,Valor Total,Saldo Restante
"Data                      2023-02-21
Data    2023-02-21_CSNA3.SA_Janela_3
Name: 48, dtype: object",Compra,14.374897956848145,695.6571121422145,10000.0,0.0
"Data                      2023-02-26
Data    2023-02-26_CSNA3.SA_Janela_3
Name: 53, dtype: object",Venda,13.647892951965332,695.6571121422145,9494.253797790285,9494.253797790285
"Data                      2023-03-05
Data    2023-03-05_CSNA3.SA_Janela_3
Name: 60, dtype: object",Compra,15.068859100341797,630.057905151886,9494.253797790285,0.0
"Data                      2023-03-12
Data    2023-03-12_CSNA3.SA_Janela_3
Name: 67, dtype: object",Venda,13.152206420898438,630.057905151886,8286.651625676453,8286.651625676453
"Data                      2023-04-03
Data    2023-04-03_CSNA3.SA_Janela_3
Name: 89, dtype: object",Compra,12.474767684936523,664.2730217479492,8286.651625676453,0.0
"Data                      2023-04-19
Data    2023-04-19_CSNA3.SA_Janela_3
Name: 105, dtype: object",Venda,12.061697006225586,664.2730217479492,8012.259917733662,8012.259917733662
"Data                      2023-05-21
Data    2023-05-21_CSNA3.SA_Janela_3
Name: 137, dtype: object",Compra,11.54651927947998,693.9112752336313,8012.259917733662,0.0
"Data                      2023-05-28
Data    2023-05-28_CSNA3.SA_Janela_3
Name: 144, dtype: object",Venda,10.762389183044434,693.9112752336313,7468.143202567002,7468.143202567002
"Data                      2023-06-08
Data    2023-06-08_CSNA3.SA_Janela_3
Name: 155, dtype: object",Compra,11.124296188354492,671.3362424119068,7468.143202567002,0.0
"Data                      2023-06-26
Data    2023-06-26_CSNA3.SA_Janela_3
Name: 173, dtype: object",Venda,11.184614181518556,671.3362424119068,7508.636857447593,7508.636857447593
"Data                      2023-07-15
Data    2023-07-15_CSNA3.SA_Janela_3
Name: 192, dtype: object",Compra,11.107063293457031,676.0235949920979,7508.636857447593,0.0
"Data                      2023-08-08
Data    2023-08-08_CSNA3.SA_Janela_3
Name: 216, dtype: object",Venda,10.977810859680176,676.0235949920979,7421.259162504285,7421.259162504285
"Data                      2023-09-04
Data    2023-09-04_CSNA3.SA_Janela_3
Name: 243, dtype: object",Compra,10.857175827026367,683.5349524349434,7421.259162504285,0.0
"Data                      2023-09-12
Data    2023-09-12_CSNA3.SA_Janela_3
Name: 251, dtype: object",Venda,10.4694185256958,683.5349524349434,7156.213493982995,7156.213493982995
"Data                      2023-09-17
Data    2023-09-17_CSNA3.SA_Janela_3
Name: 256, dtype: object",Compra,10.702073097229004,668.6754453056288,7156.213493982995,0.0
"Data                      2023-09-26
Data    2023-09-26_CSNA3.SA_Janela_3
Name: 265, dtype: object",Venda,10.340167045593262,668.6754453056288,6914.2158037466625,6914.2158037466625
"Data                      2023-11-02
Data    2023-11-02_CSNA3.SA_Janela_3
Name: 302, dtype: object",Compra,10.314315795898438,670.3513776935306,6914.2158037466625,0.0
"Data                      2023-12-31
Data    2023-12-31_CSNA3.SA_Janela_3
Name: 361, dtype: object",Venda Final,17.75103759765625,670.3513776935306,11899.432509078526,11899.432509078526
