Data,Acao,Preco,Quantidade,Valor Total,Saldo Restante
"Data                      2023-02-18
Data    2023-02-18_SOJA3.SA_Janela_3
Name: 45, dtype: object",Compra,11.303303718566896,884.6970982097845,10000.0,0.0
"Data                      2023-03-02
Data    2023-03-02_SOJA3.SA_Janela_3
Name: 57, dtype: object",Venda,11.440258979797363,884.6970982097845,10121.163922195157,10121.163922195157
"Data                      2023-03-03
Data    2023-03-03_SOJA3.SA_Janela_3
Name: 58, dtype: object",Compra,11.27591323852539,897.5915039515464,10121.163922195157,0.0
"Data                      2023-03-17
Data    2023-03-17_SOJA3.SA_Janela_3
Name: 72, dtype: object",Venda,10.855920791625977,897.5915039515464,9744.182270134423,9744.182270134423
"Data                      2023-03-31
Data    2023-03-31_SOJA3.SA_Janela_3
Name: 86, dtype: object",Compra,10.901570320129396,893.8329051679927,9744.182270134423,0.0
"Data                      2023-04-06
Data    2023-04-06_SOJA3.SA_Janela_3
Name: 92, dtype: object",Venda,10.417665481567385,893.8329051679927,9311.652202457692,9311.652202457692
"Data                      2023-04-23
Data    2023-04-23_SOJA3.SA_Janela_3
Name: 109, dtype: object",Compra,10.481576919555664,888.3827570911374,9311.652202457692,0.0
"Data                      2023-04-26
Data    2023-04-26_SOJA3.SA_Janela_3
Name: 112, dtype: object",Venda,10.134626388549805,888.3827570911374,9003.427333148471,9003.427333148471
"Data                      2023-05-11
Data    2023-05-11_SOJA3.SA_Janela_3
Name: 127, dtype: object",Compra,10.768600463867188,836.0814725514654,9003.427333148471,0.0
"Data                      2023-05-26
Data    2023-05-26_SOJA3.SA_Janela_3
Name: 142, dtype: object",Venda,10.238397598266602,836.0814725514654,8560.134540526127,8560.134540526127
"Data                      2023-06-14
Data    2023-06-14_SOJA3.SA_Janela_3
Name: 161, dtype: object",Compra,9.93673038482666,861.4639030155645,8560.134540526127,0.0
"Data                      2023-06-23
Data    2023-06-23_SOJA3.SA_Janela_3
Name: 170, dtype: object",Venda,9.808749198913574,861.4639030155645,8449.883368596878,8449.883368596878
"Data                      2023-07-05
Data    2023-07-05_SOJA3.SA_Janela_3
Name: 182, dtype: object",Compra,10.585771560668944,798.2302773273626,8449.883368596878,0.0
"Data                      2023-08-01
Data    2023-08-01_SOJA3.SA_Janela_3
Name: 209, dtype: object",Venda,10.80516529083252,798.2302773273626,8625.010086669236,8625.010086669236
"Data                      2023-08-03
Data    2023-08-03_SOJA3.SA_Janela_3
Name: 211, dtype: object",Compra,10.768600463867188,800.9406715022509,8625.010086669236,0.0
"Data                      2023-09-10
Data    2023-09-10_SOJA3.SA_Janela_3
Name: 249, dtype: object",Venda,12.852846145629885,800.9406715022509,10294.367222595916,10294.367222595916
"Data                      2023-09-15
Data    2023-09-15_SOJA3.SA_Janela_3
Name: 254, dtype: object",Compra,13.145371437072754,783.1172570417906,10294.367222595916,0.0
"Data                      2023-09-21
Data    2023-09-21_SOJA3.SA_Janela_3
Name: 260, dtype: object",Venda,12.496330261230469,783.1172570417906,9786.091877263127,9786.091877263127
"Data                      2023-10-15
Data    2023-10-15_SOJA3.SA_Janela_3
Name: 284, dtype: object",Compra,12.148954391479492,805.5089814253046,9786.091877263127,0.0
"Data                      2023-10-21
Data    2023-10-21_SOJA3.SA_Janela_3
Name: 290, dtype: object",Venda,11.874711990356444,805.5089814253046,9565.18716007087,9565.18716007087
"Data                      2023-10-25
Data    2023-10-25_SOJA3.SA_Janela_3
Name: 294, dtype: object",Compra,12.286075592041016,778.5388498071139,9565.18716007087,0.0
"Data                      2023-11-02
Data    2023-11-02_SOJA3.SA_Janela_3
Name: 302, dtype: object",Venda,11.770597457885742,778.5388498071139,9163.867406404905,9163.867406404905
"Data                      2023-11-06
Data    2023-11-06_SOJA3.SA_Janela_3
Name: 306, dtype: object",Compra,12.21407413482666,750.2711466500327,9163.867406404905,0.0
"Data                      2023-12-08
Data    2023-12-08_SOJA3.SA_Janela_3
Name: 338, dtype: object",Venda,14.08960819244385,750.2711466500327,10571.026494394542,10571.026494394542
"Data                      2023-12-14
Data    2023-12-14_SOJA3.SA_Janela_3
Name: 344, dtype: object",Compra,14.551563262939451,726.4529798882356,10571.026494394542,0.0
"Data                      2023-12-31
Data    2023-12-31_SOJA3.SA_Janela_3
Name: 361, dtype: object",Venda Final,15.800615310668944,726.4529798882356,11478.404076503133,11478.404076503133
