Data,Acao,Preco,Quantidade,Valor Total,Saldo Restante
"Data                      2023-02-13
Data    2023-02-13_SUZB3.SA_Janela_3
Name: 40, dtype: object",Compra,44.200958251953125,226.23943904107838,10000.0,0.0
"Data                      2023-02-26
Data    2023-02-26_SUZB3.SA_Janela_3
Name: 53, dtype: object",Venda,43.671043395996094,226.23943904107838,9880.112360248748,9880.112360248748
"Data                      2023-03-05
Data    2023-03-05_SUZB3.SA_Janela_3
Name: 60, dtype: object",Compra,45.61092376708984,216.6172386838974,9880.112360248748,0.0
"Data                      2023-03-13
Data    2023-03-13_SUZB3.SA_Janela_3
Name: 68, dtype: object",Venda,42.18537521362305,216.6172386838974,9138.079491619153,9138.079491619153
"Data                      2023-05-06
Data    2023-05-06_SUZB3.SA_Janela_3
Name: 122, dtype: object",Compra,39.374908447265625,232.07874892858942,9138.079491619153,0.0
"Data                      2023-06-26
Data    2023-06-26_SUZB3.SA_Janela_3
Name: 173, dtype: object",Venda,43.16004943847656,232.07874892858942,10016.53027737771,10016.53027737771
"Data                      2023-07-18
Data    2023-07-18_SUZB3.SA_Janela_3
Name: 195, dtype: object",Compra,42.17591094970703,237.49410627602077,10016.53027737771,0.0
"Data                      2023-07-22
Data    2023-07-22_SUZB3.SA_Janela_3
Name: 199, dtype: object",Venda,41.69330978393555,237.49410627602077,9901.915344825045,9901.915344825045
"Data                      2023-07-27
Data    2023-07-27_SUZB3.SA_Janela_3
Name: 204, dtype: object",Compra,44.664642333984375,221.69471929904807,9901.915344825045,0.0
"Data                      2023-08-26
Data    2023-08-26_SUZB3.SA_Janela_3
Name: 234, dtype: object",Venda,47.21961212158203,221.69471929904807,10468.338654704055,10468.338654704055
"Data                      2023-09-01
Data    2023-09-01_SUZB3.SA_Janela_3
Name: 240, dtype: object",Compra,48.35514831542969,216.48860606149157,10468.338654704055,0.0
"Data                      2023-09-10
Data    2023-09-10_SUZB3.SA_Janela_3
Name: 249, dtype: object",Venda,46.17869186401367,216.48860606149157,9997.160631383462,9997.160631383462
"Data                      2023-09-17
Data    2023-09-17_SUZB3.SA_Janela_3
Name: 256, dtype: object",Compra,49.70833587646485,201.11638128921484,9997.160631383462,0.0
"Data                      2023-10-23
Data    2023-10-23_SUZB3.SA_Janela_3
Name: 292, dtype: object",Venda,51.47789001464843,201.11638128921484,10353.0469561503,10353.0469561503
"Data                      2023-11-12
Data    2023-11-12_SUZB3.SA_Janela_3
Name: 312, dtype: object",Compra,51.704998016357415,200.23300170855833,10353.0469561503,0.0
"Data                      2023-12-04
Data    2023-12-04_SUZB3.SA_Janela_3
Name: 334, dtype: object",Venda,49.008087158203125,200.23300170855833,9813.036399681661,9813.036399681661
"Data                      2023-12-16
Data    2023-12-16_SUZB3.SA_Janela_3
Name: 346, dtype: object",Compra,50.96765899658204,192.53457178285817,9813.036399681661,0.0
"Data                      2023-12-31
Data    2023-12-31_SUZB3.SA_Janela_3
Name: 361, dtype: object",Venda Final,53.87290191650391,192.53457178285817,10372.396101194,10372.396101194
