Ticker,Janela,Num Features,CV Avg MAE,CV Avg MSE,CV Avg RMSE,CV Avg R2,Teste MAE,Teste MSE,Teste RMSE,Teste R2,num_lstm_layers,units_lstm_0,dropout_lstm_0,num_dense_layers,learning_rate,units_dense_0,dropout_dense_0,Experimento,units_lstm_1,dropout_lstm_1,units_lstm_2,dropout_lstm_2,units_dense_1,dropout_dense_1
BEEF3.SA,Janela_1,5.0,0.3757866476918315,0.2233695760619104,0.4605911253874072,0.710496174776846,0.3865349620253173,0.2276185923385663,0.4770939030616157,0.934910474622939,1,150,0.2,1,0.0005,32.0,0.1,Macro,,,,,,
BEEF3.SA,Janela_2,5.0,0.3983649840721717,0.2418090651958854,0.4756841625478992,0.5113316866518968,0.5166670113555655,0.3712230203977597,0.609280740215674,0.8938100238932156,1,100,0.1,1,0.001,64.0,0.2,Macro,50.0,0.1,,,,
BEEF3.SA,Janela_3,5.0,0.2830756155999153,0.1321557213153608,0.3587496159935642,0.8354107811043544,0.6006900381646761,0.4898664506564807,0.6999046011110948,0.859604511143467,1,50,0.1,1,0.0005,32.0,0.1,Macro,50.0,0.2,,,,
BEEF3.SA,Janela_4,5.0,0.4076622370835189,0.2613161377056615,0.5035486287241077,0.5853946092999864,0.4770810782414062,0.3356390411914733,0.5793436296288009,0.903518484252298,1,150,0.2,1,0.0005,64.0,0.2,Macro,,,,,,
BRFS3.SA,Janela_1,5.0,0.7761560068025695,1.1918858412057398,0.9803849008429806,0.5739601672394142,0.2927047590633015,0.1563569297474863,0.3954199410089055,0.9725609112878112,1,150,0.1,0,0.001,,,Macro,50.0,0.1,,,,
BRFS3.SA,Janela_2,5.0,0.8324612056816019,1.1613423134207637,1.0359885497213277,0.7133155923150316,0.3754267534933799,0.2214662780282017,0.4706020378496057,0.9611931026328084,1,50,0.1,0,0.0005,32.0,0.2,Macro,50.0,0.1,,,,
BRFS3.SA,Janela_3,5.0,1.5331781193450256,3.462371813331768,1.743717072028507,0.0464627614026667,0.329829342457471,0.1921044969349042,0.4382972700518499,0.9663958127695538,1,100,0.2,0,0.0005,64.0,0.2,Macro,50.0,0.2,,,,
BRFS3.SA,Janela_4,5.0,1.736958958028437,4.809788010992401,2.0500209394537365,0.2241643837157263,0.8845839619306316,0.9311176005857936,0.9649443510305626,0.8375198850026648,2,150,0.1,1,0.001,64.0,0.1,Macro,150.0,0.1,,,,
CSNA3.SA,Janela_1,5.0,1.0673178840469528,3.326062292274352,1.395799921567276,0.7395897891254573,0.3448892635303538,0.1919164607462824,0.4380827099376126,0.951797267074902,1,100,0.1,1,0.001,32.0,0.1,Macro,150.0,0.1,,,,
CSNA3.SA,Janela_2,5.0,1.4239229228470351,4.759087838450785,1.664916800078902,0.646477711367878,0.3907935376338065,0.2756965863232214,0.5250681730244382,0.9309424260586624,2,100,0.2,0,0.0005,32.0,0.2,Macro,100.0,0.1,,,,
CSNA3.SA,Janela_3,5.0,1.2765010168264204,3.225105590346373,1.635021852759386,0.3401208588356767,0.4685559141043141,0.3117203443003514,0.5583192136227728,0.9221331646301004,1,150,0.2,1,0.0005,32.0,0.1,Macro,50.0,0.2,,,,
CSNA3.SA,Janela_4,5.0,1.2711687643449383,4.219419100938941,1.69076075941742,0.6000049084594309,0.6136952080554909,0.4939311862639785,0.7028023806618604,0.8769208248686473,1,50,0.1,0,0.0005,64.0,0.1,Macro,100.0,0.1,,,,
GGBR3.SA,Janela_1,5.0,0.3038145804143213,0.1623719582025149,0.3998773073925386,0.8716232687939207,0.3057376971611609,0.1463140039545004,0.3825101357539437,0.8656456623167984,2,150,0.1,0,0.001,,,Macro,50.0,0.1,,,,
GGBR3.SA,Janela_2,5.0,0.5967621708964252,0.5781987791272927,0.7126076076647624,0.5122027048880694,0.4542292602791274,0.2809216376546839,0.5300204124886927,0.7427332988184802,1,50,0.1,0,0.001,32.0,0.2,Macro,50.0,0.2,,,,
GGBR3.SA,Janela_3,5.0,0.4740634561895014,0.4045240182559184,0.5781933151315441,0.7671845248933151,0.3394478776836923,0.1819530880736831,0.4265595949849015,0.8338039605741687,1,100,0.1,0,0.0005,,,Macro,,,,,,
GGBR3.SA,Janela_4,5.0,0.6297927720206125,0.613652594278145,0.7560224461261205,0.4272632327776003,0.5273454988432063,0.3643166522835998,0.6035864911374341,0.667975233259372,1,50,0.1,1,0.001,32.0,0.1,Macro,,,,,,
JBSS3.SA,Janela_1,5.0,1.032336566212413,1.7788402378215362,1.158914279222889,0.0623965626462799,0.3591908177176676,0.2288594150890411,0.4783925324344446,0.9513315166612226,2,100,0.1,1,0.0005,32.0,0.2,Macro,150.0,0.2,,,,
JBSS3.SA,Janela_2,5.0,0.703079882820884,0.7404620936829065,0.8508682045998407,0.6967071166919375,0.6992267892380392,0.6751181484971472,0.8216557359972285,0.8567597692580736,1,100,0.1,1,0.0005,64.0,0.2,Macro,150.0,0.2,,,,
JBSS3.SA,Janela_3,5.0,0.9529488500657972,1.405492254975237,1.106300078806512,0.543349942201187,0.597778963120603,0.5212516297657827,0.7219775825922732,0.889623130138991,1,100,0.2,1,0.001,32.0,0.2,Macro,150.0,0.2,,,,
JBSS3.SA,Janela_4,5.0,1.2980546448256942,2.7228310524062285,1.454827343549749,0.3715097728458438,0.9323437814897448,1.201404160655619,1.0960858363538957,0.7457841079512042,1,50,0.2,1,0.001,32.0,0.2,Macro,100.0,0.2,,,,
PETR4.SA,Janela_1,5.0,0.5448308567424398,0.5593375565433755,0.6569765338470361,0.3568172313185553,1.026577847344535,1.8272448418658425,1.3517562065201856,0.9321004427720556,2,50,0.1,0,0.001,32.0,0.2,Macro,50.0,0.1,,,,
PETR4.SA,Janela_2,5.0,0.6232390938224374,0.6303280143390451,0.7149227565570011,0.284478342138319,0.5122457246806669,0.4128946402849953,0.6425687825322635,0.9846033310594362,1,100,0.1,0,0.0005,32.0,0.2,Macro,150.0,0.2,,,,
PETR4.SA,Janela_3,5.0,0.3339904193039779,0.227327618311343,0.437283261918015,0.8458832200273987,0.8132239336466921,0.9423261198332832,0.9707348349746616,0.9647605586329724,1,100,0.1,0,0.001,32.0,0.2,Macro,,,,,,
PETR4.SA,Janela_4,5.0,0.4450713985568876,0.414435846008201,0.5566741421056669,0.7683409141186018,0.689130643067928,0.7633645502168537,0.8737073595986551,0.9713920536518194,1,100,0.2,0,0.001,32.0,0.1,Macro,50.0,0.2,,,,
SOJA3.SA,Janela_1,5.0,0.460090215913542,0.3501464229232094,0.558552274845868,-0.512377723541797,0.3541960008851774,0.1934843083788265,0.4398685126021485,0.9168769133770877,1,150,0.1,0,0.001,32.0,0.1,Macro,100.0,0.1,,,,
SOJA3.SA,Janela_2,5.0,0.3991184549017267,0.2691866464394699,0.4948881196805711,-0.0175783825951423,0.3154772766365493,0.1785948598949878,0.4226048507707736,0.922845415639099,1,100,0.1,1,0.001,64.0,0.2,Macro,100.0,0.1,,,,
SOJA3.SA,Janela_3,5.0,0.343978729876843,0.2020122790175284,0.4349430026164122,0.2006117022612656,0.4312669927902643,0.2900108378409857,0.5385265433021715,0.874188667039377,1,100,0.1,1,0.0005,32.0,0.1,Macro,,,,,,
SOJA3.SA,Janela_4,5.0,0.4166422477135291,0.357427574891405,0.5268344518964903,-0.0726661153944107,0.5045479143095148,0.3705088969772231,0.6086944200312856,0.8386499539003636,2,50,0.2,0,0.001,32.0,0.1,Macro,150.0,0.1,,,,
SUZB3.SA,Janela_1,5.0,1.334932260198907,3.0996515321844487,1.711350030761548,0.8102777304415639,0.8399976583627551,1.1235313493467232,1.0599676171217325,0.9448753368111592,2,150,0.1,0,0.0005,32.0,0.1,Macro,150.0,0.2,,,,
SUZB3.SA,Janela_2,5.0,1.6996508084810695,4.530394656498336,2.055591424573476,0.7441726193459315,0.9354799864377524,1.3462288960955653,1.160271044237322,0.9341112394526332,1,150,0.1,1,0.0005,64.0,0.2,Macro,50.0,0.1,,,,
SUZB3.SA,Janela_3,5.0,1.9056893191494784,5.678315280685645,2.3044699503102195,0.6443033963122191,1.2922869518975526,2.5166321259524342,1.5863896513632565,0.8771265178771652,1,50,0.2,0,0.001,32.0,0.1,Macro,50.0,0.2,,,,
SUZB3.SA,Janela_4,5.0,1.9993917192731585,6.318959454277747,2.426382991893673,0.5930312525685342,1.0938343248869244,1.878132069947125,1.370449586795197,0.9085113351351752,1,150,0.2,0,0.001,,,Macro,50.0,0.2,,,,
VALE3.SA,Janela_1,5.0,2.043463348556351,8.14933058874105,2.73131891685854,0.8160769161114967,1.0962027665022962,1.980049457779946,1.4071423018941425,0.9595263465962648,2,50,0.2,0,0.0005,32.0,0.2,Macro,100.0,0.2,,,,
VALE3.SA,Janela_2,5.0,1.9191457224416208,6.14891433378574,2.399735128527254,0.870416532140128,1.5605983471410656,3.7134336286706895,1.92702714788108,0.923799327080915,2,150,0.1,0,0.0005,32.0,0.1,Macro,150.0,0.1,,,,
VALE3.SA,Janela_3,5.0,2.1244000487275176,7.303620432254396,2.6703245953834265,0.8376579365016932,1.8148060582619336,4.852533070910098,2.202846583607242,0.9000132871243272,1,150,0.2,0,0.0005,64.0,0.2,Macro,100.0,0.2,,,,
VALE3.SA,Janela_4,5.0,2.138170062054644,7.695375807869667,2.735220378560132,0.8171929828294543,1.2741236065893622,2.6202222512472764,1.618710057807536,0.9456924560420612,1,150,0.2,1,0.001,32.0,0.1,Macro,150.0,0.1,,,,
BEEF3.SA,Janela_1,7.0,0.225006295298482,0.0961825025770609,0.3008281218478858,0.8872352317615185,1.2253763466090946,2.301751166184049,1.5171523213520948,0.34206224054362,1,100,0.1,1,0.001,32.0,0.1,Micro,,,,,,
BEEF3.SA,Janela_2,7.0,0.3575376662579212,0.2447846446660758,0.4334391885742773,0.7944143162805182,2.4175744437645945,7.899534541737763,2.8106110619823874,-1.2612752721156992,1,150,0.2,1,0.0005,32.0,0.2,Micro,100.0,0.2,,,,
BEEF3.SA,Janela_3,7.0,0.318655380311903,0.2028496151170284,0.4080816221633594,0.8277175569803952,6.507687794569447,45.540843630725945,6.748395633832233,-12.040428154485191,1,50,0.1,1,0.0005,64.0,0.2,Micro,150.0,0.1,,,,
